*preferred label[0]_en,alternative label[0]_en,alternative label[1]_en,alternative label[2]_en,alternative label[3]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,scope note[0]_en,*uri,*status,has broader[0],has narrower[0],has narrower[1],has narrower[2],related to[0],related to[1],related to[2],related to[3],related to[4],related to[5]
identifiable subject system (Deprecated),,,,,1049,identifiable subject system (Deprecated),"A standard for subject access points or classification numbers used in determining the names or terms, other identifying attributes, and relationships representing what a work is about. (Deprecated)","A standard for subject access points or classification numbers used in determining the names or terms, other identifying attributes, and relationships representing what a work is about. (Deprecated)","An identifiable subject system includes rules for application of terms, systematic combination of terminology such as pre- or post-coordination, and guidelines on cardinality and depth of assignment.",rdaterm:1049,Deprecated,,,,,,,,,,
image description,,,,,1050,image description,"A descriptive audio or tactile language text that is attached to, or supplied with, a tactile image, map, or diagram.","A descriptive audio or tactile language text that is attached to, or supplied with, a tactile image, map, or diagram.",,rdaterm:1050,Published,,,,,,,,,,
international intergovernmental body,,,,,1051,international intergovernmental body,An international body created by intergovernmental action.,An international body created by intergovernmental action.,,rdaterm:1051,Published,,,,,,,,,,
issue (Deprecated),,,,,1052,issue (Deprecated),A successive part of a serial. (Deprecated),A successive part of a serial. (Deprecated),,rdaterm:1052,Deprecated,,,,,,,,,,
iteration,,,,,1053,iteration,An instance of an integrating work or the expression that realizes it or the manifestation that embodies it.,An instance of an integrating work or the expression that realizes it or the manifestation that embodies it.,The instance may be the initial state or the state after an update.,rdaterm:1053,Published,,,,,,,,,,
jacket (Deprecated),book jacket,,,,1054,jacket (Deprecated),"A detachable, protective wrapping of a volume, issued as part of a manifestation by a publisher, etc. (Deprecated)","A detachable, protective wrapping of a volume, issued as part of a manifestation by a publisher, etc. (Deprecated)",,rdaterm:1054,Deprecated,,,,,,,,,,
logical unit,,,,,1055,logical unit,A part of an intangible manifestation.,A part of an intangible manifestation.,A digital file is included.,rdaterm:1055,Published,,,,,,,,,,
main series (Deprecated),,,,,1056,main series (Deprecated),A series that contains one or more subseries. (Deprecated),A series that contains one or more subseries. (Deprecated),,rdaterm:1056,Deprecated,,,,,,,,,,
map series,,,,,1057,map series,"A number of related but physically separate and bibliographically distinct cartographic units intended to form a single group, collectively identified by any commonly occurring unifying characteristic or combination of characteristics.","A number of related but physically separate and bibliographically distinct cartographic units intended to form a single group, collectively identified by any commonly occurring unifying characteristic or combination of characteristics.",,rdaterm:1057,Published,,,,,,,,,,
media,,,,,1058,media,A means used to convey information or artistic content.,A means used to convey information or artistic content.,,rdaterm:1058,Published,,,,,rdaterm:1026,rdaterm:1086,,,,
microfilm,,,,,1059,microfilm,A film bearing a number of micro-images in linear array.,A film bearing a number of micro-images in linear array.,,rdaterm:1059,Published,,,,,,,,,,
monograph (Deprecated),,,,,1060,monograph (Deprecated),A resource that is complete in one part or intended to be completed within a finite number of parts. (Deprecated),A resource that is complete in one part or intended to be completed within a finite number of parts. (Deprecated),,rdaterm:1060,Deprecated,,,,,,,,,,
multilevel description (Deprecated),,,,,1061,multilevel description (Deprecated),"A form of presentation, in an ISBD display, of descriptive data based on the division of information into two or more levels. (Deprecated)","A form of presentation, in an ISBD display, of descriptive data based on the division of information into two or more levels. (Deprecated)",The first level contains information common to the whole or main resource. The second and subsequent levels contain information about an individual part. (Deprecated),rdaterm:1061,Deprecated,,,,,,,,,,
name,,,,,1062,name,An appellation of an entity in natural language and phrasing that is used in common discourse.,An appellation of an entity in natural language and phrasing that is used in common discourse.,Excludes a resource entity.,rdaterm:1062,Published,rdaterm:1205,rdaterm:1069,rdaterm:1103,,rdaterm:1197,,,,,
neat line,,,,,1063,neat line,"A line marking the outer edge of a map or chart, separating its detail from any border or margin.","A line marking the outer edge of a map or chart, separating its detail from any border or margin.",,rdaterm:1063,Published,,,,,,,,,,
non-self-describing manifestation,,,,,1064,non-self-describing manifestation,A manifestation that does not contain identifying information.,A manifestation that does not contain identifying information.,,rdaterm:1064,Published,,,,,,,,,,
part (Deprecated),,,,,1065,part (Deprecated),"A unit into which a resource is permanently divided by a publisher, manufacturer, etc. (Deprecated)","A unit into which a resource is permanently divided by a publisher, manufacturer, etc. (Deprecated)",,rdaterm:1065,Deprecated,,,,,rdaterm:1052,,,,,
patronymic,,,,,1066,patronymic,A name derived from the given name of a father.,A name derived from the given name of a father.,,rdaterm:1066,Published,,,,,,,,,,
physical unit,,,,,1067,physical unit,A part of a tangible manifestation.,A part of a tangible manifestation.,"A physical unit includes a volume, audiocassette, or film reel.",rdaterm:1067,Published,,,,,,,,,,
plate,,,,,1068,plate,"A leaf, usually containing illustrative content, that does not form part of either the preliminary or the main sequence of pages or leaves.","A leaf, usually containing illustrative content, that does not form part of either the preliminary or the main sequence of pages or leaves.",,rdaterm:1068,Published,,,,,,,,,,
preferred name,,,,,1069,preferred name,A name that is selected for preference in a specific application or context.,A name that is selected for preference in a specific application or context.,,rdaterm:1069,Published,rdaterm:1062,,,,,,,,,
primary relationship (Deprecated),,,,,1070,primary relationship (Deprecated),"A relationship between a work, expression, manifestation, or item that is inherent in the FRBR definitions of those entities. (Deprecated)","A relationship between a work, expression, manifestation, or item that is inherent in the FRBR definitions of those entities. (Deprecated)",,rdaterm:1070,Deprecated,,,,,,,,,,
protocol,,,,,1071,protocol,A treaty amending and supplementing another treaty.,A treaty amending and supplementing another treaty.,,rdaterm:1071,Published,,,,,,,,,,
pseudonym,,,,,1072,pseudonym,A name used by an agent that is not the real name of the agent.,A name used by an agent that is not the real name of the agent.,,rdaterm:1072,Published,,,,,,,,,,
reference,,,,,1073,reference,A direction from one access point to another.,A direction from one access point to another.,,rdaterm:1073,Published,,,,,,,,,,
reference source (Deprecated),,,,,1074,reference source (Deprecated),A source from which authoritative information is obtained. (Deprecated),A source from which authoritative information is obtained. (Deprecated),"A reference source includes an authority file, a reference work, etc.",rdaterm:1074,Deprecated,,,,,,,,,,
relationship designator (Deprecated),,,,,1075,relationship designator (Deprecated),"A designator that indicates the nature of a relationship between entities represented by authorized access points, descriptions, and/or identifiers. (Deprecated)","A designator that indicates the nature of a relationship between entities represented by authorized access points, descriptions, and/or identifiers. (Deprecated)",,rdaterm:1075,Deprecated,,,,,,,,,,
reproduction,,,,,1076,reproduction,An exact copy of the content of a manifestation or item made by mechanical or electronic means.,An exact copy of the content of a manifestation or item made by mechanical or electronic means.,,rdaterm:1076,Published,,,,,,,,,,
resource entity,resource,,,,1077,resource entity,"A work, expression, manifestation or item.","A work, expression, manifestation or item.",,rdaterm:1077,Published,,,,,,,,,,
running title,,,,,1078,running title,"A title, or abbreviated title, that is repeated at the head or foot of each page or leaf.","A title, or abbreviated title, that is repeated at the head or foot of each page or leaf.",,rdaterm:1078,Published,,,,,,,,,,
scroll,,,,,1079,scroll,"A single or composite sheet containing text and/or images, originally produced rolled, and intended to be unrolled a portion at a time for reading or viewing.","A single or composite sheet containing text and/or images, originally produced rolled, and intended to be unrolled a portion at a time for reading or viewing.",,rdaterm:1079,Published,,,,,,,,,,
self-describing manifestation,,,,,1080,self-describing manifestation,A manifestation that contains identifying information.,A manifestation that contains identifying information.,,rdaterm:1080,Published,,,,,,,,,,
series,,,,,1081,series,"A set of manifestations that embody the parts of a work, the issues of a serial work, or the units of a manifestation.","A set of manifestations that embody the parts of a work, the issues of a serial work, or the units of a manifestation.",,rdaterm:1081,Published,,,,,,,,,,
series title page (Deprecated),,,,,1082,series title page (Deprecated),"An added title page bearing a series title proper and usually, though not necessarily, other information about a series such as statement of responsibility, numeric designation, data relating to publication, title of the manifestation within the series. (Deprecated)","An added title page bearing a series title proper and usually, though not necessarily, other information about a series such as statement of responsibility, numeric designation, data relating to publication, title of the manifestation within the series. (Deprecated)",,rdaterm:1082,Deprecated,,,,,,,,,,
short title of a legal work,,,,,1083,short title of a legal work,A title of a legal work that is given either in the text of the work or in legal literature and that succinctly names the work and often reflects how it is popularly known.,A title of a legal work that is given either in the text of the work or in legal literature and that succinctly names the work and often reflects how it is popularly known.,,rdaterm:1083,Published,,,,,,,,,,
sign language,,,,,1084,sign language,"A language that uses a system of manual, facial, and other body movements as the means of communication.","A language that uses a system of manual, facial, and other body movements as the means of communication.",,rdaterm:1084,Published,,,,,,,,,,
source of information,,,,,1085,source of information,A source of a data value for an element.,A source of a data value for an element.,A source of information includes a manifestation associated with the entity that is being described or a manifesation of a reference work or authority file about the entity.,rdaterm:1085,Published,,,,,,,,,,
storage medium,,,,,1086,storage medium,A physical material or substance on which information or artistic content is stored.,A physical material or substance on which information or artistic content is stored.,,rdaterm:1086,Published,,,,,rdaterm:1058,rdaterm:1026,,,,
structured description (Deprecated),,,,,1087,structured description (Deprecated),A full or partial description of a related entity using the same data that would be recorded in RDA elements for a description of that related entity presented in an order specified by a recognized display standard. (Deprecated),A full or partial description of a related entity using the same data that would be recorded in RDA elements for a description of that related entity presented in an order specified by a recognized display standard. (Deprecated),,rdaterm:1087,Deprecated,,,,,,,,,,
subject (Deprecated),,,,,1088,subject (Deprecated),"A term, phrase, classification number, etc., that indicates what a work is about. (Deprecated)","A term, phrase, classification number, etc., that indicates what a work is about. (Deprecated)",,rdaterm:1088,Deprecated,,,,,,,,,,
subordinate body,,,,,1089,subordinate body,A corporate body that forms an integral part of a larger body in relation to which it holds an inferior hierarchical rank.,A corporate body that forms an integral part of a larger body in relation to which it holds an inferior hierarchical rank.,,rdaterm:1089,Published,,,,,,,,,,
subseries (Deprecated),,,,,1090,subseries (Deprecated),"A series within a series, that is, a series that always appears in conjunction with another, usually more comprehensive, series of which it forms a section. Its title may or may not be dependent on the title of the main series. (Deprecated)","A series within a series, that is, a series that always appears in conjunction with another, usually more comprehensive, series of which it forms a section. Its title may or may not be dependent on the title of the main series. (Deprecated)",,rdaterm:1090,Deprecated,,,,,,,,,,
subtitle,,,,,1091,subtitle,An expression of a textual work that is a translation or transcription of the dialogue or narrative of a moving image work.,An expression of a textual work that is a translation or transcription of the dialogue or narrative of a moving image work.,,rdaterm:1091,Published,,,,,,,,,,
subunit,,,,,1092,subunit,A physical or logical subdivision of a unit.,A physical or logical subdivision of a unit.,"A subunit includes a page of a volume, a frame of a microfiche, a record in a digital file, etc.",rdaterm:1092,Published,,,,,,,,,,
thematic index,,,,,1093,thematic index,"A list of works of a composer, usually arranged in chronological order or by categories, with the theme given for each composition or for each section of large compositions.","A list of works of a composer, usually arranged in chronological order or by categories, with the theme given for each composition or for each section of large compositions.",,rdaterm:1093,Published,,,,,,,,,,
title frame (Deprecated),,,,,1094,title frame (Deprecated),"A frame or frames, usually found at the beginning of a manifestation produced on film, containing identifying textual information which is not part of the subject content of the work and which is used as a source of information in creating a description. (Deprecated)","A frame or frames, usually found at the beginning of a manifestation produced on film, containing identifying textual information which is not part of the subject content of the work and which is used as a source of information in creating a description. (Deprecated)",,rdaterm:1094,Deprecated,,,,,,,,,,
title page (Deprecated),,,,,1095,title page (Deprecated),"A page at the beginning of a manifestation bearing a title proper and usually, though not necessarily, a statement of responsibility and data relating to publication. (Deprecated)","A page at the beginning of a manifestation bearing a title proper and usually, though not necessarily, a statement of responsibility and data relating to publication. (Deprecated)",Facing pages or pages on successive leaves containing this information with or without repetition are considered collectively as a title page.,rdaterm:1095,Deprecated,,,,,rdaterm:1082,,,,,
title screen (Deprecated),,,,,1096,title screen (Deprecated),"A display of data about a digital manifestation that includes a title proper and usually, though not necessarily, a statement of responsibility and data relating to publication. (Deprecated)","A display of data about a digital manifestation that includes a title proper and usually, though not necessarily, a statement of responsibility and data relating to publication. (Deprecated)",,rdaterm:1096,Deprecated,,,,,,,,,,
treaty,,,,,1097,treaty,An international agreement concluded between states or international organizations in written form and governed by international law.,An international agreement concluded between states or international organizations in written form and governed by international law.,"A treaty may be designated by various other terms such as agreement, concordat, convention, charter, declaration, exchange of notes, memorandum of understanding, modus vivendi, or protocol.",rdaterm:1097,Published,rdaterm:1120,,,,,,,,,
type of composition,,,,,1098,type of composition,A form or genre or a generic term used frequently by different composers.,A form or genre or a generic term used frequently by different composers.,"Form or genre includes capriccio, chamber music, concerto, Magnificat, motion picture music, nocturne, opera, sacred music, suite, trio sonata. Generic term includes composition, movement, muziek, piece.",rdaterm:1098,Published,,,,,,,,,,
unit,,,,,1099,unit,A physical or logical part of a manifestation.,A physical or logical part of a manifestation.,"A unit includes a volume, audiocassette, film reel, a map, a digital file, etc.",rdaterm:1099,Published,,,,,,,,,,
unstructured description (Deprecated),,,,,1100,unstructured description (Deprecated),"A full or partial description of an entity written as a phrase, sentence, paragraph, etc. (Deprecated)","A full or partial description of an entity written as a phrase, sentence, paragraph, etc. (Deprecated)",,rdaterm:1100,Deprecated,,,,,,,,,,
updating loose-leaf,,,,,1101,updating loose-leaf,"A manifestation of an integrating work that consists of one or more base volumes updated by separate pages that are inserted, removed, or substituted.","A manifestation of an integrating work that consists of one or more base volumes updated by separate pages that are inserted, removed, or substituted.",,rdaterm:1101,Published,,,,,,,,,,
variant access point,,,,,1102,variant access point,An access point  that is not selected for preference in a specific application or context.,An access point  that is not selected for preference in a specific application or context.,,rdaterm:1102,Published,rdaterm:1001,,,,,,,,,
variant name,,,,,1103,variant name,A name that is not selected for preference in a specific application or context.,A name that is not selected for preference in a specific application or context.,,rdaterm:1103,Published,rdaterm:1062,,,,,,,,,
video tape,,,,,1104,video tape,A length of magnetic tape on which are recorded electrical signals that can be converted to images using video playback equipment.,A length of magnetic tape on which are recorded electrical signals that can be converted to images using video playback equipment.,,rdaterm:1104,Published,,,,,,,,,,
vocabulary encoding scheme,VES,,,,1105,vocabulary encoding scheme,A named structured list of representations of controlled values for elements.,A named structured list of representations of controlled values for elements.,"A vocabulary encoding scheme includes an RDA list of terms or their corresponding value vocabularies in the RDA Registry, an ISO code list, a standard terminology, an authority control system, etc. Simple keyword indexes are excluded.",rdaterm:1105,Published,,,,,rdaterm:1122,rdaterm:1123,,,,
section (Deprecated),,,,,1106,section (Deprecated),"A separately issued part of a manifestation, usually representing a particular subject category within the larger manifestation and identified by a designation that may be a topic, or an alphabetic or numeric designation, or a combination of these. (Deprecated)","A separately issued part of a manifestation, usually representing a particular subject category within the larger manifestation and identified by a designation that may be a topic, or an alphabetic or numeric designation, or a combination of these. (Deprecated)",,rdaterm:1106,Deprecated,,,,,,,,,,
related resource (Deprecated),,,,,1107,related resource (Deprecated),A resource related to another resource. (Deprecated),A resource related to another resource. (Deprecated),,rdaterm:1107,Deprecated,,,,,,,,,,
attribute element,,,,,1108,attribute element,An element that is an inherent or externally imputed characteristic of an RDA entity.,An element that is an inherent or externally imputed characteristic of an RDA entity.,,rdaterm:1108,Published,rdaterm:1041,,,,rdaterm:1114,,,,,
