RDA element,mapping,MARC 21 Bibligraphic encoding string and recording method
rdaw:P10007,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10007,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10007,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10007,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10007,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10007,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10007,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10008,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10008,rdakit:hasM21,508 ** $a [unstructured description] .
rdaw:P10008,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10008,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10008,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10008,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10008,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10008,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10008,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10008,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10008,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10009,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10009,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10009,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10009,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10009,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10009,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10009,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10009,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10009,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10009,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10010,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10010,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10010,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10010,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10010,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10010,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10010,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10010,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10010,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10010,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10011,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10011,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10011,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10011,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10011,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10011,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10011,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10011,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10011,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10011,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10012,rdakit:hasM21,100 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,110 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,130 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,240 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,243 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,245 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10012,rdakit:hasM21,700 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,710 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,730 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,800 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,810 ** $n [unstructured description] .
rdaw:P10012,rdakit:hasM21,830 ** $n [unstructured description] .
rdaw:P10013,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10013,rdakit:hasM21,508 ** $a [unstructured description] .
rdaw:P10013,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10013,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10013,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10013,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10013,rdakit:hasM21,"700 ** $a, b, c, d, g, q, u [structured description] ."
rdaw:P10013,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10013,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10013,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10013,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10013,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10013,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10013,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10013,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10013,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10013,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10013,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10013,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10013,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10014,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10014,rdakit:hasM21,508 ** $a [unstructured description] .
rdaw:P10014,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10014,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10014,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10014,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10014,rdakit:hasM21,"700 ** $a, b, c, d, g, q, u [structured description] ."
rdaw:P10014,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10014,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10014,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10014,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10014,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10014,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10014,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10014,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10014,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10014,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10014,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10014,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10014,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10015,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10015,rdakit:hasM21,508 ** $a [unstructured description] .
rdaw:P10015,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10015,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10015,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10015,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10015,rdakit:hasM21,"700 ** $a, b, c, d, g, q, u [structured description] ."
rdaw:P10015,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10015,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10015,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10015,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10015,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10015,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10015,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10015,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10015,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10015,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10015,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10015,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10015,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10016,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10016,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10016,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10016,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10016,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10016,rdakit:hasM21,"787 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10016,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10016,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10016,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10016,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10016,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10016,rdakit:hasM21,711 ** $x [identifier] .
rdaw:P10016,rdakit:hasM21,730 ** $0 [identifier] .
rdaw:P10016,rdakit:hasM21,730 ** $x [identifier] .
rdaw:P10016,rdakit:hasM21,758 ** $0 [identifier] .
rdaw:P10016,rdakit:hasM21,"787 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10016,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10016,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10016,rdakit:hasM21,711 ** $1 [IRI] .
rdaw:P10016,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10016,rdakit:hasM21,758 ** $1 [IRI] .
rdaw:P10017,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10017,rdakit:hasM21,720 #* $a [unstructured description] .
rdaw:P10017,rdakit:hasM21,720 2* $a [unstructured description] .
rdaw:P10017,rdakit:hasM21,"110 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10017,rdakit:hasM21,"710 ** $a, b, c, d, g, u [structured description] ."
rdaw:P10017,rdakit:hasM21,110 ** $0 [identifier] .
rdaw:P10017,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10017,rdakit:hasM21,720 #* $0 [identifier] .
rdaw:P10017,rdakit:hasM21,720 2* $0 [identifier] .
rdaw:P10017,rdakit:hasM21,110 ** $1 [IRI] .
rdaw:P10017,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10017,rdakit:hasM21,720 #* $1 [IRI] .
rdaw:P10017,rdakit:hasM21,720 2* $1 [IRI] .
rdaw:P10019,rdakit:hasM21,490 ** $a [unstructured description] .
rdaw:P10019,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10019,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10019,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10019,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10019,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10019,rdakit:hasM21,"773 ** $a, g, m, n, p, s, t [structured description] ."
rdaw:P10019,rdakit:hasM21,"800 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10019,rdakit:hasM21,"810 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10019,rdakit:hasM21,"811 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10019,rdakit:hasM21,"830 ** $a, d, f, g, n, p, r, t, v [structured description] ."
rdaw:P10019,rdakit:hasM21,490 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,711 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,730 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,730 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,"773 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10019,rdakit:hasM21,800 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,800 ** $w [identifier] .
rdaw:P10019,rdakit:hasM21,800 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,810 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,810 ** $w [identifier] .
rdaw:P10019,rdakit:hasM21,810 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,811 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,811 ** $w [identifier] .
rdaw:P10019,rdakit:hasM21,811 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,830 ** $0 [identifier] .
rdaw:P10019,rdakit:hasM21,830 ** $w [identifier] .
rdaw:P10019,rdakit:hasM21,830 ** $x [identifier] .
rdaw:P10019,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,711 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,800 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,810 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,811 ** $1 [IRI] .
rdaw:P10019,rdakit:hasM21,830 ** $1 [IRI] .
rdaw:P10020,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10020,rdakit:hasM21,"785 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10020,rdakit:hasM21,"785 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10021,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10021,rdakit:hasM21,"785 *3 $a, c, g, m, n, s, t [structured description] ."
rdaw:P10021,rdakit:hasM21,"785 *3 $o, r, u, w, x, y [identifier] ."
rdaw:P10022,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10022,rdakit:hasM21,"785 *2 $a, c, g, m, n, s, t [structured description] ."
rdaw:P10022,rdakit:hasM21,"785 *2 $o, r, u, w, x, y [identifier] ."
rdaw:P10023,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10023,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10023,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10023,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10023,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10023,rdakit:hasM21,"787 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10023,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10023,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10023,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10023,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10023,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10023,rdakit:hasM21,711 ** $x [identifier] .
rdaw:P10023,rdakit:hasM21,730 ** $0 [identifier] .
rdaw:P10023,rdakit:hasM21,730 ** $x [identifier] .
rdaw:P10023,rdakit:hasM21,758 ** $0 [identifier] .
rdaw:P10023,rdakit:hasM21,"787 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10023,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10023,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10023,rdakit:hasM21,711 ** $1 [IRI] .
rdaw:P10023,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10023,rdakit:hasM21,758 ** $1 [IRI] .
rdaw:P10024,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10024,rdakit:hasM21,"034 ** $d, e, f, g, s, t, j, k, m, n, r, s, t [structured description] ."
rdaw:P10024,rdakit:hasM21,"255 ** $c, f, g [structured description] ."
rdaw:P10024,rdakit:hasM21,034 ** $0 [identifier] .
rdaw:P10024,rdakit:hasM21,034 ** $1 [IRI] .
rdaw:P10025,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10025,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10025,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10025,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10025,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10025,rdakit:hasM21,"787 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10025,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10025,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10025,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10025,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10025,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10025,rdakit:hasM21,711 ** $x [identifier] .
rdaw:P10025,rdakit:hasM21,730 ** $0 [identifier] .
rdaw:P10025,rdakit:hasM21,730 ** $x [identifier] .
rdaw:P10025,rdakit:hasM21,758 ** $0 [identifier] .
rdaw:P10025,rdakit:hasM21,"787 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10025,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10025,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10025,rdakit:hasM21,711 ** $1 [IRI] .
rdaw:P10025,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10025,rdakit:hasM21,758 ** $1 [IRI] .
rdaw:P10026,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10026,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10026,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10026,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10026,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10026,rdakit:hasM21,"787 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10026,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10026,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10026,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10026,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10026,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10026,rdakit:hasM21,711 ** $x [identifier] .
rdaw:P10026,rdakit:hasM21,730 ** $0 [identifier] .
rdaw:P10026,rdakit:hasM21,730 ** $x [identifier] .
rdaw:P10026,rdakit:hasM21,758 ** $0 [identifier] .
rdaw:P10026,rdakit:hasM21,"787 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10026,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10026,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10026,rdakit:hasM21,711 ** $1 [IRI] .
rdaw:P10026,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10026,rdakit:hasM21,758 ** $1 [IRI] .
rdaw:P10027,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10027,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10027,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10027,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10027,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10027,rdakit:hasM21,"787 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10027,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10027,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10027,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10027,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10027,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10027,rdakit:hasM21,711 ** $x [identifier] .
rdaw:P10027,rdakit:hasM21,730 ** $0 [identifier] .
rdaw:P10027,rdakit:hasM21,730 ** $x [identifier] .
rdaw:P10027,rdakit:hasM21,758 ** $0 [identifier] .
rdaw:P10027,rdakit:hasM21,"787 ** $o, r, u, w, x, y [identifier] ."
rdaw:P10027,rdakit:hasM21,700 ** $1 [IRI] .
rdaw:P10027,rdakit:hasM21,710 ** $1 [IRI] .
rdaw:P10027,rdakit:hasM21,711 ** $1 [IRI] .
rdaw:P10027,rdakit:hasM21,730 ** $1 [IRI] .
rdaw:P10027,rdakit:hasM21,758 ** $1 [IRI] .
rdaw:P10028,rdakit:hasM21,500 ** $a [unstructured description] .
rdaw:P10028,rdakit:hasM21,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10028,rdakit:hasM21,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u [structured description] ."
rdaw:P10028,rdakit:hasM21,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u [structured description] ."
rdaw:P10028,rdakit:hasM21,"730 ** $a, d, f, g, n, p, r, t [structured description] ."
rdaw:P10028,rdakit:hasM21,"787 ** $a, c, g, m, n, s, t [structured description] ."
rdaw:P10028,rdakit:hasM21,700 ** $0 [identifier] .
rdaw:P10028,rdakit:hasM21,700 ** $x [identifier] .
rdaw:P10028,rdakit:hasM21,710 ** $0 [identifier] .
rdaw:P10028,rdakit:hasM21,710 ** $x [identifier] .
rdaw:P10028,rdakit:hasM21,711 ** $0 [identifier] .
rdaw:P10028,rdakit:hasM21,711 ** $x [identifier] .
