RDA element label,Alignment,Recording method
abstract of,has valid recording method,IRI
abstracted in expression,has valid recording method,unstructured description
abstracted in expression,has valid recording method,structured description
abstracted in expression,has valid recording method,identifier
abstracted in expression,has valid recording method,IRI
abstracted in work,has valid recording method,unstructured description
abstracted in work,has valid recording method,structured description
abstracted in work,has valid recording method,identifier
abstracted in work,has valid recording method,IRI
abstracts for expression,has valid recording method,unstructured description
abstracts for expression,has valid recording method,structured description
abstracts for expression,has valid recording method,identifier
abstracts for expression,has valid recording method,IRI
abstracts for work,has valid recording method,unstructured description
abstracts for work,has valid recording method,structured description
abstracts for work,has valid recording method,identifier
abstracts for work,has valid recording method,IRI
academic degree,has valid recording method,unstructured description
academic degree,has valid recording method,structured description
academic degree,has valid recording method,identifier
academic degree,has valid recording method,IRI
academic supervisor,has valid recording method,unstructured description
academic supervisor,has valid recording method,structured description
academic supervisor,has valid recording method,identifier
academic supervisor,has valid recording method,IRI
academic supervisor of,has valid recording method,unstructured description
academic supervisor of,has valid recording method,structured description
academic supervisor of,has valid recording method,identifier
academic supervisor of,has valid recording method,IRI
access point for agent,has valid recording method,structured description
access point for agent,has valid recording method,identifier
access point for agent,has valid recording method,IRI
access point for agent of,has valid recording method,unstructured description
access point for agent of,has valid recording method,structured description
access point for agent of,has valid recording method,identifier
access point for agent of,has valid recording method,IRI
access point for collective agent,has valid recording method,structured description
access point for collective agent,has valid recording method,identifier
access point for collective agent,has valid recording method,IRI
access point for collective agent of,has valid recording method,unstructured description
access point for collective agent of,has valid recording method,structured description
access point for collective agent of,has valid recording method,identifier
access point for collective agent of,has valid recording method,IRI
access point for corporate body,has valid recording method,structured description
access point for corporate body,has valid recording method,identifier
access point for corporate body,has valid recording method,IRI
access point for corporate body of,has valid recording method,unstructured description
access point for corporate body of,has valid recording method,structured description
access point for corporate body of,has valid recording method,identifier
access point for corporate body of,has valid recording method,IRI
access point for expression,has valid recording method,structured description
access point for expression,has valid recording method,identifier
access point for expression,has valid recording method,IRI
access point for expression of,has valid recording method,unstructured description
access point for expression of,has valid recording method,structured description
access point for expression of,has valid recording method,identifier
access point for expression of,has valid recording method,IRI
access point for family,has valid recording method,structured description
access point for family,has valid recording method,identifier
access point for family,has valid recording method,IRI
access point for family of,has valid recording method,unstructured description
access point for family of,has valid recording method,structured description
access point for family of,has valid recording method,identifier
access point for family of,has valid recording method,IRI
access point for item,has valid recording method,structured description
access point for item,has valid recording method,identifier
access point for item,has valid recording method,IRI
access point for item of,has valid recording method,unstructured description
access point for item of,has valid recording method,structured description
access point for item of,has valid recording method,identifier
access point for item of,has valid recording method,IRI
access point for manifestation,has valid recording method,structured description
access point for manifestation,has valid recording method,identifier
access point for manifestation,has valid recording method,IRI
access point for manifestation of,has valid recording method,unstructured description
access point for manifestation of,has valid recording method,structured description
access point for manifestation of,has valid recording method,identifier
access point for manifestation of,has valid recording method,IRI
access point for person,has valid recording method,structured description
access point for person,has valid recording method,identifier
access point for person,has valid recording method,IRI
access point for person of,has valid recording method,unstructured description
access point for person of,has valid recording method,structured description
access point for person of,has valid recording method,identifier
access point for person of,has valid recording method,IRI
access point for place,has valid recording method,structured description
access point for place,has valid recording method,identifier
access point for place,has valid recording method,IRI
access point for place of,has valid recording method,unstructured description
access point for place of,has valid recording method,structured description
access point for place of,has valid recording method,identifier
access point for place of,has valid recording method,IRI
access point for RDA entity,has valid recording method,structured description
access point for RDA entity,has valid recording method,identifier
access point for RDA entity,has valid recording method,IRI
access point for RDA entity of,has valid recording method,unstructured description
access point for RDA entity of,has valid recording method,structured description
access point for RDA entity of,has valid recording method,identifier
access point for RDA entity of,has valid recording method,IRI
access point for timespan,has valid recording method,structured description
access point for timespan,has valid recording method,identifier
access point for timespan,has valid recording method,IRI
access point for timespan of,has valid recording method,unstructured description
access point for timespan of,has valid recording method,structured description
access point for timespan of,has valid recording method,identifier
access point for timespan of,has valid recording method,IRI
access point for work,has valid recording method,structured description
access point for work,has valid recording method,identifier
access point for work,has valid recording method,IRI
access point for work of,has valid recording method,unstructured description
access point for work of,has valid recording method,structured description
access point for work of,has valid recording method,identifier
access point for work of,has valid recording method,IRI
accessibility content,has valid recording method,unstructured description
accessibility content,has valid recording method,structured description
accessibility content,has valid recording method,identifier
accessibility content,has valid recording method,IRI
accompanied by manifestation,has valid recording method,unstructured description
accompanied by manifestation,has valid recording method,structured description
accompanied by manifestation,has valid recording method,identifier
accompanied by manifestation,has valid recording method,IRI
actor agent,has valid recording method,unstructured description
actor agent,has valid recording method,structured description
actor agent,has valid recording method,identifier
actor agent,has valid recording method,IRI
actor agent of,has valid recording method,unstructured description
actor agent of,has valid recording method,structured description
actor agent of,has valid recording method,identifier
actor agent of,has valid recording method,IRI
actor collective agent,has valid recording method,unstructured description
actor collective agent,has valid recording method,structured description
actor collective agent,has valid recording method,identifier
actor collective agent,has valid recording method,IRI
actor collective agent of,has valid recording method,unstructured description
actor collective agent of,has valid recording method,structured description
actor collective agent of,has valid recording method,identifier
actor collective agent of,has valid recording method,IRI
actor corporate body,has valid recording method,unstructured description
actor corporate body,has valid recording method,structured description
actor corporate body,has valid recording method,identifier
actor corporate body,has valid recording method,IRI
actor corporate body of,has valid recording method,unstructured description
actor corporate body of,has valid recording method,structured description
actor corporate body of,has valid recording method,identifier
actor corporate body of,has valid recording method,IRI
actor family,has valid recording method,unstructured description
actor family,has valid recording method,structured description
actor family,has valid recording method,identifier
actor family,has valid recording method,IRI
actor family of,has valid recording method,unstructured description
actor family of,has valid recording method,structured description
actor family of,has valid recording method,identifier
actor family of,has valid recording method,IRI
actor person,has valid recording method,unstructured description
actor person,has valid recording method,structured description
actor person,has valid recording method,identifier
actor person,has valid recording method,IRI
actor person of,has valid recording method,unstructured description
actor person of,has valid recording method,structured description
actor person of,has valid recording method,identifier
actor person of,has valid recording method,IRI
adaptation of expression,has valid recording method,unstructured description
adaptation of expression,has valid recording method,structured description
adaptation of expression,has valid recording method,identifier
adaptation of expression,has valid recording method,IRI
adaptation of work,has valid recording method,unstructured description
adaptation of work,has valid recording method,structured description
adaptation of work,has valid recording method,identifier
adaptation of work,has valid recording method,IRI
adapted as choreography expression,has valid recording method,unstructured description
adapted as choreography expression,has valid recording method,structured description
adapted as choreography expression,has valid recording method,identifier
adapted as choreography expression,has valid recording method,IRI
adapted as choreography work,has valid recording method,unstructured description
adapted as choreography work,has valid recording method,structured description
adapted as choreography work,has valid recording method,identifier
adapted as choreography work,has valid recording method,IRI
adapted as expression,has valid recording method,unstructured description
adapted as expression,has valid recording method,structured description
adapted as expression,has valid recording method,identifier
adapted as expression,has valid recording method,IRI
adapted as graphic novel expression,has valid recording method,unstructured description
adapted as graphic novel expression,has valid recording method,structured description
adapted as graphic novel expression,has valid recording method,identifier
adapted as graphic novel expression,has valid recording method,IRI
adapted as graphic novel work,has valid recording method,unstructured description
adapted as graphic novel work,has valid recording method,structured description
adapted as graphic novel work,has valid recording method,identifier
adapted as graphic novel work,has valid recording method,IRI
adapted as libretto expression,has valid recording method,unstructured description
adapted as libretto expression,has valid recording method,structured description
adapted as libretto expression,has valid recording method,identifier
adapted as libretto expression,has valid recording method,IRI
adapted as libretto work,has valid recording method,unstructured description
adapted as libretto work,has valid recording method,structured description
adapted as libretto work,has valid recording method,identifier
adapted as libretto work,has valid recording method,IRI
adapted as motion picture expression,has valid recording method,unstructured description
adapted as motion picture expression,has valid recording method,structured description
adapted as motion picture expression,has valid recording method,identifier
adapted as motion picture expression,has valid recording method,IRI
adapted as motion picture screenplay expression,has valid recording method,unstructured description
adapted as motion picture screenplay expression,has valid recording method,structured description
adapted as motion picture screenplay expression,has valid recording method,identifier
adapted as motion picture screenplay expression,has valid recording method,IRI
adapted as motion picture screenplay work,has valid recording method,unstructured description
adapted as motion picture screenplay work,has valid recording method,structured description
adapted as motion picture screenplay work,has valid recording method,identifier
adapted as motion picture screenplay work,has valid recording method,IRI
adapted as motion picture work,has valid recording method,unstructured description
adapted as motion picture work,has valid recording method,structured description
adapted as motion picture work,has valid recording method,identifier
adapted as motion picture work,has valid recording method,IRI
adapted as musical theatre expression,has valid recording method,unstructured description
adapted as musical theatre expression,has valid recording method,structured description
adapted as musical theatre expression,has valid recording method,identifier
adapted as musical theatre expression,has valid recording method,IRI
adapted as musical theatre work,has valid recording method,unstructured description
adapted as musical theatre work,has valid recording method,structured description
adapted as musical theatre work,has valid recording method,identifier
adapted as musical theatre work,has valid recording method,IRI
adapted as novel expression,has valid recording method,unstructured description
adapted as novel expression,has valid recording method,structured description
adapted as novel expression,has valid recording method,identifier
adapted as novel expression,has valid recording method,IRI
adapted as novel work,has valid recording method,unstructured description
adapted as novel work,has valid recording method,structured description
adapted as novel work,has valid recording method,identifier
adapted as novel work,has valid recording method,IRI
adapted as opera expression,has valid recording method,unstructured description
adapted as opera expression,has valid recording method,structured description
adapted as opera expression,has valid recording method,identifier
adapted as opera expression,has valid recording method,IRI
adapted as opera work,has valid recording method,unstructured description
adapted as opera work,has valid recording method,structured description
adapted as opera work,has valid recording method,identifier
adapted as opera work,has valid recording method,IRI
adapted as oratorio expression,has valid recording method,unstructured description
adapted as oratorio expression,has valid recording method,structured description
adapted as oratorio expression,has valid recording method,identifier
adapted as oratorio expression,has valid recording method,IRI
adapted as oratorio work,has valid recording method,unstructured description
adapted as oratorio work,has valid recording method,structured description
adapted as oratorio work,has valid recording method,identifier
adapted as oratorio work,has valid recording method,IRI
adapted as radio program expression,has valid recording method,unstructured description
adapted as radio program expression,has valid recording method,structured description
adapted as radio program expression,has valid recording method,identifier
adapted as radio program expression,has valid recording method,IRI
adapted as radio program work,has valid recording method,unstructured description
adapted as radio program work,has valid recording method,structured description
adapted as radio program work,has valid recording method,identifier
adapted as radio program work,has valid recording method,IRI
adapted as radio script expression,has valid recording method,unstructured description
adapted as radio script expression,has valid recording method,structured description
adapted as radio script expression,has valid recording method,identifier
adapted as radio script expression,has valid recording method,IRI
adapted as radio script work,has valid recording method,unstructured description
adapted as radio script work,has valid recording method,structured description
adapted as radio script work,has valid recording method,identifier
adapted as radio script work,has valid recording method,IRI
adapted as screenplay expression,has valid recording method,unstructured description
adapted as screenplay expression,has valid recording method,structured description
adapted as screenplay expression,has valid recording method,identifier
adapted as screenplay expression,has valid recording method,IRI
adapted as screenplay work,has valid recording method,unstructured description
adapted as screenplay work,has valid recording method,structured description
adapted as screenplay work,has valid recording method,identifier
adapted as screenplay work,has valid recording method,IRI
adapted as television program expression,has valid recording method,unstructured description
adapted as television program expression,has valid recording method,structured description
adapted as television program expression,has valid recording method,identifier
adapted as television program expression,has valid recording method,IRI
adapted as television program work,has valid recording method,unstructured description
adapted as television program work,has valid recording method,structured description
adapted as television program work,has valid recording method,identifier
adapted as television program work,has valid recording method,IRI
adapted as television screenplay expression,has valid recording method,unstructured description
adapted as television screenplay expression,has valid recording method,structured description
adapted as television screenplay expression,has valid recording method,identifier
adapted as television screenplay expression,has valid recording method,IRI
adapted as television screenplay work,has valid recording method,unstructured description
adapted as television screenplay work,has valid recording method,structured description
adapted as television screenplay work,has valid recording method,identifier
adapted as television screenplay work,has valid recording method,IRI
adapted as video expression,has valid recording method,unstructured description
adapted as video expression,has valid recording method,structured description
adapted as video expression,has valid recording method,identifier
adapted as video expression,has valid recording method,IRI
adapted as video game work,has valid recording method,unstructured description
adapted as video game work,has valid recording method,structured description
adapted as video game work,has valid recording method,identifier
adapted as video game work,has valid recording method,IRI
adapted as video screenplay expression,has valid recording method,unstructured description
adapted as video screenplay expression,has valid recording method,structured description
adapted as video screenplay expression,has valid recording method,identifier
adapted as video screenplay expression,has valid recording method,IRI
adapted as video screenplay work,has valid recording method,unstructured description
adapted as video screenplay work,has valid recording method,structured description
adapted as video screenplay work,has valid recording method,identifier
adapted as video screenplay work,has valid recording method,IRI
adapted as video work,has valid recording method,unstructured description
adapted as video work,has valid recording method,structured description
adapted as video work,has valid recording method,identifier
adapted as video work,has valid recording method,IRI
adapted as work,has valid recording method,unstructured description
adapted as work,has valid recording method,structured description
adapted as work,has valid recording method,identifier
adapted as work,has valid recording method,IRI
adapted in verse as expression,has valid recording method,unstructured description
adapted in verse as expression,has valid recording method,structured description
adapted in verse as expression,has valid recording method,identifier
adapted in verse as expression,has valid recording method,IRI
adapted in verse as work,has valid recording method,unstructured description
adapted in verse as work,has valid recording method,structured description
adapted in verse as work,has valid recording method,identifier
adapted in verse as work,has valid recording method,IRI
addenda expression,has valid recording method,unstructured description
addenda expression,has valid recording method,structured description
addenda expression,has valid recording method,identifier
addenda expression,has valid recording method,IRI
addenda to expression,has valid recording method,unstructured description
addenda to expression,has valid recording method,structured description
addenda to expression,has valid recording method,identifier
addenda to expression,has valid recording method,IRI
addenda to work,has valid recording method,unstructured description
addenda to work,has valid recording method,structured description
addenda to work,has valid recording method,identifier
addenda to work,has valid recording method,IRI
addenda work,has valid recording method,unstructured description
addenda work,has valid recording method,structured description
addenda work,has valid recording method,identifier
addenda work,has valid recording method,IRI
additional scale information,has valid recording method,unstructured description
address of agent,has valid recording method,unstructured description
address of collective agent,has valid recording method,unstructured description
address of corporate body,has valid recording method,unstructured description
address of family,has valid recording method,unstructured description
address of person,has valid recording method,unstructured description
addressee agent,has valid recording method,unstructured description
addressee agent,has valid recording method,structured description
addressee agent,has valid recording method,identifier
addressee agent,has valid recording method,IRI
addressee agent of,has valid recording method,unstructured description
addressee agent of,has valid recording method,structured description
addressee agent of,has valid recording method,identifier
addressee agent of,has valid recording method,IRI
addressee collective agent,has valid recording method,unstructured description
addressee collective agent,has valid recording method,structured description
addressee collective agent,has valid recording method,identifier
addressee collective agent,has valid recording method,IRI
addressee collective agent of,has valid recording method,unstructured description
addressee collective agent of,has valid recording method,structured description
addressee collective agent of,has valid recording method,identifier
addressee collective agent of,has valid recording method,IRI
addressee corporate body,has valid recording method,unstructured description
addressee corporate body,has valid recording method,structured description
addressee corporate body,has valid recording method,identifier
addressee corporate body,has valid recording method,IRI
addressee corporate body of,has valid recording method,unstructured description
addressee corporate body of,has valid recording method,structured description
addressee corporate body of,has valid recording method,identifier
addressee corporate body of,has valid recording method,IRI
addressee family,has valid recording method,unstructured description
addressee family,has valid recording method,structured description
addressee family,has valid recording method,identifier
addressee family,has valid recording method,IRI
addressee family of,has valid recording method,unstructured description
addressee family of,has valid recording method,structured description
addressee family of,has valid recording method,identifier
addressee family of,has valid recording method,IRI
addressee person,has valid recording method,unstructured description
addressee person,has valid recording method,structured description
addressee person,has valid recording method,identifier
addressee person,has valid recording method,IRI
addressee person of,has valid recording method,unstructured description
addressee person of,has valid recording method,structured description
addressee person of,has valid recording method,identifier
addressee person of,has valid recording method,IRI
agent described by,has valid recording method,unstructured description
agent described by,has valid recording method,structured description
agent described by,has valid recording method,identifier
agent described by,has valid recording method,IRI
agent described with metadata by,has valid recording method,unstructured description
agent described with metadata by,has valid recording method,structured description
agent described with metadata by,has valid recording method,identifier
agent described with metadata by,has valid recording method,IRI
aggregated by,has valid recording method,unstructured description
aggregated by,has valid recording method,structured description
aggregated by,has valid recording method,identifier
aggregated by,has valid recording method,IRI
aggregates,has valid recording method,unstructured description
aggregates,has valid recording method,structured description
aggregates,has valid recording method,identifier
aggregates,has valid recording method,IRI
aggregator agent,has valid recording method,unstructured description
aggregator agent,has valid recording method,structured description
aggregator agent,has valid recording method,identifier
aggregator agent,has valid recording method,IRI
aggregator agent of,has valid recording method,unstructured description
aggregator agent of,has valid recording method,structured description
aggregator agent of,has valid recording method,identifier
aggregator agent of,has valid recording method,IRI
aggregator collective agent,has valid recording method,unstructured description
aggregator collective agent,has valid recording method,structured description
aggregator collective agent,has valid recording method,identifier
aggregator collective agent,has valid recording method,IRI
aggregator collective agent of,has valid recording method,unstructured description
aggregator collective agent of,has valid recording method,structured description
aggregator collective agent of,has valid recording method,identifier
aggregator collective agent of,has valid recording method,IRI
aggregator corporate body,has valid recording method,unstructured description
aggregator corporate body,has valid recording method,structured description
aggregator corporate body,has valid recording method,identifier
aggregator corporate body,has valid recording method,IRI
aggregator corporate body of,has valid recording method,unstructured description
aggregator corporate body of,has valid recording method,structured description
aggregator corporate body of,has valid recording method,identifier
aggregator corporate body of,has valid recording method,IRI
aggregator family,has valid recording method,unstructured description
aggregator family,has valid recording method,structured description
aggregator family,has valid recording method,identifier
aggregator family,has valid recording method,IRI
aggregator family of,has valid recording method,unstructured description
aggregator family of,has valid recording method,structured description
aggregator family of,has valid recording method,identifier
aggregator family of,has valid recording method,IRI
aggregator person,has valid recording method,unstructured description
aggregator person,has valid recording method,structured description
aggregator person,has valid recording method,identifier
aggregator person,has valid recording method,IRI
aggregator person of,has valid recording method,unstructured description
aggregator person of,has valid recording method,structured description
aggregator person of,has valid recording method,identifier
aggregator person of,has valid recording method,IRI
also issued as,has valid recording method,unstructured description
also issued as,has valid recording method,structured description
also issued as,has valid recording method,identifier
also issued as,has valid recording method,IRI
alternate identity of person,has valid recording method,unstructured description
alternate identity of person,has valid recording method,structured description
alternate identity of person,has valid recording method,identifier
alternate identity of person,has valid recording method,IRI
alternate identity of person of,has valid recording method,unstructured description
alternate identity of person of,has valid recording method,structured description
alternate identity of person of,has valid recording method,identifier
alternate identity of person of,has valid recording method,IRI
analysis of expression,has valid recording method,unstructured description
analysis of expression,has valid recording method,structured description
analysis of expression,has valid recording method,identifier
analysis of expression,has valid recording method,IRI
analysis of item,has valid recording method,unstructured description
analysis of item,has valid recording method,structured description
analysis of item,has valid recording method,identifier
analysis of item,has valid recording method,IRI
analysis of manifestation,has valid recording method,unstructured description
analysis of manifestation,has valid recording method,structured description
analysis of manifestation,has valid recording method,identifier
analysis of manifestation,has valid recording method,IRI
analysis of work,has valid recording method,unstructured description
analysis of work,has valid recording method,structured description
analysis of work,has valid recording method,identifier
analysis of work,has valid recording method,IRI
animator agent,has valid recording method,unstructured description
animator agent,has valid recording method,structured description
animator agent,has valid recording method,identifier
animator agent,has valid recording method,IRI
animator agent of,has valid recording method,unstructured description
animator agent of,has valid recording method,structured description
animator agent of,has valid recording method,identifier
animator agent of,has valid recording method,IRI
animator collective agent,has valid recording method,unstructured description
animator collective agent,has valid recording method,structured description
animator collective agent,has valid recording method,identifier
animator collective agent,has valid recording method,IRI
animator collective agent of,has valid recording method,unstructured description
animator collective agent of,has valid recording method,structured description
animator collective agent of,has valid recording method,identifier
animator collective agent of,has valid recording method,IRI
animator corporate body,has valid recording method,unstructured description
animator corporate body,has valid recording method,structured description
animator corporate body,has valid recording method,identifier
animator corporate body,has valid recording method,IRI
animator corporate body of,has valid recording method,unstructured description
animator corporate body of,has valid recording method,structured description
animator corporate body of,has valid recording method,identifier
animator corporate body of,has valid recording method,IRI
animator family,has valid recording method,unstructured description
animator family,has valid recording method,structured description
animator family,has valid recording method,identifier
animator family,has valid recording method,IRI
animator family of,has valid recording method,unstructured description
animator family of,has valid recording method,structured description
animator family of,has valid recording method,identifier
animator family of,has valid recording method,IRI
animator person,has valid recording method,unstructured description
animator person,has valid recording method,structured description
animator person,has valid recording method,identifier
animator person,has valid recording method,IRI
animator person of,has valid recording method,unstructured description
animator person of,has valid recording method,structured description
animator person of,has valid recording method,identifier
animator person of,has valid recording method,IRI
annotator,has valid recording method,unstructured description
annotator,has valid recording method,structured description
annotator,has valid recording method,identifier
annotator,has valid recording method,IRI
annotator of,has valid recording method,unstructured description
annotator of,has valid recording method,structured description
annotator of,has valid recording method,identifier
annotator of,has valid recording method,IRI
appellant corporate body,has valid recording method,unstructured description
appellant corporate body,has valid recording method,structured description
appellant corporate body,has valid recording method,identifier
appellant corporate body,has valid recording method,IRI
appellant corporate body of,has valid recording method,unstructured description
appellant corporate body of,has valid recording method,structured description
appellant corporate body of,has valid recording method,identifier
appellant corporate body of,has valid recording method,IRI
appellant person,has valid recording method,unstructured description
appellant person,has valid recording method,structured description
appellant person,has valid recording method,identifier
appellant person,has valid recording method,IRI
appellant person of,has valid recording method,unstructured description
appellant person of,has valid recording method,structured description
appellant person of,has valid recording method,identifier
appellant person of,has valid recording method,IRI
appellation of agent,has valid recording method,unstructured description
appellation of agent,has valid recording method,structured description
appellation of agent,has valid recording method,identifier
appellation of agent,has valid recording method,IRI
appellation of agent of,has valid recording method,unstructured description
appellation of agent of,has valid recording method,structured description
appellation of agent of,has valid recording method,identifier
appellation of agent of,has valid recording method,IRI
appellation of collective agent,has valid recording method,unstructured description
appellation of collective agent,has valid recording method,structured description
appellation of collective agent,has valid recording method,identifier
appellation of collective agent,has valid recording method,IRI
appellation of collective agent of,has valid recording method,unstructured description
appellation of collective agent of,has valid recording method,structured description
appellation of collective agent of,has valid recording method,identifier
appellation of collective agent of,has valid recording method,IRI
appellation of corporate body,has valid recording method,unstructured description
appellation of corporate body,has valid recording method,structured description
appellation of corporate body,has valid recording method,identifier
appellation of corporate body,has valid recording method,IRI
appellation of corporate body of,has valid recording method,unstructured description
appellation of corporate body of,has valid recording method,structured description
appellation of corporate body of,has valid recording method,identifier
