RDA element,alignment,LRM element
cadenza expression,broader,is associated with res
cadenza work,broader,is associated with res
calligrapher agent,broader,was created by work
calligrapher agent of,broader,created work
calligrapher collective agent,broader,was created by work
calligrapher collective agent of,broader,created work
calligrapher corporate body,broader,was created by work
calligrapher corporate body of,broader,created work
calligrapher family,broader,was created by work
calligrapher family of,broader,created work
calligrapher person,broader,was created by work
calligrapher person of,broader,created work
capture information,broader,has note
carrier type,broader,has category of carrier
carrier version,broader,was transformed into
carrier version of,broader,is a transformation of
cartographer agent of work,broader,was created by work
cartographer agent of work of,broader        rdfs:subPropertyOf        lrmer:R1,created work
cartographer collective agent of work,broader,was created by work
cartographer collective agent of work of,broader,created work
cartographer corporate body of work,broader,was created by work
cartographer corporate body of work of,broader,created work
cartographer family of work,broader,was created by work
cartographer family of work of,broader,created work
cartographer person of work,broader,was created by work
cartographer person of work of,broader,created work
cartographic data type,broader,has access conditions
caster agent,broader,was manufactured by
caster agent of,broader,manufactured
caster collective agent,broader,was manufactured by
caster collective agent of,broader,manufactured
caster corporate body,broader,was manufactured by
caster corporate body of,broader,manufactured
caster family,broader,was manufactured by
caster family of,broader,manufactured
caster person,broader,was manufactured by
caster person of,broader,manufactured
casting director agent,broader        rdfs:subPropertyOf        lrmer:R5,was created by work
casting director agent of,broader        rdfs:subPropertyOf        lrmer:R10,created work
casting director collective agent,broader,was created by work
casting director collective agent of,broader,created work
casting director corporate body,broader,was created by work
casting director corporate body of,broader,created work
casting director family,broader,was created by work
casting director family of,broader,created work
casting director person,broader,was created by work
casting director person of,broader,created work
catalogue expression,broader,is associated with res
catalogue of expression,broader,is associated with res
catalogue of work,broader,is associated with res
catalogue work,broader,is associated with res
category of agent,broader,has category of res
category of collective agent,broader,has category of res
category of corporate body,broader,has category of res
category of expression,equivalent,has category of expression
category of family,broader,has category of res
category of government,broader,has category of res
category of item,broader,has category of res
category of manifestation,broader,has category of carrier
category of nomen,equivalent,has category of nomen
category of person,broader,has category of res
category of place,equivalent,has category of place
category of RDA entity,broader,has category of res
category of timespan,broader,has category of res
category of work,equivalent,has category of work
censor agent,broader,was created by expression
censor agent of,broader,created expression
censor collective agent,broader,was created by expression
censor collective agent of,broader,created expression
censor corporate body,broader,was created by expression
censor corporate body of,broader,created expression
censor family,broader,was created by expression
censor family of,broader,created expression
censor person,broader,was created by expression
censor person of,broader,created expression
chief executive,broader,has member
chief executive of,broader,is member of
choral conductor agent,broader,was created by expression
choral conductor agent of,broader,created expression
choral conductor collective agent,broader,was created by expression
choral conductor collective agent of,broader,created expression
choral conductor corporate body,broader,was created by expression
choral conductor corporate body of,broader,created expression
choral conductor family,broader,was created by expression
choral conductor family of,broader,created expression
choral conductor person,broader,was created by expression
choral conductor person of,broader,created expression
choreographer agent,broader,was created by work
choreographer agent of,broader        rdfs:subPropertyOf        lrmer:R5,created work
choreographer collective agent,broader,was created by work
choreographer collective agent of,broader,created work
choreographer corporate body,broader,was created by work
choreographer corporate body of,broader,created work
choreographer family,broader,was created by work
choreographer family of,broader,created work
choreographer person,broader,was created by work
choreographer person of,broader,created work
choreographic adaptation of expression,broader,has derivation expression
choreographic adaptation of work,broader,is a transformation of
choreography expression,broader,is associated with res
choreography for expression,broader,is associated with res
choreography for work,broader,accompanies or complements
choreography work,broader,accompanies or complements
civil defendant corporate body,broader,was created by work
civil defendant corporate body of,broader,created work
civil defendant person,broader,was created by work
civil defendant person of,broader,created work
colleague,broader,is associated with res
collection registrar agent,broader,is associated with res
collection registrar agent of,broader,is associated with res
collection registrar collective agent,broader,is associated with res
collection registrar collective agent of,broader,is associated with res
collection registrar corporate body,broader,is associated with res
collection registrar corporate body of,broader,is associated with res
collection registrar family,broader,is associated with res
collection registrar family of,broader,is associated with res
collection registrar person,broader,is associated with res
collection registrar person of,broader,is associated with res
collective agent described in,broader,is subject of
collector agent,broader,is associated with res
collector agent of,broader,is associated with res
collector collective agent,broader,is associated with res
collector collective agent of,broader,is associated with res
collector corporate body,broader,is associated with res
collector corporate body of,broader,is associated with res
collector family,broader,is associated with res
collector family of,broader,is associated with res
collector person,broader,is associated with res
collector person of,broader,is associated with res
collotyper agent,broader,was manufactured by
collotyper agent of,broader,manufactured
collotyper collective agent,broader,was manufactured by
collotyper collective agent of,broader,manufactured
collotyper corporate body,broader,was manufactured by
collotyper corporate body of,broader,manufactured
collotyper family,broader,was manufactured by
collotyper family of,broader,manufactured
collotyper person,broader,was manufactured by
collotyper person of,broader,manufactured
colour,broader,has note
colour content,broader,has note
colour content of representative expression,broader,has representative expression attribute
colourist agent,broader,was created by expression
colourist agent of,broader,created expression
colourist collective agent,broader,was created by expression
colourist collective agent of,broader,created expression
colourist corporate body,broader,was created by expression
colourist corporate body of,broader,created expression
colourist family,broader,was created by expression
colourist family of,broader,created expression
colourist person,broader,was created by expression
colourist person of,broader,created expression
commemoration,broader,is associated with res
commemoration of,broader,is associated with res
commentary on expression,broader,has as subject
commentary on item,broader,has as subject
commentary on manifestation,broader,has as subject
commentary on work,broader,has as subject
commentator agent,broader,was created by expression
commentator agent of,broader,created expression
commentator collective agent,broader,was created by expression
commentator collective agent of,broader,created expression
commentator corporate body,broader,was created by expression
commentator corporate body of,broader,created expression
commentator family,broader,was created by expression
commentator family of,broader,created expression
commentator person,broader,was created by expression
commentator person of,broader,created expression
commissioning body agent,equivalent,was created by work
commissioning body agent of,broader        rdfs:subPropertyOf        lrmer:R4,created work
commissioning body collective agent,broader,was created by work
commissioning body collective agent of,broader,created work
commissioning body corporate body,broader,was created by work
commissioning body corporate body of,broader,created work
commissioning body family,broader,was created by work
commissioning body family of,broader,created work
commissioning body person,broader,was created by work
commissioning body person of,broader,created work
compiler agent,broader,was created by work
compiler agent of,broader        rdfs:subPropertyOf        lrmer:R1,created work
compiler collective agent,broader,was created by work
compiler collective agent of,broader,created work
compiler corporate body,broader,was created by work
compiler corporate body of,broader,created work
compiler family,broader,was created by work
compiler family of,broader,created work
compiler person,broader,was created by work
compiler person of,broader,created work
complemented by expression,broader,is associated with res
complemented by work,broader,accompanies or complements
component of merger,broader,is associated with res
composer agent of work,broader,was created by work
composer agent of work of,broader        rdfs:subPropertyOf        lrmer:R1,created work
composer collective agent of work,broader,was created by work
composer collective agent of work of,broader,created work
composer corporate body of work,broader,was created by work
composer corporate body of work of,broader,created work
composer family of work,broader,was created by work
composer family of work of,broader,created work
composer person of work,broader,was created by work
composer person of work of,broader,created work
concordance expression,broader,is associated with res
concordance to expression,broader,is associated with res
concordance to work,broader,is associated with res
concordance work,broader,is associated with res
conductor agent,broader,was created by expression
conductor agent of,broader,created expression
conductor collective agent,broader,was created by expression
conductor collective agent of,broader,created expression
conductor corporate body,broader,was created by expression
conductor corporate body of,broader,created expression
conductor family,broader,was created by expression
conductor family of,broader,created expression
conductor person,broader,was created by expression
conductor person of,broader,created expression
configuration of playback channels,broader,has access conditions
consultant agent,broader,was created by work
consultant agent of,broader        rdfs:subPropertyOf        lrmer:R3,created work
consultant collective agent,broader,was created by work
consultant collective agent of,broader,created work
consultant corporate body,broader,was created by work
consultant corporate body of,broader,created work
consultant family,broader,was created by work
consultant family of,broader,created work
consultant person,broader,was created by work
consultant person of,broader,created work
contact information,equivalent,has contact information
contained in item,broader,is associated with res
container of item,broader,is associated with res
content type,broader,has category of expression
content type of representative expression,broader,has representative expression attribute
context of use,equivalent,has context of use
continuation of expression,broader,is associated with res
continuation of work,broader,precedes work
continued by expression,broader,is associated with res
continued by work,broader,succeeds work
contributor agent of cartography,broader,is associated with res
contributor agent of cartography of,broader,is associated with res
contributor agent of choreography,broader,is associated with res
contributor agent of choreography of,broader,is associated with res
contributor agent of computer content,broader,is associated with res
contributor agent of computer content of,broader,is associated with res
contributor agent of moving image,broader,is associated with res
contributor agent of moving image of,broader,is associated with res
contributor agent of music,broader,is associated with res
contributor agent of music of,broader,is associated with res
contributor agent of object,broader,is associated with res
contributor agent of object of,broader,is associated with res
contributor agent of speech,broader,is associated with res
contributor agent of speech of,broader,is associated with res
contributor agent of still image,broader,is associated with res
contributor agent of still image of,broader,is associated with res
contributor agent of text,broader,is associated with res
contributor agent of text of,broader,is associated with res
contributor agent to aggregate,broader,is associated with res
contributor agent to aggregate of,broader,is associated with res
contributor agent to amalgamation,broader,was created by expression
contributor agent to amalgamation of,broader,created expression
contributor agent to performance,broader,was created by expression
contributor agent to performance of,broader,created expression
contributor collective agent of cartography,broader,is associated with res
contributor collective agent of cartography of,broader,is associated with res
contributor collective agent of choreography,broader,is associated with res
contributor collective agent of choreography of,broader,is associated with res
contributor collective agent of computer content,broader,is associated with res
contributor collective agent of computer content of,broader,is associated with res
contributor collective agent of moving image,broader,is associated with res
contributor collective agent of moving image of,broader,is associated with res
contributor collective agent of music,broader,is associated with res
contributor collective agent of music of,broader,is associated with res
contributor collective agent of object,broader,is associated with res
contributor collective agent of object of,broader,is associated with res
contributor collective agent of speech,broader,is associated with res
contributor collective agent of speech of,broader,is associated with res
contributor collective agent of still image,broader,is associated with res
contributor collective agent of still image of,broader,is associated with res
contributor collective agent of text,broader,is associated with res
contributor collective agent of text of,broader,is associated with res
contributor collective agent to aggregate,broader,is associated with res
contributor collective agent to aggregate of,broader,is associated with res
contributor collective agent to amalgamation,broader,was created by expression
contributor collective agent to amalgamation of,broader,created expression
contributor collective agent to performance,broader,was created by expression
contributor collective agent to performance of,broader,created expression
contributor corporate body of cartography,broader,is associated with res
contributor corporate body of cartography of,broader,is associated with res
contributor corporate body of choreography,broader,is associated with res
contributor corporate body of choreography of,broader,is associated with res
contributor corporate body of computer content,broader,is associated with res
contributor corporate body of computer content of,broader,is associated with res
contributor corporate body of moving image,broader,is associated with res
contributor corporate body of moving image of,broader,is associated with res
contributor corporate body of music,broader,is associated with res
contributor corporate body of music of,broader,is associated with res
contributor corporate body of object,broader,is associated with res
contributor corporate body of object of,broader,is associated with res
contributor corporate body of speech,broader,is associated with res
contributor corporate body of speech of,broader,is associated with res
contributor corporate body of still image,broader,is associated with res
contributor corporate body of still image of,broader,is associated with res
contributor corporate body of text,broader,is associated with res
contributor corporate body of text of,broader,is associated with res
contributor corporate body to aggregate,broader,is associated with res
contributor corporate body to aggregate of,broader,is associated with res
contributor corporate body to amalgamation,broader,was created by expression
contributor corporate body to amalgamation of,broader,created expression
contributor corporate body to performance,broader,was created by expression
contributor corporate body to performance of,broader,created expression
contributor family of cartography,broader,is associated with res
contributor family of cartography of,broader,is associated with res
contributor family of choreography,broader,is associated with res
contributor family of choreography of,broader,is associated with res
contributor family of computer content,broader,is associated with res
contributor family of computer content of,broader,is associated with res
contributor family of moving image,broader,is associated with res
contributor family of moving image of,broader,is associated with res
contributor family of music,broader,is associated with res
contributor family of music of,broader,is associated with res
contributor family of object,broader,is associated with res
contributor family of object of,broader,is associated with res
contributor family of speech,broader,is associated with res
contributor family of speech of,broader,is associated with res
contributor family of still image,broader,is associated with res
contributor family of still image of,broader,is associated with res
contributor family of text,broader,is associated with res
contributor family of text of,broader,is associated with res
contributor family to aggregate,broader,is associated with res
contributor family to aggregate of,broader,is associated with res
contributor family to amalgamation,broader,was created by expression
contributor family to amalgamation of,broader,created expression
contributor family to performance,broader,was created by expression
contributor family to performance of,broader,created expression
contributor person of cartography,broader,is associated with res
contributor person of cartography of,broader,is associated with res
contributor person of choreography,broader,is associated with res
contributor person of choreography of,broader,is associated with res
contributor person of computer content,broader,is associated with res
contributor person of computer content of,broader,is associated with res
contributor person of moving image,broader,is associated with res
contributor person of moving image of,broader,is associated with res
contributor person of music,broader,is associated with res
contributor person of music of,broader,is associated with res
contributor person of object,broader,is associated with res
contributor person of object of,broader,is associated with res
contributor person of speech,broader,is associated with res
contributor person of speech of,broader,is associated with res
contributor person of still image,broader,is associated with res
contributor person of still image of,broader,is associated with res
contributor person of text,broader,is associated with res
contributor person of text of,broader,is associated with res
contributor person to aggregate,broader,is associated with res
contributor person to aggregate of,broader,is associated with res
contributor person to amalgamation,broader,was created by expression
contributor person to amalgamation of,broader,created expression
contributor person to performance,broader,was created by expression
contributor person to performance of,broader,created expression
coordinates of cartographic content,broader,has category of work
coordinates of cartographic content of,broader,is associated with place
copyright date,broader,has association with time-span
copyright date of,broader,is associated with time-span
corporate body described in,broader,is subject of
corporate body member of collective agent,broader,has member
corporate body member of collective agent of,broader,is member of
corporate body member of corporate body,broader,has member
corporate body member of corporate body of,broader,is member of
corporate body member of family,broader,has member
corporate body member of family of,broader,is member of
corporate history,broader,has note
costume designer agent,broader,was created by expression
costume designer agent of,broader,created expression
costume designer collective agent,broader,was created by expression
costume designer collective agent of,broader,created expression
costume designer corporate body,broader,was created by expression
costume designer corporate body of,broader,created expression
costume designer family,broader,was created by expression
costume designer family of,broader,created expression
costume designer person,broader,was created by expression
costume designer person of,broader,created expression
country associated with person,broader,has association with place
country associated with person of,broader,is associated with place
court governed,broader,was created by work
court governed of,broader,created work
court reporter agent,broader,was created by expression
court reporter agent of,broader,created expression
court reporter collective agent,broader,was created by expression
court reporter collective agent of,broader,created expression
court reporter corporate body,broader,was created by expression
court reporter corporate body of,broader,created expression
court reporter family,broader,was created by expression
court reporter family of,broader,created expression
court reporter person,broader,was created by expression
court reporter person of,broader,created expression
coverage of content,broader,has note
coworker,broader,is associated with res
creator agent of expression,equivalent,was created by expression
creator agent of expression of,equivalent,created expression
creator agent of manifestation,equivalent,was created by manifestation
creator agent of manifestation of,equivalent,created manifestation
creator agent of work,broader,was created by work
creator agent of work of,broader        rdfs:subPropertyOf        lrmer:R1,created work
creator collective agent of expression,broader,was created by expression
creator collective agent of expression of,broader,created expression
creator collective agent of manifestation,broader,was created by manifestation
creator collective agent of manifestation of,broader,created manifestation
creator collective agent of work,broader,was created by work
creator collective agent of work of,broader,created work
creator corporate body of expression,broader,was created by expression
creator corporate body of expression of,broader,created expression
creator corporate body of manifestation,broader,was created by manifestation
creator corporate body of manifestation of,broader,created manifestation
creator corporate body of work,broader,was created by work
creator corporate body of work of,broader,created work
creator family of expression,broader,was created by expression
creator family of expression of,broader,created expression
creator family of manifestation,broader,was created by manifestation
creator family of manifestation of,broader,created manifestation
creator family of work,broader,was created by work
creator family of work of,broader,created work
creator person of expression,broader,was created by expression
creator person of expression of,broader,created expression
creator person of manifestation,broader,was created by manifestation
creator person of manifestation of,broader,created manifestation
creator person of work,broader,was created by work
creator person of work of,broader,created work
criminal defendant corporate body,broader,was created by work
criminal defendant corporate body of,broader,created work
criminal defendant person,broader,was created by work
criminal defendant person of,broader,created work
critique of expression,broader,has as subject
critique of item,broader,has as subject
critique of manifestation,broader,has as subject
critique of RDA entity,broader,has as subject
critique of work,broader,has as subject
curator agent,broader,is associated with res
curator agent of,broader,is associated with res
curator collective agent,broader,is associated with res
curator collective agent of,broader,is associated with res
curator corporate body,broader,is associated with res
curator corporate body of,broader,is associated with res
curator family,broader,is associated with res
curator family of,broader,is associated with res
curator person,broader,is associated with res
curator person of,broader,is associated with res
current owner agent,broader,is owned by
current owner agent of,broader,owns
current owner collective agent,broader,is owned by
current owner collective agent of,broader,owns
current owner corporate body,broader,is owned by
current owner corporate body of,broader,owns
current owner family,broader,is owned by
current owner family of,broader,owns
current owner person,broader,is owned by
current owner person of,broader,owns
custodial history of item,broader,has note
custodian agent,broader,is owned by
