RDA element,RDA recording method,Alignment,M21 Authority encoding
date of establishment,structured description,aligns with,111 ** $a
date of termination,structured description,aligns with,111 ** $a
period of activity of corporate body,structured description,aligns with,111 ** $a
authorized access point for expression,structured description,aligns with,"111 ** $a, c, d, e, f, g, h, k, l, n, p, q, s, t"
authorized access point for work,structured description,aligns with,"111 ** $a, c, d, e, f, n, p, q, s, t"
access point for agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q"
access point for collective agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q"
access point for corporate body,structured description,aligns with,"111 ** $a, c, d, e, g, n, q"
authorized access point for agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q"
authorized access point for collective agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q"
authorized access point for corporate body,structured description,aligns with,"111 ** $a, c, d, e, g, n, q"
place of conference,structured description,aligns with,111 ** $c
date of conference,structured description,aligns with,111 ** $d
date of work,structured description,aligns with,111 ** $f
language of expression,structured description,aligns with,111 ** $l
number of conference,structured description,aligns with,111 ** $n
related place of agent,structured description,aligns with,111 1* $a
related place of corporate body,structured description,aligns with,111 1* $a
related place of agent,structured description,aligns with,111 1* $c
related place of corporate body,structured description,aligns with,111 1* $c
script,identifier,aligns with,130 ** $6
authorized access point for expression,structured description,aligns with,"130 ** $a, d, f, h, k, l, m, n, o, p, r, s"
authorized access point for work,structured description,aligns with,"130 ** $a, d, f, k, m, n, p, r"
date of work,structured description,aligns with,130 ** $f
language of expression,structured description,aligns with,130 ** $l
medium of performance of musical content of representative expression,structured description,aligns with,130 ** $m
numeric designation of musical work,identifier,aligns with,130 ** $n
key of representative expression,structured description,aligns with,130 ** $r
script,identifier,aligns with,151 ** $6
authorized access point for place,structured description,aligns with,151 ** $a
content type,identifier,aligns with,336 ** $0
content type,IRI,aligns with,336 ** $1
source consulted,identifier,aligns with,336 ** $2
script,identifier,aligns with,336 ** $6
content type,structured description,aligns with,336 ** $a
content type,structured description,aligns with,336 ** $b
source consulted,identifier,aligns with,348 ** $0
source consulted,IRI,aligns with,348 ** $1
source consulted,identifier,aligns with,348 ** $2
script,identifier,aligns with,348 ** $6
category of agent,identifier,aligns with,368 ** $0
category of collective agent,identifier,aligns with,368 ** $0
category of corporate body,identifier,aligns with,368 ** $0
category of government,identifier,aligns with,368 ** $0
category of person,identifier,aligns with,368 ** $0
related timespan of agent,identifier,aligns with,368 ** $0
related timespan of collective agent,identifier,aligns with,368 ** $0
related timespan of person,identifier,aligns with,368 ** $0
source consulted,identifier,aligns with,368 ** $0
category of agent,IRI,aligns with,368 ** $1
category of collective agent,IRI,aligns with,368 ** $1
category of corporate body,IRI,aligns with,368 ** $1
category of government,IRI,aligns with,368 ** $1
category of person,IRI,aligns with,368 ** $1
related timespan of agent,IRI,aligns with,368 ** $1
related timespan of collective agent,IRI,aligns with,368 ** $1
related timespan of person,IRI,aligns with,368 ** $1
source consulted,IRI,aligns with,368 ** $1
source consulted,identifier,aligns with,368 ** $2
script,identifier,aligns with,368 ** $6
category of agent,unstructured description,aligns with,368 ** $a
category of agent,structured description,aligns with,368 ** $a
category of collective agent,unstructured description,aligns with,368 ** $a
category of collective agent,structured description,aligns with,368 ** $a
category of corporate body,unstructured description,aligns with,368 ** $a
category of corporate body,structured description,aligns with,368 ** $a
category of agent,unstructured description,aligns with,368 ** $b
category of agent,structured description,aligns with,368 ** $b
category of collective agent,unstructured description,aligns with,368 ** $b
category of collective agent,structured description,aligns with,368 ** $b
category of government,unstructured description,aligns with,368 ** $b
category of government,structured description,aligns with,368 ** $b
category of agent,unstructured description,aligns with,368 ** $d
category of agent,structured description,aligns with,368 ** $d
category of person,unstructured description,aligns with,368 ** $d
category of person,structured description,aligns with,368 ** $d
"term of rank, honour, or office",structured description,aligns with,368 ** $d
related timespan of agent,structured description,aligns with,368 ** $s
related timespan of collective agent,structured description,aligns with,368 ** $s
related timespan of person,structured description,aligns with,368 ** $s
related timespan of agent,structured description,aligns with,368 ** $t
related timespan of collective agent,structured description,aligns with,368 ** $t
related timespan of person,structured description,aligns with,368 ** $t
country associated with person,identifier,aligns with,370 ** $0
place of birth,identifier,aligns with,370 ** $0
place of death,identifier,aligns with,370 ** $0
place of origin of work,identifier,aligns with,370 ** $0
place of residence,identifier,aligns with,370 ** $0
related place of agent,identifier,aligns with,370 ** $0
related place of collective agent,identifier,aligns with,370 ** $0
related place of corporate body,identifier,aligns with,370 ** $0
related place of family,identifier,aligns with,370 ** $0
related place of person,identifier,aligns with,370 ** $0
related place of work,identifier,aligns with,370 ** $0
source consulted,identifier,aligns with,370 ** $0
country associated with person,IRI,aligns with,370 ** $1
place of birth,IRI,aligns with,370 ** $1
place of origin of work,IRI,aligns with,370 ** $1
place of residence,IRI,aligns with,370 ** $1
related place of agent,IRI,aligns with,370 ** $1
related place of collective agent,IRI,aligns with,370 ** $1
related place of corporate body,IRI,aligns with,370 ** $1
related place of family,IRI,aligns with,370 ** $1
related place of person,IRI,aligns with,370 ** $1
related place of work,IRI,aligns with,370 ** $1
source consulted,IRI,aligns with,370 ** $1
source consulted,identifier,aligns with,370 ** $2
script,identifier,aligns with,370 ** $6
place of birth,unstructured description,aligns with,370 ** $a
place of birth,structured description,aligns with,370 ** $a
related place of agent,unstructured description,aligns with,370 ** $a
related place of agent,structured description,aligns with,370 ** $a
related place of person,unstructured description,aligns with,370 ** $a
related place of person,structured description,aligns with,370 ** $a
place of death,unstructured description,aligns with,370 ** $b
place of death,structured description,aligns with,370 ** $b
related place of agent,unstructured description,aligns with,370 ** $b
related place of agent,structured description,aligns with,370 ** $b
related place of person,unstructured description,aligns with,370 ** $b
related place of person,structured description,aligns with,370 ** $b
country associated with person,structured description,aligns with,370 ** $c
related place of agent,unstructured description,aligns with,370 ** $c
related place of agent,structured description,aligns with,370 ** $c
related place of collective agent,structured description,aligns with,370 ** $c
place of conference,unstructured description,aligns with,370 ** $e
place of conference,structured description,aligns with,370 ** $e
place of residence,structured description,aligns with,370 ** $e
related place of agent,unstructured description,aligns with,370 ** $e
related place of agent,structured description,aligns with,370 ** $e
related place of collective agent,unstructured description,aligns with,370 ** $e
related place of collective agent,structured description,aligns with,370 ** $e
related place of corporate body,unstructured description,aligns with,370 ** $e
related place of corporate body,structured description,aligns with,370 ** $e
related place of person,unstructured description,aligns with,370 ** $e
related place of person,structured description,aligns with,370 ** $e
related place of agent,unstructured description,aligns with,370 ** $f
related place of agent,structured description,aligns with,370 ** $f
related place of collective agent,unstructured description,aligns with,370 ** $f
related place of collective agent,structured description,aligns with,370 ** $f
related place of corporate body,unstructured description,aligns with,370 ** $f
related place of corporate body,structured description,aligns with,370 ** $f
related place of family,unstructured description,aligns with,370 ** $f
related place of family,structured description,aligns with,370 ** $f
related place of person,unstructured description,aligns with,370 ** $f
related place of person,structured description,aligns with,370 ** $f
place of origin of work,unstructured description,aligns with,370 ** $g
place of origin of work,structured description,aligns with,370 ** $g
related place of work,unstructured description,aligns with,370 ** $g
related place of work,structured description,aligns with,370 ** $g
place of death,IRI,aligns with,371 ** $1
script,identifier,aligns with,371 ** $6
address of agent,unstructured description,aligns with,371 ** $a
address of collective agent,unstructured description,aligns with,371 ** $a
address of corporate body,unstructured description,aligns with,371 ** $a
address of family,unstructured description,aligns with,371 ** $a
address of person,unstructured description,aligns with,371 ** $a
address of agent,unstructured description,aligns with,371 ** $b
address of collective agent,unstructured description,aligns with,371 ** $b
address of corporate body,unstructured description,aligns with,371 ** $b
address of family,unstructured description,aligns with,371 ** $b
address of person,unstructured description,aligns with,371 ** $b
address of agent,unstructured description,aligns with,371 ** $c
address of collective agent,unstructured description,aligns with,371 ** $c
address of corporate body,unstructured description,aligns with,371 ** $c
address of family,unstructured description,aligns with,371 ** $c
address of person,unstructured description,aligns with,371 ** $c
address of agent,unstructured description,aligns with,371 ** $d
address of collective agent,unstructured description,aligns with,371 ** $d
address of corporate body,unstructured description,aligns with,371 ** $d
address of family,unstructured description,aligns with,371 ** $d
address of person,unstructured description,aligns with,371 ** $d
address of agent,unstructured description,aligns with,371 ** $e
address of collective agent,unstructured description,aligns with,371 ** $e
address of corporate body,unstructured description,aligns with,371 ** $e
address of family,unstructured description,aligns with,371 ** $e
address of person,unstructured description,aligns with,371 ** $e
address of agent,unstructured description,aligns with,371 ** $m
address of collective agent,unstructured description,aligns with,371 ** $m
address of corporate body,unstructured description,aligns with,371 ** $m
address of family,unstructured description,aligns with,371 ** $m
address of person,unstructured description,aligns with,371 ** $m
address of agent,unstructured description,aligns with,371 ** $z
address of collective agent,unstructured description,aligns with,371 ** $z
address of corporate body,unstructured description,aligns with,371 ** $z
address of family,unstructured description,aligns with,371 ** $z
address of person,unstructured description,aligns with,371 ** $z
field of activity of agent,identifier,aligns with,372 ** $0
field of activity of family,identifier,aligns with,372 ** $0
field of activity of collective agent,identifier,aligns with,372 ** $0
field of activity of corporate body,identifier,aligns with,372 ** $0
field of activity of person,identifier,aligns with,372 ** $0
related timespan of agent,identifier,aligns with,372 ** $0
related timespan of collective agent,identifier,aligns with,372 ** $0
related timespan of person,identifier,aligns with,372 ** $0
source consulted,identifier,aligns with,372 ** $0
field of activity of agent,IRI,aligns with,372 ** $1
field of activity of family,IRI,aligns with,372 ** $1
field of activity of collective agent,IRI,aligns with,372 ** $1
field of activity of corporate body,IRI,aligns with,372 ** $1
field of activity of person,IRI,aligns with,372 ** $1
related timespan of agent,IRI,aligns with,372 ** $1
related timespan of collective agent,IRI,aligns with,372 ** $1
related timespan of person,IRI,aligns with,372 ** $1
source consulted,IRI,aligns with,372 ** $1
source consulted,identifier,aligns with,372 ** $2
script,identifier,aligns with,372 ** $6
field of activity of agent,unstructured description,aligns with,372 ** $a
field of activity of agent,structured description,aligns with,372 ** $a
field of activity of collective agent,unstructured description,aligns with,372 ** $a
field of activity of collective agent,structured description,aligns with,372 ** $a
field of activity of family,structured description,aligns with,372 ** $a
field of activity of person,unstructured description,aligns with,372 ** $a
field of activity of corporate body,unstructured description,aligns with,372 ** $a
field of activity of corporate body,structured description,aligns with,372 ** $a
field of activity of family,unstructured description,aligns with,372 ** $a
field of activity of person,structured description,aligns with,372 ** $a
period of activity of corporate body,structured description,aligns with,372 ** $s
period of activity of family,structured description,aligns with,372 ** $s
period of activity of person,structured description,aligns with,372 ** $s
related timespan of agent,structured description,aligns with,372 ** $s
related timespan of collective agent,structured description,aligns with,372 ** $s
related timespan of person,structured description,aligns with,372 ** $s
period of activity of corporate body,structured description,aligns with,372 ** $t
period of activity of family,structured description,aligns with,372 ** $t
period of activity of person,structured description,aligns with,372 ** $t
related timespan of agent,structured description,aligns with,372 ** $t
related timespan of collective agent,structured description,aligns with,372 ** $t
related timespan of person,structured description,aligns with,372 ** $t
related agent of agent,identifier,aligns with,373 ** $0
related agent of family,identifier,aligns with,373 ** $0
related agent of person,identifier,aligns with,373 ** $0
related collective agent of agent,identifier,aligns with,373 ** $0
related collective agent of collective agent,identifier,aligns with,373 ** $0
related collective agent of corporate body,identifier,aligns with,373 ** $0
related collective agent of family,identifier,aligns with,373 ** $0
related collective agent of person,identifier,aligns with,373 ** $0
related collective agent of place,identifier,aligns with,373 ** $0
related corporate body of agent,identifier,aligns with,373 ** $0
related corporate body of collective agent,identifier,aligns with,373 ** $0
related corporate body of corporate body,identifier,aligns with,373 ** $0
related corporate body of family,identifier,aligns with,373 ** $0
related corporate body of person,identifier,aligns with,373 ** $0
related corporate body of place,identifier,aligns with,373 ** $0
source consulted,identifier,aligns with,373 ** $0
student at,identifier,aligns with,373 ** $0
related agent of agent,IRI,aligns with,373 ** $1
related agent of family,IRI,aligns with,373 ** $1
related agent of person,IRI,aligns with,373 ** $1
related collective agent of agent,IRI,aligns with,373 ** $1
related collective agent of collective agent,IRI,aligns with,373 ** $1
related collective agent of corporate body,IRI,aligns with,373 ** $1
related collective agent of family,IRI,aligns with,373 ** $1
related collective agent of person,IRI,aligns with,373 ** $1
related collective agent of place,IRI,aligns with,373 ** $1
related corporate body of agent,IRI,aligns with,373 ** $1
related corporate body of collective agent,IRI,aligns with,373 ** $1
related corporate body of corporate body,IRI,aligns with,373 ** $1
related corporate body of family,IRI,aligns with,373 ** $1
related corporate body of person,IRI,aligns with,373 ** $1
related corporate body of place,IRI,aligns with,373 ** $1
source consulted,IRI,aligns with,373 ** $1
student at,IRI,aligns with,373 ** $1
source consulted,identifier,aligns with,373 ** $2
script,identifier,aligns with,373 ** $6
related agent of agent,unstructured description,aligns with,373 ** $a
related agent of agent,structured description,aligns with,373 ** $a
related agent of family,unstructured description,aligns with,373 ** $a
related agent of family,structured description,aligns with,373 ** $a
related agent of person,unstructured description,aligns with,373 ** $a
related agent of person,structured description,aligns with,373 ** $a
related collective agent of agent,structured description,aligns with,373 ** $a
related collective agent of collective agent,unstructured description,aligns with,373 ** $a
related collective agent of collective agent,structured description,aligns with,373 ** $a
related collective agent of corporate body,unstructured description,aligns with,373 ** $a
related collective agent of corporate body,structured description,aligns with,373 ** $a
related collective agent of family,unstructured description,aligns with,373 ** $a
related collective agent of family,structured description,aligns with,373 ** $a
related collective agent of person,unstructured description,aligns with,373 ** $a
related collective agent of person,structured description,aligns with,373 ** $a
related collective agent of place,unstructured description,aligns with,373 ** $a
related collective agent of place,structured description,aligns with,373 ** $a
related corporate body of agent,unstructured description,aligns with,373 ** $a
related corporate body of agent,structured description,aligns with,373 ** $a
related corporate body of collective agent,unstructured description,aligns with,373 ** $a
related corporate body of collective agent,structured description,aligns with,373 ** $a
related corporate body of corporate body,unstructured description,aligns with,373 ** $a
related corporate body of corporate body,structured description,aligns with,373 ** $a
related corporate body of family,unstructured description,aligns with,373 ** $a
related corporate body of family,structured description,aligns with,373 ** $a
related corporate body of person,unstructured description,aligns with,373 ** $a
related corporate body of person,structured description,aligns with,373 ** $a
related corporate body of place,unstructured description,aligns with,373 ** $a
related corporate body of place,structured description,aligns with,373 ** $a
student at,unstructured description,aligns with,373 ** $a
student at,structured description,aligns with,373 ** $a
profession or occupation,identifier,aligns with,374 ** $0
source consulted,identifier,aligns with,374 ** $0
profession or occupation,IRI,aligns with,374 ** $1
source consulted,IRI,aligns with,374 ** $1
source consulted,identifier,aligns with,374 ** $2
script,identifier,aligns with,374 ** $6
profession or occupation,structured description,aligns with,374 ** $a
source consulted,identifier,aligns with,375 ** $2
script,identifier,aligns with,375 ** $6
gender,unstructured description,aligns with,375 ** $a
gender,structured description,aligns with,375 ** $a
category of agent,identifier,aligns with,376 ** $0
category of collective agent,identifier,aligns with,376 ** $0
category of family,identifier,aligns with,376 ** $0
related person of family,identifier,aligns with,376 ** $0
related timespan of agent,identifier,aligns with,376 ** $0
related timespan of collective agent,identifier,aligns with,376 ** $0
related timespan of family,identifier,aligns with,376 ** $0
source consulted,identifier,aligns with,376 ** $0
category of agent,IRI,aligns with,376 ** $1
category of collective agent,IRI,aligns with,376 ** $1
