RDA element,RDA recording method,Alignment,M21 Bibliographic encoding
photographer collective agent of work,identifier,aligns with,710 ** $0
photographer collective agent of work,IRI,aligns with,100 3* $1
photographer collective agent of work,IRI,aligns with,110 ** $1
photographer collective agent of work,IRI,aligns with,700 3* $1
photographer collective agent of work,IRI,aligns with,710 ** $1
interviewer collective agent of work,unstructured description,aligns with,500 ** $a
interviewer collective agent of work,unstructured description,aligns with,511 ** $a
interviewer collective agent of work,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
interviewer collective agent of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
interviewer collective agent of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
interviewer collective agent of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
interviewer collective agent of work,identifier,aligns with,100 3* $0
interviewer collective agent of work,identifier,aligns with,110 ** $0
interviewer collective agent of work,identifier,aligns with,700 3* $0
interviewer collective agent of work,identifier,aligns with,710 ** $0
interviewer collective agent of work,IRI,aligns with,100 3* $1
interviewer collective agent of work,IRI,aligns with,110 ** $1
interviewer collective agent of work,IRI,aligns with,700 3* $1
interviewer collective agent of work,IRI,aligns with,710 ** $1
interviewee collective agent of work,unstructured description,aligns with,500 ** $a
interviewee collective agent of work,unstructured description,aligns with,511 ** $a
interviewee collective agent of work,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
interviewee collective agent of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
interviewee collective agent of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
interviewee collective agent of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
interviewee collective agent of work,identifier,aligns with,100 3* $0
interviewee collective agent of work,identifier,aligns with,110 ** $0
interviewee collective agent of work,identifier,aligns with,700 3* $0
interviewee collective agent of work,identifier,aligns with,710 ** $0
interviewee collective agent of work,IRI,aligns with,100 3* $1
interviewee collective agent of work,IRI,aligns with,110 ** $1
interviewee collective agent of work,IRI,aligns with,700 3* $1
interviewee collective agent of work,IRI,aligns with,710 ** $1
aggregator collective agent,unstructured description,aligns with,500 ** $a
aggregator collective agent,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
aggregator collective agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
aggregator collective agent,structured description,aligns with,"111 ** $a, c, d, e, g, n, q, u"
aggregator collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
aggregator collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
aggregator collective agent,identifier,aligns with,100 3* $0
aggregator collective agent,identifier,aligns with,110 ** $0
aggregator collective agent,identifier,aligns with,111 ** $0
aggregator collective agent,identifier,aligns with,700 3* $0
aggregator collective agent,identifier,aligns with,710 ** $0
aggregator collective agent,IRI,aligns with,100 3* $1
aggregator collective agent,IRI,aligns with,110 ** $1
aggregator collective agent,IRI,aligns with,111 ** $1
aggregator collective agent,IRI,aligns with,700 3* $1
aggregator collective agent,IRI,aligns with,710 ** $1
remix artist collective agent,unstructured description,aligns with,500 ** $a
remix artist collective agent,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
remix artist collective agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
remix artist collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
remix artist collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
remix artist collective agent,identifier,aligns with,100 3* $0
remix artist collective agent,identifier,aligns with,110 ** $0
remix artist collective agent,identifier,aligns with,700 3* $0
remix artist collective agent,identifier,aligns with,710 ** $0
remix artist collective agent,IRI,aligns with,100 3* $1
remix artist collective agent,IRI,aligns with,110 ** $1
remix artist collective agent,IRI,aligns with,700 3* $1
remix artist collective agent,IRI,aligns with,710 ** $1
filmmaker collective agent,unstructured description,aligns with,500 ** $a
filmmaker collective agent,unstructured description,aligns with,508 ** $a
filmmaker collective agent,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
filmmaker collective agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
filmmaker collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
filmmaker collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
filmmaker collective agent,identifier,aligns with,100 3* $0
filmmaker collective agent,identifier,aligns with,110 ** $0
filmmaker collective agent,identifier,aligns with,700 3* $0
filmmaker collective agent,identifier,aligns with,710 ** $0
filmmaker collective agent,IRI,aligns with,100 3* $1
filmmaker collective agent,IRI,aligns with,110 ** $1
filmmaker collective agent,IRI,aligns with,700 3* $1
filmmaker collective agent,IRI,aligns with,710 ** $1
artist collective agent,unstructured description,aligns with,500 ** $a
artist collective agent,structured description,aligns with,"100 3* $a, b, c, d, g, q, u"
artist collective agent,structured description,aligns with,"110 ** $a, b, c, d, g, u"
artist collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
artist collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
artist collective agent,identifier,aligns with,100 3* $0
artist collective agent,identifier,aligns with,110 ** $0
artist collective agent,identifier,aligns with,700 3* $0
artist collective agent,identifier,aligns with,710 ** $0
artist collective agent,IRI,aligns with,100 3* $1
artist collective agent,IRI,aligns with,110 ** $1
artist collective agent,IRI,aligns with,700 3* $1
artist collective agent,IRI,aligns with,710 ** $1
founder collective agent of work,unstructured description,aligns with,500 ** $a
founder collective agent of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
founder collective agent of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
founder collective agent of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
founder collective agent of work,identifier,aligns with,700 3* $0
founder collective agent of work,identifier,aligns with,710 ** $0
founder collective agent of work,identifier,aligns with,711 ** $0
founder collective agent of work,IRI,aligns with,700 3* $1
founder collective agent of work,IRI,aligns with,710 ** $1
founder collective agent of work,IRI,aligns with,711 ** $1
casting director collective agent,unstructured description,aligns with,500 ** $a
casting director collective agent,unstructured description,aligns with,508 ** $a
casting director collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
casting director collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
casting director collective agent,identifier,aligns with,700 3* $0
casting director collective agent,identifier,aligns with,710 ** $0
casting director collective agent,IRI,aligns with,700 3* $1
casting director collective agent,IRI,aligns with,710 ** $1
producer collective agent,unstructured description,aligns with,260 ** $b
producer collective agent,unstructured description,aligns with,264 *0 $b
producer collective agent,unstructured description,aligns with,500 ** $a
producer collective agent,unstructured description,aligns with,508 ** $a
producer collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
producer collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
producer collective agent,identifier,aligns with,700 3* $0
producer collective agent,identifier,aligns with,710 ** $0
producer collective agent,IRI,aligns with,700 3* $1
producer collective agent,IRI,aligns with,710 ** $1
director collective agent,unstructured description,aligns with,500 ** $a
director collective agent,unstructured description,aligns with,508 ** $a
director collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
director collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
director collective agent,identifier,aligns with,700 3* $0
director collective agent,identifier,aligns with,710 ** $0
director collective agent,IRI,aligns with,700 3* $1
director collective agent,IRI,aligns with,710 ** $1
issuing collective agent,unstructured description,aligns with,500 ** $a
issuing collective agent,unstructured description,aligns with,550 ** $a
issuing collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
issuing collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
issuing collective agent,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
issuing collective agent,identifier,aligns with,700 3* $0
issuing collective agent,identifier,aligns with,710 ** $0
issuing collective agent,identifier,aligns with,711 ** $0
issuing collective agent,IRI,aligns with,700 3* $1
issuing collective agent,IRI,aligns with,710 ** $1
issuing collective agent,IRI,aligns with,711 ** $1
organizer collective agent,unstructured description,aligns with,500 ** $a
organizer collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
organizer collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
organizer collective agent,identifier,aligns with,700 3* $0
organizer collective agent,identifier,aligns with,710 ** $0
organizer collective agent,IRI,aligns with,700 3* $1
organizer collective agent,IRI,aligns with,710 ** $1
consultant collective agent,unstructured description,aligns with,500 ** $a
consultant collective agent,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
consultant collective agent,structured description,aligns with,"710 ** $a, b, c, d, g, u"
consultant collective agent,identifier,aligns with,700 3* $0
consultant collective agent,identifier,aligns with,710 ** $0
consultant collective agent,IRI,aligns with,700 3* $1
consultant collective agent,IRI,aligns with,710 ** $1
dedicatee corporate body of work,unstructured description,aligns with,500 ** $a
dedicatee corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
dedicatee corporate body of work,identifier,aligns with,710 ** $0
dedicatee corporate body of work,IRI,aligns with,710 ** $1
addressee corporate body,unstructured description,aligns with,500 ** $a
addressee corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
addressee corporate body,identifier,aligns with,710 ** $0
addressee corporate body,IRI,aligns with,710 ** $1
dedicator corporate body,unstructured description,aligns with,500 ** $a
dedicator corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
dedicator corporate body,identifier,aligns with,710 ** $0
dedicator corporate body,IRI,aligns with,710 ** $1
director corporate body of photography,unstructured description,aligns with,500 ** $a
director corporate body of photography,unstructured description,aligns with,508 ** $a
director corporate body of photography,structured description,aligns with,"710 ** $a, b, c, d, g, u"
director corporate body of photography,identifier,aligns with,710 ** $0
director corporate body of photography,IRI,aligns with,710 ** $1
researcher corporate body,unstructured description,aligns with,500 ** $a
researcher corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
researcher corporate body,identifier,aligns with,710 ** $0
researcher corporate body,IRI,aligns with,710 ** $1
editorial director corporate body,unstructured description,aligns with,500 ** $a
editorial director corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
editorial director corporate body,identifier,aligns with,710 ** $0
editorial director corporate body,IRI,aligns with,710 ** $1
film director corporate body,unstructured description,aligns with,500 ** $a
film director corporate body,unstructured description,aligns with,508 ** $a
film director corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
film director corporate body,identifier,aligns with,710 ** $0
film director corporate body,IRI,aligns with,710 ** $1
radio director corporate body,unstructured description,aligns with,500 ** $a
radio director corporate body,unstructured description,aligns with,508 ** $a
radio director corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
radio director corporate body,identifier,aligns with,710 ** $0
radio director corporate body,IRI,aligns with,710 ** $1
television director corporate body,unstructured description,aligns with,500 ** $a
television director corporate body,unstructured description,aligns with,508 ** $a
television director corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
television director corporate body,identifier,aligns with,710 ** $0
television director corporate body,IRI,aligns with,710 ** $1
audio producer corporate body,unstructured description,aligns with,500 ** $a
audio producer corporate body,unstructured description,aligns with,508 ** $a
audio producer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
audio producer corporate body,identifier,aligns with,710 ** $0
audio producer corporate body,IRI,aligns with,710 ** $1
film producer corporate body,unstructured description,aligns with,500 ** $a
film producer corporate body,unstructured description,aligns with,508 ** $a
film producer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
film producer corporate body,identifier,aligns with,710 ** $0
film producer corporate body,IRI,aligns with,710 ** $1
radio producer corporate body,unstructured description,aligns with,500 ** $a
radio producer corporate body,unstructured description,aligns with,508 ** $a
radio producer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
radio producer corporate body,identifier,aligns with,710 ** $0
radio producer corporate body,IRI,aligns with,710 ** $1
television producer corporate body,unstructured description,aligns with,500 ** $a
television producer corporate body,unstructured description,aligns with,508 ** $a
television producer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
television producer corporate body,identifier,aligns with,710 ** $0
television producer corporate body,IRI,aligns with,710 ** $1
landscape architect corporate body,unstructured description,aligns with,500 ** $a
landscape architect corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
landscape architect corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
landscape architect corporate body,identifier,aligns with,110 ** $0
landscape architect corporate body,identifier,aligns with,710 ** $0
landscape architect corporate body,IRI,aligns with,110 ** $1
landscape architect corporate body,IRI,aligns with,710 ** $1
calligrapher corporate body,unstructured description,aligns with,500 ** $a
calligrapher corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
calligrapher corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
calligrapher corporate body,identifier,aligns with,110 ** $0
calligrapher corporate body,identifier,aligns with,710 ** $0
calligrapher corporate body,IRI,aligns with,110 ** $1
calligrapher corporate body,IRI,aligns with,710 ** $1
sculptor corporate body,unstructured description,aligns with,500 ** $a
sculptor corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
sculptor corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
sculptor corporate body,identifier,aligns with,110 ** $0
sculptor corporate body,identifier,aligns with,710 ** $0
sculptor corporate body,IRI,aligns with,110 ** $1
sculptor corporate body,IRI,aligns with,710 ** $1
book artist corporate body,unstructured description,aligns with,500 ** $a
book artist corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
book artist corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
book artist corporate body,identifier,aligns with,110 ** $0
book artist corporate body,identifier,aligns with,710 ** $0
book artist corporate body,IRI,aligns with,110 ** $1
book artist corporate body,IRI,aligns with,710 ** $1
screenwriter corporate body,unstructured description,aligns with,500 ** $a
screenwriter corporate body,unstructured description,aligns with,508 ** $a
screenwriter corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
screenwriter corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
screenwriter corporate body,identifier,aligns with,110 ** $0
screenwriter corporate body,identifier,aligns with,710 ** $0
screenwriter corporate body,IRI,aligns with,110 ** $1
screenwriter corporate body,IRI,aligns with,710 ** $1
lyricist corporate body,unstructured description,aligns with,500 ** $a
lyricist corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
lyricist corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
lyricist corporate body,identifier,aligns with,110 ** $0
lyricist corporate body,identifier,aligns with,710 ** $0
lyricist corporate body,IRI,aligns with,110 ** $1
lyricist corporate body,IRI,aligns with,710 ** $1
librettist corporate body,unstructured description,aligns with,500 ** $a
librettist corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
librettist corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
librettist corporate body,identifier,aligns with,110 ** $0
librettist corporate body,identifier,aligns with,710 ** $0
librettist corporate body,IRI,aligns with,110 ** $1
librettist corporate body,IRI,aligns with,710 ** $1
rapporteur corporate body,unstructured description,aligns with,500 ** $a
rapporteur corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
rapporteur corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
rapporteur corporate body,identifier,aligns with,110 ** $0
rapporteur corporate body,identifier,aligns with,710 ** $0
rapporteur corporate body,IRI,aligns with,110 ** $1
rapporteur corporate body,IRI,aligns with,710 ** $1
honouree corporate body of work,unstructured description,aligns with,500 ** $a
honouree corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
honouree corporate body of work,identifier,aligns with,710 ** $0
honouree corporate body of work,IRI,aligns with,710 ** $1
choreographer corporate body,unstructured description,aligns with,500 ** $a
choreographer corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
choreographer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
choreographer corporate body,identifier,aligns with,110 ** $0
choreographer corporate body,identifier,aligns with,710 ** $0
choreographer corporate body,IRI,aligns with,110 ** $1
choreographer corporate body,IRI,aligns with,710 ** $1
cartographer corporate body of work,unstructured description,aligns with,500 ** $a
cartographer corporate body of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
cartographer corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
cartographer corporate body of work,identifier,aligns with,110 ** $0
cartographer corporate body of work,identifier,aligns with,710 ** $0
cartographer corporate body of work,IRI,aligns with,110 ** $1
cartographer corporate body of work,IRI,aligns with,710 ** $1
author corporate body,unstructured description,aligns with,500 ** $a
author corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
author corporate body,structured description,aligns with,"111 ** $a, c, d, e, g, n, q, u"
author corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
author corporate body,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
author corporate body,identifier,aligns with,110 ** $0
author corporate body,identifier,aligns with,111 ** $0
author corporate body,identifier,aligns with,710 ** $0
author corporate body,identifier,aligns with,711 ** $0
author corporate body,IRI,aligns with,110 ** $1
author corporate body,IRI,aligns with,111 ** $1
author corporate body,IRI,aligns with,710 ** $1
author corporate body,IRI,aligns with,711 ** $1
creator corporate body of work,unstructured description,aligns with,500 ** $a
creator corporate body of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
creator corporate body of work,structured description,aligns with,"111 ** $a, c, d, e, g, n, q, u"
creator corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
creator corporate body of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
creator corporate body of work,identifier,aligns with,110 ** $0
creator corporate body of work,identifier,aligns with,111 ** $0
creator corporate body of work,identifier,aligns with,710 ** $0
creator corporate body of work,identifier,aligns with,711 ** $0
creator corporate body of work,IRI,aligns with,110 ** $1
creator corporate body of work,IRI,aligns with,111 ** $1
creator corporate body of work,IRI,aligns with,710 ** $1
creator corporate body of work,IRI,aligns with,711 ** $1
architect corporate body,unstructured description,aligns with,500 ** $a
architect corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
architect corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
architect corporate body,identifier,aligns with,110 ** $0
architect corporate body,identifier,aligns with,710 ** $0
architect corporate body,IRI,aligns with,110 ** $1
architect corporate body,IRI,aligns with,710 ** $1
commissioning corporate body,unstructured description,aligns with,500 ** $a
commissioning corporate body,unstructured description,aligns with,536 ** $a
commissioning corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
commissioning corporate body,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
commissioning corporate body,identifier,aligns with,710 ** $0
commissioning corporate body,identifier,aligns with,711 ** $0
commissioning corporate body,IRI,aligns with,710 ** $1
commissioning corporate body,IRI,aligns with,711 ** $1
programmer corporate body,unstructured description,aligns with,500 ** $a
programmer corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
programmer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
programmer corporate body,identifier,aligns with,110 ** $0
programmer corporate body,identifier,aligns with,710 ** $0
programmer corporate body,IRI,aligns with,110 ** $1
programmer corporate body,IRI,aligns with,710 ** $1
designer corporate body,unstructured description,aligns with,500 ** $a
designer corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
designer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
designer corporate body,identifier,aligns with,110 ** $0
designer corporate body,identifier,aligns with,710 ** $0
designer corporate body,IRI,aligns with,110 ** $1
designer corporate body,IRI,aligns with,710 ** $1
composer corporate body of work,unstructured description,aligns with,500 ** $a
composer corporate body of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
composer corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
composer corporate body of work,identifier,aligns with,110 ** $0
composer corporate body of work,identifier,aligns with,710 ** $0
composer corporate body of work,IRI,aligns with,110 ** $1
composer corporate body of work,IRI,aligns with,710 ** $1
inventor corporate body,unstructured description,aligns with,500 ** $a
inventor corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
inventor corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
inventor corporate body,identifier,aligns with,110 ** $0
inventor corporate body,identifier,aligns with,710 ** $0
inventor corporate body,IRI,aligns with,110 ** $1
inventor corporate body,IRI,aligns with,710 ** $1
compiler corporate body,unstructured description,aligns with,500 ** $a
compiler corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
compiler corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
compiler corporate body,identifier,aligns with,110 ** $0
compiler corporate body,identifier,aligns with,710 ** $0
compiler corporate body,IRI,aligns with,110 ** $1
compiler corporate body,IRI,aligns with,710 ** $1
photographer corporate body of work,unstructured description,aligns with,500 ** $a
photographer corporate body of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
photographer corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
photographer corporate body of work,identifier,aligns with,110 ** $0
photographer corporate body of work,identifier,aligns with,710 ** $0
photographer corporate body of work,IRI,aligns with,110 ** $1
photographer corporate body of work,IRI,aligns with,710 ** $1
interviewer corporate body of work,unstructured description,aligns with,500 ** $a
interviewer corporate body of work,unstructured description,aligns with,511 ** $a
interviewer corporate body of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
interviewer corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
interviewer corporate body of work,identifier,aligns with,110 ** $0
interviewer corporate body of work,identifier,aligns with,710 ** $0
interviewer corporate body of work,IRI,aligns with,110 ** $1
interviewer corporate body of work,IRI,aligns with,710 ** $1
interviewee corporate body of work,unstructured description,aligns with,500 ** $a
interviewee corporate body of work,unstructured description,aligns with,511 ** $a
interviewee corporate body of work,structured description,aligns with,"110 ** $a, b, c, d, g, u"
interviewee corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
interviewee corporate body of work,identifier,aligns with,110 ** $0
interviewee corporate body of work,identifier,aligns with,710 ** $0
interviewee corporate body of work,IRI,aligns with,110 ** $1
interviewee corporate body of work,IRI,aligns with,710 ** $1
aggregator corporate body,unstructured description,aligns with,500 ** $a
aggregator corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
aggregator corporate body,structured description,aligns with,"111 ** $a, c, d, e, g, n, q, u"
aggregator corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
aggregator corporate body,identifier,aligns with,110 ** $0
aggregator corporate body,identifier,aligns with,111 ** $0
aggregator corporate body,identifier,aligns with,710 ** $0
aggregator corporate body,IRI,aligns with,110 ** $1
aggregator corporate body,IRI,aligns with,111 ** $1
aggregator corporate body,IRI,aligns with,710 ** $1
remix artist corporate body,unstructured description,aligns with,500 ** $a
remix artist corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
remix artist corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
remix artist corporate body,identifier,aligns with,110 ** $0
remix artist corporate body,identifier,aligns with,710 ** $0
remix artist corporate body,IRI,aligns with,110 ** $1
remix artist corporate body,IRI,aligns with,710 ** $1
filmmaker corporate body,unstructured description,aligns with,500 ** $a
filmmaker corporate body,unstructured description,aligns with,508 ** $a
filmmaker corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
filmmaker corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
filmmaker corporate body,identifier,aligns with,110 ** $0
filmmaker corporate body,identifier,aligns with,710 ** $0
filmmaker corporate body,IRI,aligns with,110 ** $1
filmmaker corporate body,IRI,aligns with,710 ** $1
artist corporate body,unstructured description,aligns with,500 ** $a
artist corporate body,structured description,aligns with,"110 ** $a, b, c, d, g, u"
artist corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
artist corporate body,identifier,aligns with,110 ** $0
artist corporate body,identifier,aligns with,710 ** $0
artist corporate body,IRI,aligns with,110 ** $1
artist corporate body,IRI,aligns with,710 ** $1
founder corporate body of work,unstructured description,aligns with,500 ** $a
founder corporate body of work,structured description,aligns with,"710 ** $a, b, c, d, g, u"
founder corporate body of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
founder corporate body of work,identifier,aligns with,710 ** $0
founder corporate body of work,identifier,aligns with,711 ** $0
founder corporate body of work,IRI,aligns with,710 ** $1
founder corporate body of work,IRI,aligns with,711 ** $1
casting director corporate body,unstructured description,aligns with,500 ** $a
casting director corporate body,unstructured description,aligns with,508 ** $a
casting director corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
casting director corporate body,identifier,aligns with,710 ** $0
casting director corporate body,IRI,aligns with,710 ** $1
producer corporate body,unstructured description,aligns with,260 ** $b
producer corporate body,unstructured description,aligns with,264 *0 $b
producer corporate body,unstructured description,aligns with,500 ** $a
producer corporate body,unstructured description,aligns with,508 ** $a
producer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
producer corporate body,identifier,aligns with,710 ** $0
producer corporate body,IRI,aligns with,710 ** $1
director corporate body,unstructured description,aligns with,500 ** $a
director corporate body,unstructured description,aligns with,508 ** $a
director corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
director corporate body,identifier,aligns with,710 ** $0
director corporate body,IRI,aligns with,710 ** $1
issuing corporate body,unstructured description,aligns with,500 ** $a
issuing corporate body,unstructured description,aligns with,550 ** $a
issuing corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
issuing corporate body,structured description,aligns with,"711 ** $a, c, d, e, f, g, n, q, u"
issuing corporate body,identifier,aligns with,710 ** $0
issuing corporate body,identifier,aligns with,711 ** $0
issuing corporate body,IRI,aligns with,710 ** $1
issuing corporate body,IRI,aligns with,711 ** $1
organizer corporate body,unstructured description,aligns with,500 ** $a
organizer corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
organizer corporate body,identifier,aligns with,710 ** $0
organizer corporate body,IRI,aligns with,710 ** $1
consultant corporate body,unstructured description,aligns with,500 ** $a
consultant corporate body,structured description,aligns with,"710 ** $a, b, c, d, g, u"
consultant corporate body,identifier,aligns with,710 ** $0
consultant corporate body,IRI,aligns with,710 ** $1
dedicatee family of work,unstructured description,aligns with,500 ** $a
dedicatee family of work,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
dedicatee family of work,identifier,aligns with,700 3* $0
dedicatee family of work,IRI,aligns with,700 3* $1
addressee family,unstructured description,aligns with,500 ** $a
addressee family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
addressee family,identifier,aligns with,700 3* $0
addressee family,IRI,aligns with,700 3* $1
dedicator family,unstructured description,aligns with,500 ** $a
dedicator family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
dedicator family,identifier,aligns with,700 3* $0
dedicator family,IRI,aligns with,700 3* $1
director family of photography,unstructured description,aligns with,500 ** $a
director family of photography,unstructured description,aligns with,508 ** $a
director family of photography,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
director family of photography,identifier,aligns with,700 3* $0
director family of photography,IRI,aligns with,700 3* $1
researcher family,unstructured description,aligns with,500 ** $a
researcher family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
researcher family,identifier,aligns with,700 3* $0
researcher family,IRI,aligns with,700 3* $1
editorial director family,unstructured description,aligns with,500 ** $a
editorial director family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
editorial director family,identifier,aligns with,700 3* $0
editorial director family,IRI,aligns with,700 3* $1
film director family,unstructured description,aligns with,500 ** $a
film director family,unstructured description,aligns with,508 ** $a
film director family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
film director family,identifier,aligns with,700 3* $0
film director family,IRI,aligns with,700 3* $1
radio director family,unstructured description,aligns with,500 ** $a
radio director family,unstructured description,aligns with,508 ** $a
radio director family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
radio director family,identifier,aligns with,700 3* $0
radio director family,IRI,aligns with,700 3* $1
television director family,unstructured description,aligns with,500 ** $a
television director family,unstructured description,aligns with,508 ** $a
television director family,structured description,aligns with,"700 3* $a, b, c, d, g, q, u"
