RDA element,RDA recording method,Alignment,M21 Bibliographic encoding
freely translated as work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
freely translated as work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
freely translated as work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
freely translated as work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
freely translated as work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
freely translated as work,identifier,aligns with,700 ** $0
freely translated as work,identifier,aligns with,700 ** $x
freely translated as work,identifier,aligns with,710 ** $0
freely translated as work,identifier,aligns with,710 ** $x
freely translated as work,identifier,aligns with,711 ** $0
freely translated as work,identifier,aligns with,711 ** $x
freely translated as work,identifier,aligns with,730 ** $0
freely translated as work,identifier,aligns with,730 ** $x
freely translated as work,identifier,aligns with,787 ** $o
freely translated as work,identifier,aligns with,787 ** $r
freely translated as work,identifier,aligns with,787 ** $u
freely translated as work,identifier,aligns with,787 ** $w
freely translated as work,identifier,aligns with,787 ** $x
freely translated as work,identifier,aligns with,787 ** $y
freely translated as work,IRI,aligns with,700 ** $1
freely translated as work,IRI,aligns with,710 ** $1
freely translated as work,IRI,aligns with,711 ** $1
freely translated as work,IRI,aligns with,730 ** $1
description of work,structured description,aligns with,"600 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
description of work,structured description,aligns with,"610 ** $a, b, c, d, f, g, k, l, n, p, t, u"
description of work,structured description,aligns with,"611 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
description of work,structured description,aligns with,"630 ** $a, d, f, g, n, p, r, t"
description of work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
description of work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
description of work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
description of work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
description of work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
description of work,identifier,aligns with,600 ** $0
description of work,identifier,aligns with,610 ** $0
description of work,identifier,aligns with,611 ** $0
description of work,identifier,aligns with,630 ** $0
description of work,identifier,aligns with,700 ** $0
description of work,identifier,aligns with,700 ** $x
description of work,identifier,aligns with,710 ** $0
description of work,identifier,aligns with,710 ** $x
description of work,identifier,aligns with,711 ** $0
description of work,identifier,aligns with,711 ** $x
description of work,identifier,aligns with,730 ** $0
description of work,identifier,aligns with,730 ** $x
description of work,identifier,aligns with,787 ** $o
description of work,identifier,aligns with,787 ** $r
description of work,identifier,aligns with,787 ** $u
description of work,identifier,aligns with,787 ** $w
description of work,identifier,aligns with,787 ** $x
description of work,identifier,aligns with,787 ** $y
description of work,IRI,aligns with,600 ** $1
description of work,IRI,aligns with,610 ** $1
description of work,IRI,aligns with,611 ** $1
description of work,IRI,aligns with,630 ** $1
description of work,IRI,aligns with,700 ** $1
description of work,IRI,aligns with,710 ** $1
description of work,IRI,aligns with,711 ** $1
description of work,IRI,aligns with,730 ** $1
subseries of,unstructured description,aligns with,490 ** $a
subseries of,unstructured description,aligns with,500 ** $a
subseries of,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
subseries of,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
subseries of,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
subseries of,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
subseries of,structured description,aligns with,"760 ** $a, c, g, m, n, s, t"
subseries of,structured description,aligns with,"800 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
subseries of,structured description,aligns with,"810 ** $a, b, c, d, f, g, k, l, n, p, t, u"
subseries of,structured description,aligns with,"811 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
subseries of,structured description,aligns with,"830 ** $a, d, f, g, n, p, r, t, v"
subseries of,identifier,aligns with,490 ** $x
subseries of,identifier,aligns with,700 ** $0
subseries of,identifier,aligns with,700 ** $x
subseries of,identifier,aligns with,710 ** $0
subseries of,identifier,aligns with,710 ** $x
subseries of,identifier,aligns with,711 ** $0
subseries of,identifier,aligns with,711 ** $x
subseries of,identifier,aligns with,730 ** $0
subseries of,identifier,aligns with,730 ** $x
subseries of,identifier,aligns with,760 ** $o
subseries of,identifier,aligns with,760 ** $w
subseries of,identifier,aligns with,760 ** $x
subseries of,identifier,aligns with,760 ** $y
subseries of,identifier,aligns with,800 ** $0
subseries of,identifier,aligns with,800 ** $w
subseries of,identifier,aligns with,800 ** $x
subseries of,identifier,aligns with,810 ** $0
subseries of,identifier,aligns with,810 ** $w
subseries of,identifier,aligns with,810 ** $x
subseries of,identifier,aligns with,811 ** $0
subseries of,identifier,aligns with,811 ** $w
subseries of,identifier,aligns with,811 ** $x
subseries of,identifier,aligns with,830 ** $0
subseries of,identifier,aligns with,830 ** $w
subseries of,identifier,aligns with,830 ** $x
subseries of,IRI,aligns with,700 ** $1
subseries of,IRI,aligns with,710 ** $1
subseries of,IRI,aligns with,711 ** $1
subseries of,IRI,aligns with,730 ** $1
subseries of,IRI,aligns with,800 ** $1
subseries of,IRI,aligns with,810 ** $1
subseries of,IRI,aligns with,811 ** $1
subseries of,IRI,aligns with,830 ** $1
issue of,unstructured description,aligns with,490 ** $a
issue of,unstructured description,aligns with,500 ** $a
issue of,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
issue of,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
issue of,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
issue of,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
issue of,structured description,aligns with,"773 ** $a, g, m, n, p, s, t"
issue of,structured description,aligns with,"800 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
issue of,structured description,aligns with,"810 ** $a, b, c, d, f, g, k, l, n, p, t, u"
issue of,structured description,aligns with,"811 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
issue of,structured description,aligns with,"830 ** $a, d, f, g, n, p, r, t, v"
issue of,identifier,aligns with,490 ** $x
issue of,identifier,aligns with,700 ** $0
issue of,identifier,aligns with,700 ** $x
issue of,identifier,aligns with,710 ** $0
issue of,identifier,aligns with,710 ** $x
issue of,identifier,aligns with,711 ** $0
issue of,identifier,aligns with,711 ** $x
issue of,identifier,aligns with,730 ** $0
issue of,identifier,aligns with,730 ** $x
issue of,identifier,aligns with,773 ** $o
issue of,identifier,aligns with,773 ** $r
issue of,identifier,aligns with,773 ** $u
issue of,identifier,aligns with,773 ** $w
issue of,identifier,aligns with,773 ** $x
issue of,identifier,aligns with,773 ** $y
issue of,identifier,aligns with,800 ** $0
issue of,identifier,aligns with,800 ** $w
issue of,identifier,aligns with,800 ** $x
issue of,identifier,aligns with,810 ** $0
issue of,identifier,aligns with,810 ** $w
issue of,identifier,aligns with,810 ** $x
issue of,identifier,aligns with,811 ** $0
issue of,identifier,aligns with,811 ** $w
issue of,identifier,aligns with,811 ** $x
issue of,identifier,aligns with,830 ** $0
issue of,identifier,aligns with,830 ** $w
issue of,identifier,aligns with,830 ** $x
issue of,IRI,aligns with,700 ** $1
issue of,IRI,aligns with,710 ** $1
issue of,IRI,aligns with,711 ** $1
issue of,IRI,aligns with,730 ** $1
issue of,IRI,aligns with,800 ** $1
issue of,IRI,aligns with,810 ** $1
issue of,IRI,aligns with,811 ** $1
issue of,IRI,aligns with,830 ** $1
complemented by work,unstructured description,aligns with,500 ** $a
complemented by work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
complemented by work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
complemented by work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
complemented by work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
complemented by work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
complemented by work,identifier,aligns with,700 ** $0
complemented by work,identifier,aligns with,700 ** $x
complemented by work,identifier,aligns with,710 ** $0
complemented by work,identifier,aligns with,710 ** $x
complemented by work,identifier,aligns with,711 ** $0
complemented by work,identifier,aligns with,711 ** $x
complemented by work,identifier,aligns with,730 ** $0
complemented by work,identifier,aligns with,730 ** $x
complemented by work,identifier,aligns with,787 ** $o
complemented by work,identifier,aligns with,787 ** $r
complemented by work,identifier,aligns with,787 ** $u
complemented by work,identifier,aligns with,787 ** $w
complemented by work,identifier,aligns with,787 ** $x
complemented by work,identifier,aligns with,787 ** $y
complemented by work,IRI,aligns with,700 ** $1
complemented by work,IRI,aligns with,710 ** $1
complemented by work,IRI,aligns with,711 ** $1
complemented by work,IRI,aligns with,730 ** $1
separated into work,unstructured description,aligns with,500 ** $a
separated into work,structured description,aligns with,"785 *1 $a, c, g, m, n, s, t"
separated into work,identifier,aligns with,785 *1 $o
separated into work,identifier,aligns with,785 *1 $r
separated into work,identifier,aligns with,785 *1 $u
separated into work,identifier,aligns with,785 *1 $w
separated into work,identifier,aligns with,785 *1 $x
separated into work,identifier,aligns with,785 *1 $y
screenplay for work,unstructured description,aligns with,500 ** $a
screenplay for work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
screenplay for work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
screenplay for work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
screenplay for work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
screenplay for work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
screenplay for work,identifier,aligns with,700 ** $0
screenplay for work,identifier,aligns with,700 ** $x
screenplay for work,identifier,aligns with,710 ** $0
screenplay for work,identifier,aligns with,710 ** $x
screenplay for work,identifier,aligns with,711 ** $0
screenplay for work,identifier,aligns with,711 ** $x
screenplay for work,identifier,aligns with,730 ** $0
screenplay for work,identifier,aligns with,730 ** $x
screenplay for work,identifier,aligns with,787 ** $o
screenplay for work,identifier,aligns with,787 ** $r
screenplay for work,identifier,aligns with,787 ** $u
screenplay for work,identifier,aligns with,787 ** $w
screenplay for work,identifier,aligns with,787 ** $x
screenplay for work,identifier,aligns with,787 ** $y
screenplay for work,IRI,aligns with,700 ** $1
screenplay for work,IRI,aligns with,710 ** $1
screenplay for work,IRI,aligns with,711 ** $1
screenplay for work,IRI,aligns with,730 ** $1
incidental music for work,unstructured description,aligns with,500 ** $a
incidental music for work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
incidental music for work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
incidental music for work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
incidental music for work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
incidental music for work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
incidental music for work,identifier,aligns with,700 ** $0
incidental music for work,identifier,aligns with,700 ** $x
incidental music for work,identifier,aligns with,710 ** $0
incidental music for work,identifier,aligns with,710 ** $x
incidental music for work,identifier,aligns with,711 ** $0
incidental music for work,identifier,aligns with,711 ** $x
incidental music for work,identifier,aligns with,730 ** $0
incidental music for work,identifier,aligns with,730 ** $x
incidental music for work,identifier,aligns with,787 ** $o
incidental music for work,identifier,aligns with,787 ** $r
incidental music for work,identifier,aligns with,787 ** $u
incidental music for work,identifier,aligns with,787 ** $w
incidental music for work,identifier,aligns with,787 ** $x
incidental music for work,identifier,aligns with,787 ** $y
incidental music for work,IRI,aligns with,700 ** $1
incidental music for work,IRI,aligns with,710 ** $1
incidental music for work,IRI,aligns with,711 ** $1
incidental music for work,IRI,aligns with,730 ** $1
abstracted as work,unstructured description,aligns with,500 ** $a
abstracted as work,structured description,aligns with,"510 ** $a, c"
abstracted as work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
abstracted as work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
abstracted as work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
abstracted as work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
abstracted as work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
abstracted as work,identifier,aligns with,510 ** $u
abstracted as work,identifier,aligns with,510 ** $x
abstracted as work,identifier,aligns with,700 ** $0
abstracted as work,identifier,aligns with,700 ** $x
abstracted as work,identifier,aligns with,710 ** $0
abstracted as work,identifier,aligns with,710 ** $x
abstracted as work,identifier,aligns with,711 ** $0
abstracted as work,identifier,aligns with,711 ** $x
abstracted as work,identifier,aligns with,730 ** $0
abstracted as work,identifier,aligns with,730 ** $x
abstracted as work,identifier,aligns with,787 ** $o
abstracted as work,identifier,aligns with,787 ** $r
abstracted as work,identifier,aligns with,787 ** $u
abstracted as work,identifier,aligns with,787 ** $w
abstracted as work,identifier,aligns with,787 ** $x
abstracted as work,identifier,aligns with,787 ** $y
abstracted as work,IRI,aligns with,700 ** $1
abstracted as work,IRI,aligns with,710 ** $1
abstracted as work,IRI,aligns with,711 ** $1
abstracted as work,IRI,aligns with,730 ** $1
augmented by work,unstructured description,aligns with,500 ** $a
augmented by work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
augmented by work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
augmented by work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
augmented by work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
augmented by work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
augmented by work,identifier,aligns with,700 ** $0
augmented by work,identifier,aligns with,700 ** $x
augmented by work,identifier,aligns with,710 ** $0
augmented by work,identifier,aligns with,710 ** $x
augmented by work,identifier,aligns with,711 ** $0
augmented by work,identifier,aligns with,711 ** $x
augmented by work,identifier,aligns with,730 ** $0
augmented by work,identifier,aligns with,730 ** $x
augmented by work,identifier,aligns with,787 ** $o
augmented by work,identifier,aligns with,787 ** $r
augmented by work,identifier,aligns with,787 ** $u
augmented by work,identifier,aligns with,787 ** $w
augmented by work,identifier,aligns with,787 ** $x
augmented by work,identifier,aligns with,787 ** $y
augmented by work,IRI,aligns with,700 ** $1
augmented by work,IRI,aligns with,710 ** $1
augmented by work,IRI,aligns with,711 ** $1
augmented by work,IRI,aligns with,730 ** $1
summarized as work,unstructured description,aligns with,500 ** $a
summarized as work,structured description,aligns with,"510 ** $a, c"
summarized as work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
summarized as work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
summarized as work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
summarized as work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
summarized as work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
summarized as work,identifier,aligns with,510 ** $u
summarized as work,identifier,aligns with,510 ** $x
summarized as work,identifier,aligns with,700 ** $0
summarized as work,identifier,aligns with,700 ** $x
summarized as work,identifier,aligns with,710 ** $0
summarized as work,identifier,aligns with,710 ** $x
summarized as work,identifier,aligns with,711 ** $0
summarized as work,identifier,aligns with,711 ** $x
summarized as work,identifier,aligns with,730 ** $0
summarized as work,identifier,aligns with,730 ** $x
summarized as work,identifier,aligns with,787 ** $o
summarized as work,identifier,aligns with,787 ** $r
summarized as work,identifier,aligns with,787 ** $u
summarized as work,identifier,aligns with,787 ** $w
summarized as work,identifier,aligns with,787 ** $x
summarized as work,identifier,aligns with,787 ** $y
summarized as work,IRI,aligns with,700 ** $1
summarized as work,IRI,aligns with,710 ** $1
summarized as work,IRI,aligns with,711 ** $1
summarized as work,IRI,aligns with,730 ** $1
catalogue work,unstructured description,aligns with,500 ** $a
catalogue work,unstructured description,aligns with,"555 ** $a, d"
catalogue work,unstructured description,aligns with,581 ** $a
catalogue work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
catalogue work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
catalogue work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
catalogue work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
catalogue work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
catalogue work,identifier,aligns with,700 ** $0
catalogue work,identifier,aligns with,700 ** $x
catalogue work,identifier,aligns with,710 ** $0
catalogue work,identifier,aligns with,710 ** $x
catalogue work,identifier,aligns with,711 ** $0
catalogue work,identifier,aligns with,711 ** $x
catalogue work,identifier,aligns with,730 ** $0
catalogue work,identifier,aligns with,730 ** $x
catalogue work,identifier,aligns with,787 ** $o
catalogue work,identifier,aligns with,787 ** $r
catalogue work,identifier,aligns with,787 ** $u
catalogue work,identifier,aligns with,787 ** $w
catalogue work,identifier,aligns with,787 ** $x
catalogue work,identifier,aligns with,787 ** $y
catalogue work,IRI,aligns with,700 ** $1
catalogue work,IRI,aligns with,710 ** $1
catalogue work,IRI,aligns with,711 ** $1
catalogue work,IRI,aligns with,730 ** $1
concordance work,unstructured description,aligns with,500 ** $a
concordance work,structured description,aligns with,"510 ** $a, c"
concordance work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
concordance work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
concordance work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
concordance work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
concordance work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
concordance work,identifier,aligns with,510 ** $u
concordance work,identifier,aligns with,510 ** $x
concordance work,identifier,aligns with,700 ** $0
concordance work,identifier,aligns with,700 ** $x
concordance work,identifier,aligns with,710 ** $0
concordance work,identifier,aligns with,710 ** $x
concordance work,identifier,aligns with,711 ** $0
concordance work,identifier,aligns with,711 ** $x
concordance work,identifier,aligns with,730 ** $0
concordance work,identifier,aligns with,730 ** $x
concordance work,identifier,aligns with,787 ** $o
concordance work,identifier,aligns with,787 ** $r
concordance work,identifier,aligns with,787 ** $u
concordance work,identifier,aligns with,787 ** $w
concordance work,identifier,aligns with,787 ** $x
concordance work,identifier,aligns with,787 ** $y
concordance work,IRI,aligns with,700 ** $1
concordance work,IRI,aligns with,710 ** $1
concordance work,IRI,aligns with,711 ** $1
concordance work,IRI,aligns with,730 ** $1
addenda work,unstructured description,aligns with,500 ** $a
addenda work,unstructured description,aligns with,525 ** $a
addenda work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
addenda work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
addenda work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
addenda work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
addenda work,structured description,aligns with,"770 ** $a, c, g, m, n, s, t"
addenda work,identifier,aligns with,700 ** $0
addenda work,identifier,aligns with,700 ** $x
addenda work,identifier,aligns with,710 ** $0
addenda work,identifier,aligns with,710 ** $x
addenda work,identifier,aligns with,711 ** $0
addenda work,identifier,aligns with,711 ** $x
addenda work,identifier,aligns with,730 ** $0
addenda work,identifier,aligns with,730 ** $x
addenda work,identifier,aligns with,770 ** $o
addenda work,identifier,aligns with,770 ** $r
addenda work,identifier,aligns with,770 ** $u
addenda work,identifier,aligns with,770 ** $w
addenda work,identifier,aligns with,770 ** $x
addenda work,identifier,aligns with,770 ** $y
addenda work,IRI,aligns with,700 ** $1
addenda work,IRI,aligns with,710 ** $1
addenda work,IRI,aligns with,711 ** $1
addenda work,IRI,aligns with,730 ** $1
adapted as libretto work,unstructured description,aligns with,500 ** $a
adapted as libretto work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
adapted as libretto work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
adapted as libretto work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
adapted as libretto work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
adapted as libretto work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
adapted as libretto work,identifier,aligns with,700 ** $0
adapted as libretto work,identifier,aligns with,700 ** $x
adapted as libretto work,identifier,aligns with,710 ** $0
adapted as libretto work,identifier,aligns with,710 ** $x
adapted as libretto work,identifier,aligns with,711 ** $0
adapted as libretto work,identifier,aligns with,711 ** $x
adapted as libretto work,identifier,aligns with,730 ** $0
adapted as libretto work,identifier,aligns with,730 ** $x
adapted as libretto work,identifier,aligns with,787 ** $o
adapted as libretto work,identifier,aligns with,787 ** $r
adapted as libretto work,identifier,aligns with,787 ** $u
adapted as libretto work,identifier,aligns with,787 ** $w
adapted as libretto work,identifier,aligns with,787 ** $x
adapted as libretto work,identifier,aligns with,787 ** $y
adapted as libretto work,IRI,aligns with,700 ** $1
adapted as libretto work,IRI,aligns with,710 ** $1
adapted as libretto work,IRI,aligns with,711 ** $1
adapted as libretto work,IRI,aligns with,730 ** $1
work reviewed in,unstructured description,aligns with,500 ** $a
work reviewed in,structured description,aligns with,"510 ** $a, c"
work reviewed in,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
work reviewed in,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
work reviewed in,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
work reviewed in,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
work reviewed in,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
work reviewed in,identifier,aligns with,510 ** $u
work reviewed in,identifier,aligns with,510 ** $x
work reviewed in,identifier,aligns with,700 ** $0
work reviewed in,identifier,aligns with,700 ** $x
work reviewed in,identifier,aligns with,710 ** $0
work reviewed in,identifier,aligns with,710 ** $x
work reviewed in,identifier,aligns with,711 ** $0
work reviewed in,identifier,aligns with,711 ** $x
work reviewed in,identifier,aligns with,730 ** $0
work reviewed in,identifier,aligns with,730 ** $x
work reviewed in,identifier,aligns with,787 ** $o
work reviewed in,identifier,aligns with,787 ** $r
work reviewed in,identifier,aligns with,787 ** $u
work reviewed in,identifier,aligns with,787 ** $w
work reviewed in,identifier,aligns with,787 ** $x
work reviewed in,identifier,aligns with,787 ** $y
work reviewed in,IRI,aligns with,700 ** $1
work reviewed in,IRI,aligns with,710 ** $1
work reviewed in,IRI,aligns with,711 ** $1
work reviewed in,IRI,aligns with,730 ** $1
work critiqued in,unstructured description,aligns with,500 ** $a
work critiqued in,unstructured description,aligns with,581 ** $a
work critiqued in,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
work critiqued in,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
work critiqued in,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
work critiqued in,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
work critiqued in,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
work critiqued in,identifier,aligns with,700 ** $0
work critiqued in,identifier,aligns with,700 ** $x
work critiqued in,identifier,aligns with,710 ** $0
work critiqued in,identifier,aligns with,710 ** $x
work critiqued in,identifier,aligns with,711 ** $0
work critiqued in,identifier,aligns with,711 ** $x
work critiqued in,identifier,aligns with,730 ** $0
work critiqued in,identifier,aligns with,730 ** $x
work critiqued in,identifier,aligns with,787 ** $o
work critiqued in,identifier,aligns with,787 ** $r
work critiqued in,identifier,aligns with,787 ** $u
work critiqued in,identifier,aligns with,787 ** $w
work critiqued in,identifier,aligns with,787 ** $x
work critiqued in,identifier,aligns with,787 ** $y
work critiqued in,IRI,aligns with,700 ** $1
work critiqued in,IRI,aligns with,710 ** $1
work critiqued in,IRI,aligns with,711 ** $1
work critiqued in,IRI,aligns with,730 ** $1
work commentary in,unstructured description,aligns with,500 ** $a
work commentary in,unstructured description,aligns with,581 ** $a
work commentary in,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
work commentary in,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
work commentary in,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
work commentary in,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
work commentary in,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
work commentary in,identifier,aligns with,700 ** $0
work commentary in,identifier,aligns with,700 ** $x
work commentary in,identifier,aligns with,710 ** $0
work commentary in,identifier,aligns with,710 ** $x
work commentary in,identifier,aligns with,711 ** $0
work commentary in,identifier,aligns with,711 ** $x
work commentary in,identifier,aligns with,730 ** $0
work commentary in,identifier,aligns with,730 ** $x
work commentary in,identifier,aligns with,787 ** $o
work commentary in,identifier,aligns with,787 ** $r
work commentary in,identifier,aligns with,787 ** $u
work commentary in,identifier,aligns with,787 ** $w
work commentary in,identifier,aligns with,787 ** $x
work commentary in,identifier,aligns with,787 ** $y
work commentary in,IRI,aligns with,700 ** $1
work commentary in,IRI,aligns with,710 ** $1
work commentary in,IRI,aligns with,711 ** $1
work commentary in,IRI,aligns with,730 ** $1
imitated as work,unstructured description,aligns with,500 ** $a
imitated as work,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
imitated as work,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
imitated as work,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
imitated as work,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
imitated as work,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
imitated as work,identifier,aligns with,700 ** $0
imitated as work,identifier,aligns with,700 ** $x
imitated as work,identifier,aligns with,710 ** $0
imitated as work,identifier,aligns with,710 ** $x
imitated as work,identifier,aligns with,711 ** $0
imitated as work,identifier,aligns with,711 ** $x
imitated as work,identifier,aligns with,730 ** $0
imitated as work,identifier,aligns with,730 ** $x
imitated as work,identifier,aligns with,787 ** $o
imitated as work,identifier,aligns with,787 ** $r
imitated as work,identifier,aligns with,787 ** $u
imitated as work,identifier,aligns with,787 ** $w
imitated as work,identifier,aligns with,787 ** $x
imitated as work,identifier,aligns with,787 ** $y
imitated as work,IRI,aligns with,700 ** $1
imitated as work,IRI,aligns with,710 ** $1
imitated as work,IRI,aligns with,711 ** $1
imitated as work,IRI,aligns with,730 ** $1
work described in,unstructured description,aligns with,500 ** $a
work described in,unstructured description,aligns with,581 ** $a
work described in,structured description,aligns with,"700 ** $a, b, c, d, f, g, k, l, n, p, q, t, u"
work described in,structured description,aligns with,"710 ** $a, b, c, d, f, g, k, l, n, p, t, u"
work described in,structured description,aligns with,"711 ** $a, c, d, e, f, g, k, l, n, p, q, t, u"
work described in,structured description,aligns with,"730 ** $a, d, f, g, n, p, r, t"
work described in,structured description,aligns with,"787 ** $a, c, g, m, n, s, t"
work described in,identifier,aligns with,700 ** $0
work described in,identifier,aligns with,700 ** $x
work described in,identifier,aligns with,710 ** $0
work described in,identifier,aligns with,710 ** $x
work described in,identifier,aligns with,711 ** $0
work described in,identifier,aligns with,711 ** $x
work described in,identifier,aligns with,730 ** $0
work described in,identifier,aligns with,730 ** $x
work described in,identifier,aligns with,787 ** $o
work described in,identifier,aligns with,787 ** $r
work described in,identifier,aligns with,787 ** $u
work described in,identifier,aligns with,787 ** $w
work described in,identifier,aligns with,787 ** $x
work described in,identifier,aligns with,787 ** $y
