Label,CURIE,CURIE (Full),Description,Domain,Range,Min,Max,M/MA/O,Recroding methid,Transcription method,VES,SES,Bib mapping,Authority mapping,Instruction number,Element type,Status,Notes on application,
has note on numbering of sequence,P30062,rdam:P30062,Relates a manifestation to a note on manifestation that provides information on the range of designators that is used to indicate a sequence of the individual parts or iterations of a manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.5,6,Published,,
has note on title,P30063,rdam:P30063,"Relates a manifestation to a note on manifestation that provides information on inaccuracies appearing in titles, complex changes in titles, or on other information relating to a title.",Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.2,6,Published,,
has note on edition statement,P30064,rdam:P30064,Relates a manifestation to a note on manifestation that provides information on an edition of a manifestation.,Manifestation,N/A,0,,O ,Unstructured,Normalised,,MARC 21,500 $a,,2.17.4,6,Published,,
has publisher number for notated music,P30065,rdam:P30065,"Relates a manifestation to a nomen that is an identifier for manifestation other than a plate number for notated music, assigned by a publisher to a manifestation of a notated music expression.",Manifestation,Nomen,0,1,MA,Identifier,Normalised,,MARC 21,028 $a,,2.15.2,3,Published,Instruction number supplied,
has plate number for notated music,P30066,rdam:P30066,"Relates a manifestation to a nomen that is an identifier for manifestation other than a publisher number for notated music, assigned by a publisher to a manifestation of a notated music expression to indicate the printing plate used in the printing process.",Manifestation,Nomen,0,1,O,Identifier,Normalised,,MARC 21,028 $a,,2.15.3,3,Published,,
has other agent associated with manifestation (Deprecated),P30079,rdam:P30079,"Relates a manifestation to an agent other than a producer, publisher, distributor, or manufacturer who is associated with a manifestation. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has publisher agent,P30083,rdam:P30083,"Relates a manifestation to an agent who is responsible for publishing, releasing, or issuing a published manifestation.",Manifestation,Agent,0,1,MA,Unstructured,Normalised,,MARC 21,264 $b ,,21.3,2,Published,,
has place of publication,P30088,rdam:P30088,"Relates a manifestation to a place that is associated with the publication, release, or issuing of a published manifestation.",Manifestation,Place,1,1,M,Unstructured,Normalised,,MARC 21,264 $a,,2.8.2,3,Published,,
is reprint of manifestation of,P30093,rdam:P30093,Relates a manifestation to a manifestation that is a printed manifestation that is used as the basis for a reissue of a manifestation.,Manifestation,Manifestation,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,24.5,2,Published,,
has encoding format,P30096,rdam:P30096,Relates a manifestation to a schema or standard that is used to encode the digital content of a manifestation.,Manifestation,N/A,0,1,O,Structured,N/A,,MARC 21,300 $b,,3.19.3,5,Published,,
is special issue of (Deprecated),P30101,rdam:P30101,"Relates a manifestation to a periodical or newspaper containing a single issue or a supplementary section devoted to a special subject, with or without serial numbering. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has video format,P30104,rdam:P30104,Relates a manifestation to a schema or standard that is used to encode the analog video content of a manifestation.,Manifestation,N/A,0,1,O,Structured,N/A,RDA Video format,MARC 21,538 $a,,3.18.2,4,Published,May also be unstructured 500 $a,
has video format,P30104,rdam:P30104,Relates a manifestation to a schema or standard that is used to encode the analog video content of a manifestation.,Manifestation,N/A,0,1,O,Structured,N/A,RDA Video format,MARC 21,346 $a,,3.18.2,4,Published,May also be unstructured 500 $a,
has statement of responsibility relating to title proper,P30105,rdam:P30105,,Manifestation,N/A,0,1,MA,Unstructured,Normalised,,MARC 21,245 $c,,2.4.2,6,Published,,
has statement of responsibility relating to title proper,P30105,rdam:P30105,Relates a manifestation to a statement of responsibility that is associated with a title proper.,,,,,,,,,,,,,,Published,,
has statement of responsibility relating to named revision of edition,P30118,rdam:P30118,Relates a manifestation to a statement of responsibility that is associated with a named revision of an edition.,Manifestation,N/A,0,,MA,Unstructured,Normalised,,MARC 21,250 $b,,2.5.8,6,Published,,
has statement of responsibility relating to series,P30119,rdam:P30119,Relates a manifestation to a statement of responsibility that is associated with a series.,Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,490 $a,,2.12.6,6,Published,May also be unstructured 500 $a (or 264 $b?),
has statement of responsibility relating to subseries (Deprecated),P30120,rdam:P30120,Relates a manifestation to a statement relating to the identification of agents responsible for a subseries. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has statement of responsibility relating to edition,P30121,rdam:P30121,Relates a manifestation to a statement of responsibility that is associated with an edition.,Manifestation,N/A,0,1,MA,Unstructured,Normalised,,MARC 21,250 $b,,2.5.4,6,Published,,
has broadcast standard,P30123,rdam:P30123,Relates a manifestation to a system used to format a manifestation of a video for television broadcast.,Manifestation,N/A,0,1,O,Unstructured,Normalised,RDA Broadcast Standard,MARC 21,538 $a,,3.18.3,4,Published,,
has broadcast standard,P30123,rdam:P30123,Relates a manifestation to a system used to format a manifestation of a video for television broadcast.,Manifestation,N/A,0,1,O,Structured,N/A,RDA Broadcast Standard,MARC 21,346 $b,,,,Published,,
has digital file characteristic,P30124,rdam:P30124,"Relates a manifestation to a technical specification relating to the digital encoding of text, image, audio, video, or other types of data in a manifestation.",Manifestation,N/A,0,1,O,Unstructured,N/A,,MARC 21,500 $a,,3.19,4,Published,,
has sound characteristic,P30125,rdam:P30125,Relates a manifestation to a technical specification relating to the encoding of sound in a manifestation.,Manifestation,N/A,0,1,O,Unstructured,n,,MARC 21,300 $b,,3.16,6,Published,May also be unstructured 500 $a,
has sound characteristic,P30125,rdam:P30125,Relates a manifestation to a technical specification relating to the encoding of sound in a manifestation.,Manifestation,N/A,0,1,O,Structured,N/A,,MARC 21,344 $a $g,,3.16,6,Published,May also be unstructured 500 $a,
has video characteristic,P30126,rdam:P30126,Relates a manifestation to a technical specification relating to the encoding of video images in a manifestation.,Manifestation,N/A,0,1,O,Structured,N/A,,MARC 21,300 $b,,3.18,4,Published,May also be unstructured 500 $a,
has variant title of manifestation,P30128,rdam:P30128,Relates a manifestation to a nomen that is a title of manifestation that is not selected for preference in a specific application or context.,Manifestation,Nomen,0,>1,MA,Unstructured,Normalised,,MARC 21,246 $a,,2.3.6,3,Published,May also be unstructured 500 $a,
has later title proper (Deprecated),P30129,rdam:P30129,Relates a manifestation to a title proper appearing on a later issue or part of a multipart monograph or serial that differs from that on the first or earliest issue or part. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has earlier title proper (Deprecated),P30130,rdam:P30130,Relates a manifestation to a title proper appearing on an earlier iteration of an integrating resource that differs from that on the current iteration. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has designation of named revision of edition,P30132,rdam:P30132,"Relates a manifestation to a word, character, or group of words or characters, that identifies a particular revision of a named edition.",Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,250 $a,,2.5.6,6,Published,346 $a (structured) may be used in future,
has designation of edition,P30133,rdam:P30133,,Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,250 $a,,2.5.2,6,Published,,
has designation of edition,P30133,rdam:P30133,"Relates a manifestation to a word, character, or group of words or characters, that identifies an edition to which a manifestation belongs.",,,,,,,,,,,,,,Published,,
has work manifested,P30135,rdam:P30135,Relates a manifestation to a work that is embodied by a manifestation.,,,,,,,,,,,,,,Published,,
has note on manifestation,P30137,rdam:P30137,Relates a manifestation to a broad unstructured description of one or more attributes of a manifestation.,Manifestation,N/A,0,>1,Optional,Unstructured,N/A,,MARC 21,500 $a,,2.17,6,Published,,
has special playback characteristic,P30138,rdam:P30138,,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.16.9,6,Published,May also be unstructured 500 $a,
has special playback characteristic,P30138,rdam:P30138,,Manifestation,N/A,0,>1,O,Structured,n/A,RDA special Playback characteristic,MARC 21,538 $a,,3.16.9,6,Published,May also be unstructured 500 $a,
has special playback characteristic,P30138,rdam:P30138,"Relates a manifestation to an equalization system, noise-reduction system, or other processing that is used in making an audio recording.",,,,,,,,,,,,,,Published,,
has other title information,P30142,rdam:P30142,"Relates a manifestation to a word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title proper of a manifestation.",Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,245 $b,,2.3.4,6,Published,,
has other title information of series,P30143,rdam:P30143,"Relates a manifestation to a word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title of series.",Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,490 $a,,2.12.4,6,Published,,
has other title information of series,P30143,rdam:P30143,"Relates a manifestation to a word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title of series.",Manifestation,N/A,0,>1,MA,Structured,n/A,SCIS Authorities,MARC 21,830 $a,,2.12.4,6,Published,,
has other title information of subseries (Deprecated),P30144,rdam:P30144,"Relates a manifestation to a word, character, or group of words or characters that appears in conjunction with, and is subordinate to, a title proper of a subseries. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has restriction on access to manifestation,P30145,rdam:P30145,Relates a manifestation to a limitation placed on access to a manifestation.,Manifestation,N/A,0,>1,MA,Unstructured,N/A,,MARC 21,500 $a,,4.4,6,Published,May also be unstructured 500 $a,
has parallel other title information,P30151,rdam:P30151,Relates a manifestation to an other title information in another language or script.,Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,245 $b [$n $p],,2.3.5,3,Published,,
has parallel other title information of subseries (Deprecated),P30153,rdam:P30153,Relates a manifestation to an other title information of a subseries in another language or script. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has uniform resource locator,P30154,rdam:P30154,Relates a manifestation to an address of an online resource.,Manifestation,N/A,0,>1,MA,Structured,N/A,,MARC 21,856 $u,,4.6,6,Published,May also be unstructured 500 $a,
has title proper,P30156,rdam:P30156,Relates a manifestation to a nomen that is a title of manifestation that is selected for preference in a specific application or context.,Manifestation,Nomen,1,1,Required,Unstructured,Normalised,,MARC 21,245 $a [$n $p],,2.3.2,3,Published,May also be unstructured 500 $a,
has title of series,P30157,rdam:P30157,Relates a manifestation to a nomen that is a title that identifies a series to which a manifestation belongs.,Manifestation,Nomen,0,>1,MA,Unstructured,Normalised,,MARC 21,490 $a,,2.12.2,3,Published,May also be unstructured 500 $a,
has title of series,P30157,rdam:P30157,Relates a manifestation to a nomen that is a title that identifies a series to which a manifestation belongs.,Manifestation,Nomen,0,>1,MA,Structured,n/a,SCIS Authorities,MARC 21,830 $a,,2.12.2,3,Published,May also be unstructured 500 $a,
has title proper of subseries (Deprecated),P30158,rdam:P30158,Relates a manifestation to a name of a series appearing on a manifestation of an issue of a subseries. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has equipment or system requirement,P30162,rdam:P30162,Relates a manifestation to a system or equipment required for access to the content of an electronic analog or digital manifestation.,Manifestation,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,538 $a,,3.2,6,Published,,
has numbering of sequence,P30165,rdam:P30165,Relates a manifestation to the first and last designations of a sequence of manifestations of the individual parts or iterations of a manifestation.,Manifestation,N/A,0,>1,O,Unstructured,,,MARC 21,500 $a,,2.6,6,Published,,
has ISSN of series (Deprecated),P30166,rdam:P30166,Relates a manifestation to an identifier for manifestation that is assigned to a series by an ISSN registration agency. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has ISSN of subseries (Deprecated),P30167,rdam:P30167,Relates a manifestation to an identifier for manifestation that is assigned to a subseries by an ISSN registration agency. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has frequency (Deprecated),P30168,rdam:P30168,Relates a manifestation to an interval at which an issue or part of a serial or an update to an integrating resource is issued. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has type of recording,P30172,rdam:P30172,Relates a manifestation to a method used to encode audio content for playback.,Manifestation,N/A,0,>1,O,Structured,N/A,RDA Type of Recording,MARC 21,300 $b,,3.16.2,4,Published,May also be unstructured 500 $a,
has type of recording,P30172,rdam:P30172,Relates a manifestation to a method used to encode audio content for playback.,Manifestation,N/A,0,>1,O,Structured,N/A,RDA Type of Recording,MARC 21,344 $a,,3.16.2,4,Published,May also be unstructured 500 $a,
has name of publisher,P30176,rdam:P30176,Relates a manifestation to a nomen that is a name of an agent who is responsible for publishing a manifestation.,Manifestation,Nomen,0,1,MA,Unstructured,Normalised,,MARC 21,264 $b [260 $b],,2.8.4,3,Published,,
has extent of cartographic resource (Deprecated),P30177,rdam:P30177,Relates a manifestation to the number and type of units and/or subunits making up a cartographic resource. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has extent of notated music (Deprecated),P30178,rdam:P30178,"Relates a manifestation to the number and type of units and/or subunits making up a resource consisting of notated music, with or without accompanying text and/or illustrations. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has extent of still image (Deprecated),P30179,rdam:P30179,Relates a manifestation to the number and type of units and/or subunits making up a resource consisting of one or more still images. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has extent of three-dimensional form (Deprecated),P30180,rdam:P30180,Relates a manifestation to the number and type of units and/or subunits making up a resource consisting of one or more three-dimensional forms. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has extent of text (Deprecated),P30181,rdam:P30181,"Relates a manifestation to the number and type of units and/or subunits making up a resource consisting of text, with or without accompanying illustrations. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has extent of manifestation,P30182,rdam:P30182,,Manifestation,N/A,1,1,M,Structured,Normalised,,MARC 21,300 $a,,3.4,6,Published,,
has extent of manifestation,P30182,rdam:P30182,Relates a manifestation to a number and type of unit or subunit of a manifestation.,,,,,,,,,,,,,,Published,,
has file size,P30183,rdam:P30183,Relates a manifestation to a number of bytes in a digital file.,,,,,,,,,,,,,,Published,,
has configuration of playback channels,P30184,rdam:P30184,Relates a manifestation to a number of sound channels used to make a recording.,Manifestation,N/A,1,1,O,Structured,N/A,RDA Configuration of Playback Channels,MARC 21,300 $b,,3.16.8,4,Published,With local instructions,
has tape configuration,P30185,rdam:P30185,Relates a manifestation to a number of tracks on an audiotape.,,,,,,,,,,,,,,Published,,
has production method for tactile resource (Deprecated),P30188,rdam:P30188,Relates a manifestation to the process used to produce a tactile resource.,,,,,,,,,,,,,,Deprecated,,
has production method for manuscript (Deprecated),P30189,rdam:P30189,Relates a manifestation to the process used to produce an original manuscript or a copy.,,,,,,,,,,,,,,Deprecated,,
has generation of audio recording (Deprecated),P30190,rdam:P30190,Relates a manifestation to the relationship between an original audio carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has generation of digital resource (Deprecated),P30192,rdam:P30192,Relates a manifestation to the relationship between an original carrier of a digital resource and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has generation of motion picture film (Deprecated),P30193,rdam:P30193,Relates a manifestation to the relationship between an original carrier of a motion picture film resource and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has generation of videotape (Deprecated),P30194,rdam:P30194,Relates a manifestation to the relationship between an original carrier of a videotape resource and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has generation of microform (Deprecated),P30195,rdam:P30195,Relates a manifestation to the relationship between an original microform carrier and the carrier of a reproduction made from the original.,,,,,,,,,,,,,,Deprecated,,
has bibliographic format,P30197,rdam:P30197,"Relates a manifestation to a proportional relationship between a whole sheet and the individual leaves that result if that sheet is left full, cut, or folded in a manifestation.",Manifestation,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.12,4,Published,,
has font size,P30199,rdam:P30199,Relates a manifestation to a size of the type that is used to represent the characters and symbols in a manifestation.,Manifestation,N/A,0,1,O,Unstructured,Normalised,,MARC 21,500 $a,,3.13,4,Published,,
has playing speed,P30201,rdam:P30201,Relates a manifestation to a speed at which an audio carrier must be operated to produce the sound intended.,Manifestation,N/A,0,1,O,Structured,,,MARC 21,300 $b,,3.16.4,5,Published,Instruction number supplied; May also be unstructured 500 $a,
has parallel title proper,P30203,rdam:P30203,Relates a manifestation to a nomen that is a title proper in another language or script.,Manifestation,Nomen,0,>1,MA,Unstructured,Normalised,,MARC 21,245 $b,,2.3.3,3,Published,,
has parallel title of series,P30204,rdam:P30204,Relates a manifestation to a nomen that is a title of a series in another language or script.,Manifestation,Nomen,1,>1,O,Unstructured,Normalised,,MARC 21,490 $a,,2.12.3,3,Published,,
has parallel title proper of subseries (Deprecated),P30205,rdam:P30205,Relates a manifestation to a title proper of a subseries in another language or script. (Deprecated),,,,,,,,,,,,,,Deprecated,,
"has base material for microfilm, microfiche, photographic film, and motion picture film (Deprecated)",P30207,rdam:P30207,"Relates a manifestation to the underlying physical material of a microfilm, microfiche, photographic film, or motion picture film resource. (Deprecated)",,,,,,,,,,,,,,Deprecated,,
has key title (Deprecated),P30209,rdam:P30209,Relates a manifestation to a title that is unique assigned to a manifestation by an ISSN registration agency. (Deprecated),,,,,,,,,,,,,,Deprecated,,
has accompanying manifestation relationship with (Deprecated),P30210,rdam:P30210,Relates a manifestation to a manifestation that accompanies or is accompanied by another manifestation. (Deprecated),,,,,,,,,,,,,,Deprecated,,
