,RDA,,,,,,LOCAL Policy,,ENCODING,,,,,,,,
has choreographer family,P10575,rdaw:P10575,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has compiler family,P10585,rdaw:P10585,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has choreographer person,P10434,rdaw:P10434,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has compiler person,P10444,rdaw:P10444,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has commissioning corporate body,P10533,rdaw:P10533,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has composer corporate body of work,P10536,rdaw:P10536,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has commissioning family,P10580,rdaw:P10580,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has composer family of work,P10583,rdaw:P10583,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has commissioning person,P10439,rdaw:P10439,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has composer person of work,P10442,rdaw:P10442,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has compiler corporate body,P10538,rdaw:P10538,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has consultant corporate body,P10552,rdaw:P10552,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has compiler family,P10585,rdaw:P10585,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has consultant family,P10599,rdaw:P10599,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has compiler person,P10444,rdaw:P10444,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has consultant person,P10458,rdaw:P10458,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has composer corporate body of work,P10536,rdaw:P10536,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has creator corporate body of work,P10531,rdaw:P10531,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,3,Published,
has composer family of work,P10583,rdaw:P10583,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has creator family of work,P10578,rdaw:P10578,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has composer person of work,P10442,rdaw:P10442,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has creator person of work,P10437,rdaw:P10437,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has consultant corporate body,P10552,rdaw:P10552,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has date of work,P10219,rdaw:P10219,Work,Timespan,1,1,M,Unstructured,,,MARC 21,500,,6.4,3,Published,
has consultant family,P10599,rdaw:P10599,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has designer corporate body,P10535,rdaw:P10535,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has consultant person,P10458,rdaw:P10458,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has designer family,P10582,rdaw:P10582,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has designer person,P10441,rdaw:P10441,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has director corporate body,P10549,rdaw:P10549,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has creator corporate body of work,P10531,rdaw:P10531,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has director family,P10596,rdaw:P10596,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has creator family of work,P10578,rdaw:P10578,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has director person,P10455,rdaw:P10455,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has creator person of work,P10437,rdaw:P10437,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has errata work,P10092,rdaw:P10092,Work,Work,0,1,O,Unstructured,N/A,,MARC 21,500,,24.5,2,Published,
has date of work,P10219,rdaw:P10219,Work,Timespan,1,1,M,Structured,,,MARC 21,008 07-10,,,,,
has expression of work,P10078,rdaw:P10078,Work,Expression,0,1,O,Unstructured,N/A,,MARC 21,500,,17.5,3,Published,
has film director corporate body,P10512,rdaw:P10512,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has designer corporate body,P10535,rdaw:P10535,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has film director family,P10559,rdaw:P10559,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has designer family,P10582,rdaw:P10582,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has film director person,P10418,rdaw:P10418,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has designer person,P10441,rdaw:P10441,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has film producer corporate body,P10516,rdaw:P10516,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has director corporate body,P10549,rdaw:P10549,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has film producer family,P10563,rdaw:P10563,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has director family,P10596,rdaw:P10596,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has appellant (Deprecated),P10038,rdaw:P10038,,,,,,,,,,,,18.5,,Deprecated,
has film producer person,P10422,rdaw:P10422,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has director person,P10455,rdaw:P10455,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has filmmaker corporate body,P10544,rdaw:P10544,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has filmmaker family,P10591,rdaw:P10591,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has filmmaker person,P10450,rdaw:P10450,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has frequency,P10368,rdaw:P10368,Work,N/A,0,1,MA,Structured,N/A,,MARC 21,310 $a,,,4,Published,
has film director corporate body,P10512,rdaw:P10512,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has honouree corporate body of work,P10527,rdaw:P10527,Work,Corporate body,0,1,O,Unstuctured,Normalised,,MARC 21,500,,,2,Published,
has film director family,P10559,rdaw:P10559,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has honouree family of work,P10574,rdaw:P10574,Work,Family,0,1,O,Unstuctured,Normalised,,MARC 21,500,,,2,Published,
has film director person,P10418,rdaw:P10418,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has honouree person of work,P10433,rdaw:P10433,Work,Person,0,1,O,Unstuctured,Normalised,,MARC 21,500,,,2,Published,
has film producer corporate body,P10516,rdaw:P10516,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has hosting institution,P10007,rdaw:P10007,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,18.5,2,Published,
has film producer family,P10563,rdaw:P10563,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has interviewee corporate body of work,P10541,rdaw:P10541,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has film producer person,P10422,rdaw:P10422,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has interviewee family of work,P10588,rdaw:P10588,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has filmmaker corporate body,P10544,rdaw:P10544,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has interviewee person of work,P10447,rdaw:P10447,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has filmmaker family,P10591,rdaw:P10591,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has interviewer corporate body of work,P10540,rdaw:P10540,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has filmmaker person,P10450,rdaw:P10450,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has interviewer family of work,P10587,rdaw:P10587,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has interviewer person of work,P10446,rdaw:P10446,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has ISSN,P10366,rdaw:P10366,Work,Nomen,0,1,MA,Structured,Normalised,,MARC 21,022,,,2,Published,
has issuing corporate body,P10550,rdaw:P10550,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has issuing family,P10597,rdaw:P10597,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has issuing person,P10456,rdaw:P10456,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has hosting institution,P10007,rdaw:P10007,Work,Corporate body,0,1,O,Unstructured,Normalised,,,500,,,,,
has language version,P10385,rdaw:P10385,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,2,Published,
has librettist corporate body,P10525,rdaw:P10525,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has interviewee corporate body of work,P10541,rdaw:P10541,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,511,,,,,
has librettist family,P10572,rdaw:P10572,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has interviewee family of work,P10588,rdaw:P10588,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,511,,,,,
has librettist person,P10431,rdaw:P10431,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has interviewee person of work,P10447,rdaw:P10447,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,511,,,,,
has lyricist corporate body,P10524,rdaw:P10524,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has interviewer corporate body of work,P10540,rdaw:P10540,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,511,,,,,
has lyricist family,P10571,rdaw:P10571,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has interviewer family of work,P10587,rdaw:P10587,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,511,,,,,
has lyricist person,P10430,rdaw:P10430,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has interviewer person of work,P10446,rdaw:P10446,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,511,,,,,
has nature of content,P10222,rdaw:P10222,Work,N/A,1,1,M,Unstructured,Normalised,,MARC 21,520,,7.2,6,Published,
has note on work,P10330,rdaw:P10330,Work,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,6,Published,
has numbering of part,P10012,rdaw:P10012,Work,N/A,0,>1,MA,Unstructured,Normalised,,MARC 21,245 $n / 490  / 830 $n ,,24.6,6,Published,
has issuing corporate body,P10550,rdaw:P10550,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has opus number,P10333,rdaw:P10333,Work,Nomen,0,>1,O,Unstructured,Normalised,,MARC 21,245,,6.16.1.3.2,3,Published,
has issuing family,P10597,rdaw:P10597,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has organizer corporate body,P10551,rdaw:P10551,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has issuing person,P10456,rdaw:P10456,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has organizer family,P10598,rdaw:P10598,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has organizer person,P10457,rdaw:P10457,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has part work,P10147,rdaw:P10147,Work,Work,0,>1,MA,Unstructured,Normalised,,MARC 21,505 / 500 / 740,,24.5,2,Published,
has librettist corporate body,P10525,rdaw:P10525,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has participant in treaty,P10292,rdaw:P10292,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,18.5,2,Published,
has librettist family,P10572,rdaw:P10572,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has photographer corporate body of work,P10539,rdaw:P10539,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,110/ 710,110 / 510,,2,Published,
has librettist person,P10431,rdaw:P10431,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has photographer family of work,P10586,rdaw:P10586,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has photographer person of work,P10445,rdaw:P10445,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,100 / 700,100 / 500,,2,Published,
has place of origin of work,P10218,rdaw:P10218,Work,Place,0,>1,O,Unstructured,Normalised,,MARC 21,500,,6.5,2,Published,
has lyricist corporate body,P10524,rdaw:P10524,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has preferred title of work,P10223,rdaw:P10223,Work,Work,0,1,MA,Structured,N/A,SCIS Authorities,MARC 21,130 / 730,130,6.2.2,3,Published,only for Bible and similar? As per SSCDE
has lyricist family,P10571,rdaw:P10571,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has preferred title of work,P10223,rdaw:P10223,Work,Work,0,1,MA,Unstructured,Normalised,,MARC 21,240,,6.2.2,3,Published,only for Bible and similar? As per SSCDE
has lyricist person,P10430,rdaw:P10430,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has prequel work,P10122,rdaw:P10122,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
has producer corporate body,P10548,rdaw:P10548,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has producer family,P10595,rdaw:P10595,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has producer person,P10454,rdaw:P10454,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has production company,P10008,rdaw:P10008,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,18.5,2,Published,
has programmer corporate body,P10534,rdaw:P10534,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has programmer family,P10581,rdaw:P10581,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has organizer corporate body,P10551,rdaw:P10551,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has programmer person,P10440,rdaw:P10440,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has organizer family,P10598,rdaw:P10598,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has radio director corporate body,P10513,rdaw:P10513,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has organizer person,P10457,rdaw:P10457,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has radio director family,P10560,rdaw:P10560,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has radio director person,P10419,rdaw:P10419,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has participant in treaty,P10292,rdaw:P10292,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has radio producer corporate body,P10517,rdaw:P10517,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has photographer corporate body of work,P10539,rdaw:P10539,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has radio producer family,P10564,rdaw:P10564,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has photographer family of work,P10586,rdaw:P10586,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has radio producer person,P10423,rdaw:P10423,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has photographer person of work,P10445,rdaw:P10445,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has recording source,P10404,rdaw:P10404,Work,N/A,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,4,Published,
has related corporate body of work,P10314,rdaw:P10314,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,1,Published,
has related family of work,P10313,rdaw:P10313,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,1,Published,
has related person of work,P10312,rdaw:P10312,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,1,Published,
has related work of work,P10198,rdaw:P10198,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,1,Published,
has producer corporate body,P10548,rdaw:P10548,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has related work of work,P10198,rdaw:P10198,Work,Work,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,600/610/611/630,,,1,Published,
has producer family,P10595,rdaw:P10595,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has remix artist corporate body,P10543,rdaw:P10543,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has producer person,P10454,rdaw:P10454,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has remix artist family,P10590,rdaw:P10590,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has production company,P10008,rdaw:P10008,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has remix artist person,P10449,rdaw:P10449,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has programmer corporate body,P10534,rdaw:P10534,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has screenwriter corporate body,P10523,rdaw:P10523,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has programmer family,P10581,rdaw:P10581,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has screenwriter family,P10570,rdaw:P10570,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has programmer person,P10440,rdaw:P10440,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,500,,,,,
has screenwriter person,P10429,rdaw:P10429,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has radio director corporate body,P10513,rdaw:P10513,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has sculptor corporate body,P10521,rdaw:P10521,Work,Corporate body,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,710,110 / 510,,2,Published,
has radio director family,P10560,rdaw:P10560,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has sculptor family,P10568,rdaw:P10568,Work,Family,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has radio director person,P10419,rdaw:P10419,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has sculptor person,P10427,rdaw:P10427,Work,Person,0,>1,O,Structured,N/A,SCIS Authorities,MARC 21,700,100 / 500,,2,Published,
has radio producer corporate body,P10517,rdaw:P10517,Work,Corporate body,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
has sequel work,P10020,rdaw:P10020,Work,Work,0,>1,O,Unstructured,Normalised,,MARC 21,500,,24.5,2,Published,
has radio producer family,P10564,rdaw:P10564,Work,Family,0,>1,O,Unstructured,Normalised,,MARC 21,508, ,,,,
has serial number of musical work,P10334,rdaw:P10334,Work,Nomen,0,1,O,Unstructured,Normalised,,MARC 21,240 $n,,6.16.1.3.1,3,Published,
has radio producer person,P10423,rdaw:P10423,Work,Person,0,>1,O,Unstructured,Normalised,,MARC 21,508,,,,,
