Label,CURIE,CURIE (full),Description,Domain,Range,Min,Max,M/MA/O,Recording method,Transcription Method,VES,SES,Bib Mapping,Authority Mapping,Element type,Status,Notes on application
has successor of family,P50424,rdaa:P50424,Relates a family to a family who succeeds or follows another family.,Family,Family,0,>1,O,Structured,,SCIS authorities,MARC 21,,"500 3* $a, b, c, m, n, o, p, r, s, t, x",2,Published,
has term of rank or honour or office,P50110,rdaa:P50110,"Relates a person to a word or phrase indicative of royalty, nobility, ecclesiastical rank or office, or a term of address for a person of religious vocation.",Person,N/A,0,>1,O,Structured,,SCIS authorities,MARC 21,,100 ** $c,5,Published,
has variant name of corporate body,P50025,rdaa:P50025,Relates a corporate body to a nomen that is a name of corporate body that is not selected for preference in a specific application or context.,Corporate body,Nomen,0,>1,O,Structured,,SCIS authorities,MARC 21,,"410 ** $a, b, c, d, n, t, x",3,Published,
has variant name of family,P50054,rdaa:P50054,Relates a family to a nomen that is a name of family that is not selected for preference in a specific application or context.,Family,Nomen,0,>1,O,Structured,,SCIS authorities,MARC 21,,"400 3* $a, b, c, m, n, o, p, r, s, t, x",3,Published,
has variant name of person,P50103,rdaa:P50103,Relates a person to a nomen that is a name of person that is not selected for preference in a specific application or context.,Person,Nomen,0,>1,MA,Structured,,SCIS authorities,MARC 21,,"400 ** $a, b, c, m, n, o, p, r, s, t, x",3,Published,
has component of merger,P50232,rdaa:P50232,Relates a corporate body to a corporate body who forms another corporate body by merging with one or more other corporate bodies.,Corporate body,Corporate body,0,>1,O,Structured,,SCIS authorities,MARC 21,,"510 ** $a, b, c, d, n, t, w, x",2,Published,
has field of activity of person,P50100,rdaa:P50100,"Relates a person to a field of endeavor, area of expertise, etc., in which a person is engaged.",Person,N/A,0,>1,O,Structured,,SCIS authorities,MARC 21,,100 ** $c,5,Published,
has jointly held conference,P50303,rdaa:P50303,Relates a corporate body who is a conference to a conference that is jointly held with another conference.,Corporate body,Corporate body,0,>1,O,Structured,,SCIS authorities,MARC 21,,"511 2* $a, c, d, e, n, t, w, x",2,Published,
has product of merger,P50013,rdaa:P50013,Relates a corporate body to a corporate body who resulted from a merger of two or more other corporate bodies.,Corporate body,Corporate body,0,>1,O,Structured,,SCIS authorities,MARC 21,,"510 ** $a, b, c, d, n, t, w, x",2,Published,
has product of split,P50014,rdaa:P50014,Relates a corporate body to a corporate body who resulted from a split or division of another corporate body.,Corporate body,Corporate body,0,>1,O,Structured,,SCIS authorities,MARC 21,,"510 ** $a, b, c, d, n, t, w, x",2,Published,
has profession or occupation,P50104,rdaa:P50104,Relates a person to a vocation or avocation.,Person,Unspecified,0,>1,O,Structured,,SCIS authorities,MARC 21,,100 ** $c,5,Published,
