*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type,See Also[0]
has conductor agent,rdae:conductorAgent.en,Relates an expression to an agent who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation.,,conductor,,,conductor agent,An agent who is a performer who contributes to an expression of a musical work by leading a performing group in a musical or dramatic presentation.,rdae:P20011,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has actor agent,rdae:actorAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation.,,actor,,,actor agent,An agent who is a performer who contributes to an expression by acting as a cast member or player in a musical or dramatic presentation.,rdae:P20012,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has onscreen presenter agent,rdae:onscreenPresenterAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.,Appearance in nonfiction moving image materials or in introductions to fiction moving image materials is included. Appearance on screen in a non-performing role is excluded.,on-screen presenter,,,onscreen presenter agent,An agent who is a performer who contributes to an expression by appearing on screen to provide contextual or background information.,rdae:P20013,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,rdae:P20279
has dancer agent,rdae:dancerAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by dancing in a musical or dramatic presentation.,,dancer,,,dancer agent,An agent who is a performer who contributes to an expression by dancing in a musical or dramatic presentation.,rdae:P20014,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has instructor agent,rdae:instructorAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by teaching or providing a demonstration.,,instructor,,,instructor agent,An agent who is a performer who contributes to an expression by teaching or providing a demonstration.,rdae:P20015,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has host agent,rdae:hostAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by leading a program, often broadcast, that includes other performers.",,host,,,host agent,"An agent who is a performer who contributes to an expression by leading a program, often broadcast, that includes other performers.",rdae:P20016,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has moderator agent,rdae:moderatorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,moderator,,,moderator agent,"An agent who is a performer who contributes to an expression by leading a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20017,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has puppeteer agent,rdae:puppeteerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",,puppeteer,,,puppeteer agent,"An agent who is a performer who contributes to an expression by manipulating, controlling, or directing puppets or marionettes in a moving image production or a musical or dramatic presentation or entertainment.",rdae:P20018,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has panelist agent,rdae:panelistAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",,panelist,,,panelist agent,"An agent who is a performer who contributes to an expression by participating in a program, often broadcast, where topics are discussed, usually with participation of experts in fields related to the discussion.",rdae:P20019,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has instrumentalist agent,rdae:instrumentalistAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by playing a musical instrument.,,instrumentalist,,,instrumentalist agent,An agent who is a performer who contributes to an expression by playing a musical instrument.,rdae:P20020,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has commentator agent,rdae:commentatorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",,commentator,,,commentator agent,"An agent who is a performer who contributes to an expression by providing interpretation, analysis, or a discussion of the subject matter on a recording, film, or other audiovisual medium.",rdae:P20021,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has narrator agent,rdae:narratorAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, or other event.",,narrator,,,narrator agent,"An agent who is a performer who contributes to an expression by reading aloud or giving an account of an act, occurrence, or other event.",rdae:P20022,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has storyteller agent,rdae:storytellerAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by relaying a story with dramatic or theatrical interpretation.,,storyteller,,,storyteller agent,An agent who is a performer who contributes to an expression by relaying a story with dramatic or theatrical interpretation.,rdae:P20023,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has speaker agent,rdae:speakerAgent.en,Relates an expression to an agent who is a performer who contributes to an expression by speaking words.,Includes a lecture or speech.,speaker,,,speaker agent,An agent who is a performer who contributes to an expression by speaking words.,rdae:P20024,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has singer agent,rdae:singerAgent.en,"Relates an expression to an agent who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",A performance of a singer may or may not include actual words.,singer,,,singer agent,"An agent who is a performer who contributes to an expression by using their voice, with or without instrumental accompaniment, to produce music.",rdae:P20025,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has composer of expression (Deprecated),rdae:composerOfExpression.en,"Relates an expression to an agent who contributes to an expression by adding music to a work that originally lacked it, by composing new music to substitute for original music, or by composing new music to supplement existing music. (Deprecated)",,,,,composer of expression (Deprecated),"An agent who contributes to an expression by adding music to a work that originally lacked it, by composing new music to substitute for original music, or by composing new music to supplement existing music. (Deprecated)",rdae:P20026,property,rdac:C10006,rdae:P20331,,,Deprecated,18.5,2,
has surveyor (Deprecated),rdae:surveyor.en,Relates an expression to an agent who contributes to an expression of a cartographic work by providing measurements or dimensional relationships for a geographic area represented. (Deprecated),,,,,surveyor (Deprecated),An agent who contributes to an expression of a cartographic work by providing measurements or dimensional relationships for a geographic area represented. (Deprecated),rdae:P20027,property,rdac:C10006,rdae:P20331,,,Deprecated,18.5,2,
has animator agent,rdae:animatorAgent.en,Relates an expression to an agent who contributes to an expression by giving apparent movement to inanimate objects or drawings.,Creation of the drawings that are animated is excluded.,animator,,,animator agent,An agent who contributes to an expression by giving apparent movement to inanimate objects or drawings.,rdae:P20028,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,rdaw:P10058
has arranger agent of music,rdae:arrangerAgentOfMusic.en,Relates an expression to an agent who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,"Contribution includes modification of a work for the same medium of performance, etc., that keeps the musical substance of the original composition essentially unchanged, and excludes substantial modification that results in the creation of a new musical work.",arranger of music,,,arranger agent of music,An agent who contributes to an expression of a work by rewriting a composition for a medium of performance different from that for which a work was originally intended.,rdae:P20029,property,rdac:C10006,rdae:P20327,,,Published,18.5,2,rdaw:P10053
has writer of added text (Deprecated),rdae:writerOfAddedText.en,"Relates an expression to an agent who contributes to an expression of a primarily non-textual work by providing text, such as writing captions for photographs or descriptions of maps. (Deprecated)",,,,,writer of added text (Deprecated),"An agent who contributes to an expression of a primarily non-textual work by providing text, such as writing captions for photographs or descriptions of maps. (Deprecated)",rdae:P20030,property,rdac:C10006,rdae:P20046,,,Deprecated,18.5,2,
has stage director agent,rdae:stageDirectorAgent.en,Relates an expression to an agent who contributes to an expression of a stage work through the general management and supervision of a performance.,,stage director,,,stage director agent,An agent who contributes to an expression of a stage work through the general management and supervision of a performance.,rdae:P20031,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has interviewer agent of expression,rdae:interviewerAgentOfExpression.en,"Relates an expression to an agent who contributes to an expression by acting as an interviewer, reporter, pollster, or some other agent who gathers information.",,interviewer (expression),,,interviewer agent of expression,"An agent who contributes to an expression by acting as an interviewer, reporter, pollster, or some other agent who gathers information.",rdae:P20032,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has draftsman agent,rdae:draftsmanAgent.en,"Relates an expression to an agent who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",,draftsman,,,draftsman agent,"An agent who contributes to an expression by an architect, inventor, or other agent by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, or other constructions.",rdae:P20033,property,rdac:C10006,rdae:P20328,,,Published,18.5,2,
has transcriber agent,rdae:transcriberAgent.en,"Relates an expression to an agent who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",Transcription of a musical work for a different instrument or performing group is excluded.,transcriber,,,transcriber agent,"An agent who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",rdae:P20034,property,rdac:C10006,rdae:P20327,,,Published,18.5,2,rdae:P20029
has musical director agent,rdae:musicalDirectorAgent.en,"Relates an expression to an agent who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,musical director,,,musical director agent,"An agent who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20035,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has costume designer agent,rdae:costumeDesignerAgent.en,Relates an expression to an agent who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,,costume designer,,,costume designer agent,An agent who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.,rdae:P20036,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has translator agent,rdae:translatorAgent.en,Relates an expression to an agent who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,A translator may also translate linguistic content between forms of the same language from different time periods.,translator,,,translator agent,An agent who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.,rdae:P20037,property,rdac:C10006,rdae:P20053,,,Published,18.5,2,
has art director agent,rdae:artDirectorAgent.en,Relates an expression to an agent who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,,art director,,,art director agent,An agent who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.,rdae:P20038,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has performer agent,rdae:performerAgent.en,"Relates an expression to an agent who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",,performer,,,performer agent,"An agent who contributes to an expression by performing music, acting, dancing, speaking, and other roles, often in a musical or dramatic presentation.",rdae:P20039,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has court reporter agent,rdae:courtReporterAgent.en,Relates an expression to an agent who contributes to an expression by preparing the opinions of a court for publication.,,court reporter,,,court reporter agent,An agent who contributes to an expression by preparing the opinions of a court for publication.,rdae:P20040,property,rdac:C10006,rdae:P20328,,,Published,18.5,2,
has writer of preface (Deprecated),rdae:writerOfPreface.en,Relates an expression to an agent who contributes to an expression by providing a preface to an original work. (Deprecated),,,,,writer of preface (Deprecated),An agent who contributes to an expression by providing a preface to an original work. (Deprecated),rdae:P20041,property,rdac:C10006,rdae:P20046,,,Deprecated,18.5,2,
has cartographer of expression (Deprecated),rdae:cartographerOfExpression.en,"Relates an expression to an agent who contributes to an expression by providing additional cartography, or by modifying previous cartography. (Deprecated)",,,,,cartographer of expression (Deprecated),"An agent who contributes to an expression by providing additional cartography, or by modifying previous cartography. (Deprecated)",rdae:P20042,property,rdac:C10006,rdae:P20331,,,Deprecated,18.5,2,
has choreographer of expression (Deprecated),rdae:choreographerOfExpression.en,"Relates an expression to an agent who contributes to an expression by providing additional choreography, or by modifying previous choreography. (Deprecated)",,,,,choreographer of expression (Deprecated),"An agent who contributes to an expression by providing additional choreography, or by modifying previous choreography. (Deprecated)",rdae:P20043,property,rdac:C10006,rdae:P20331,,,Deprecated,18.5,2,
has writer of added commentary (Deprecated),rdae:writerOfAddedCommentary.en,Relates an expression to an agent who contributes to an expression by providing an interpretation or critical explanation of an original work. (Deprecated),,,,,writer of added commentary (Deprecated),An agent who contributes to an expression by providing an interpretation or critical explanation of an original work. (Deprecated),rdae:P20044,property,rdac:C10006,rdae:P20046,,,Deprecated,18.5,2,
has writer of introduction (Deprecated),rdae:writerOfIntroduction.en,Relates an expression to an agent who contributes to an expression by providing an introduction to an original work. (Deprecated),,,,,writer of introduction (Deprecated),An agent who contributes to an expression by providing an introduction to an original work. (Deprecated),rdae:P20045,property,rdac:C10006,rdae:P20046,,,Deprecated,18.5,2,
has writer of supplementary textual content (Deprecated),rdae:writerOfSupplementaryTextualContent.en,"Relates an expression to an agent who contributes to an expression by providing supplementary textual content, such as an introduction or a preface, to an original work. (Deprecated)",,,,,writer of supplementary textual content (Deprecated),"An agent who contributes to an expression by providing supplementary textual content, such as an introduction or a preface, to an original work. (Deprecated)",rdae:P20046,property,rdac:C10006,rdae:P20332,,,Deprecated,18.5,2,
has interviewee agent of expression,rdae:intervieweeAgentOfExpression.en,"Relates an expression to an agent who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",,interviewee (expression),,,interviewee agent of expression,"An agent who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",rdae:P20047,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has editor (Deprecated),rdae:editor.en,"Relates an expression to an agent who contributes to an expression by revising or clarifying the content, or by selecting and putting together works, or parts of works, by one or more creators. (Deprecated)","Addition of an introduction, notes, or other critical matter, or preparing an expression of a work for production, publication, or distribution is included. Major revision, adaptation, etc., that substantially changes the nature and content of the original work, resulting in a new work, is excluded.",,,,editor (Deprecated),"An agent who contributes to an expression by revising or clarifying the content, or by selecting and putting together works, or parts of works, by one or more creators. (Deprecated)",rdae:P20048,property,rdac:C10006,rdae:P20331,,,Deprecated,18.5,2,rdaw:P10061
has abridger agent,rdae:abridgerAgent.en,Relates an expression to an agent who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,Substantial modification that results in the creation of a new work is excluded.,abridger,,,abridger agent,An agent who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.,rdae:P20049,property,rdac:C10006,rdae:P20327,,,Published,18.5,2,rdaw:P10061
has recording engineer agent,rdae:recordingEngineerAgent.en,Relates an expression to an agent who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.,,recording engineer,,,recording engineer agent,An agent who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.,rdae:P20050,property,rdac:C10006,rdae:P20292,,,Published,18.5,2,
has illustrator (Deprecated),rdae:illustrator.en,"Relates an expression to an agent who contributes to an expression by supplementing the primary content with drawings, diagrams, photographs, etc. (Deprecated)",Creation of content that is primarily artistic is excluded.,,,,illustrator (Deprecated),"An agent who contributes to an expression by supplementing the primary content with drawings, diagrams, photographs, etc. (Deprecated)",rdae:P20051,property,rdac:C10006,rdae:P20331,,,Deprecated,18.5,2,rdaw:P10058
has recordist agent,rdae:recordistAgent.en,Relates an expression to an agent who contributes to an expression by using a recording device to capture sound or video during a recording session.,"Includes field recordings of natural sounds, music performances, and other events.",recordist,,,recordist agent,An agent who contributes to an expression by using a recording device to capture sound or video during a recording session.,rdae:P20052,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has creator agent of expression,rdae:creatorAgentOfExpression.en,Relates an expression to an agent who is responsible for a realization of a work.,"A creator of expression includes a translator, arranger of music, performer, etc. A creator of a work that is realized by an expression is also a creator of expression.",contributor,,,creator agent of expression,An agent who is responsible for a realization of a work.,rdae:P20053,property,rdac:C10006,rdae:P20301,,,Published,20.2,2,
has presenter agent,rdae:presenterAgent.en,"Relates an expression to an agent who is included in statement of an &quot;X presents:&quot; credit in a manifestation that embodies an expression and who is probably associated with production, finance, or distribution of an expression of a moving image work in some way.",,presenter,,,presenter agent,"An agent who is included in statement of an &quot;X presents:&quot; credit in a manifestation that embodies an expression and who is probably associated with production, finance, or distribution of an expression of a moving image work in some way.",rdae:P20054,property,rdac:C10006,rdae:P20039,,,Published,18.5,2,
has editor agent of moving image work,rdae:editorAgentOfMovingImageWork.en,"Relates an expression to an agent who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",,editor of moving image work,,,editor agent of moving image work,"An agent who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",rdae:P20055,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
has production designer agent,rdae:productionDesignerAgent.en,Relates an expression to an agent who is responsible for designing the overall visual appearance of a moving image production.,,production designer,,,production designer agent,An agent who is responsible for designing the overall visual appearance of a moving image production.,rdae:P20056,property,rdac:C10006,rdae:P20329,,,Published,18.5,2,
"has performer, narrator, and/or presenter (Deprecated)",rdae:performerNarratorAndOrPresenter.en,"Relates an expression to a person, family, or corporate body responsible for performing, narrating, and/or presenting a work. (Deprecated)",,,,,"performer, narrator, and/or presenter (Deprecated)","A person, family, or corporate body responsible for performing, narrating, and/or presenting a work. (Deprecated)",rdae:P20057,property,rdac:C10006,,,,Deprecated,7.23,,
has minute taker agent,rdae:minuteTakerAgent.en,Relates an expression to an agent who is responsible for recording the minutes of a meeting.,,minute taker,,,minute taker agent,An agent who is responsible for recording the minutes of a meeting.,rdae:P20058,property,rdac:C10006,rdae:P20328,,,Published,18.5,2,
has manifestation of expression,rdae:manifestationOfExpression.en,Relates an expression to a manifestation that is a physical embodiment of an expression.,,,,,manifestation of expression,A manifestation that is a physical embodiment of an expression.,rdae:P20059,property,rdac:C10006,rdae:P20299,,,Published,17.9,3,
is adapted as radio program expression,rdae:adaptedAsRadioProgramExpression.en,Relates an expression to an expression of a radio program that is based on an expression of another work.,,,,,adapted as radio program expression,An expression of a radio program that is based on an expression of another work.,rdae:P20060,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
has form of tactile notation,rdae:formOfTactileNotation.en,Relates an expression to a set of characters or symbols used to express the content of an expression in a form that can be perceived through touch.,,,,,form of tactile notation,A set of characters or symbols used to express the content of an expression in a form that can be perceived through touch.,rdae:P20061,property,rdac:C10006,rdae:P20062,,,Published,7.13.4,4,
has form of notation,rdae:formOfNotation.en,Relates an expression to a set of characters or symbols used to express the content of an expression.,,,,,form of notation,A set of characters or symbols used to express the content of an expression.,rdae:P20062,property,rdac:C10006,,,,Published,7.13,5,
has form of notated movement,rdae:formOfNotatedMovement.en,Relates an expression to a set of characters or symbols used to express movement content of an expression.,,,,,form of notated movement,A set of characters or symbols used to express movement content of an expression.,rdae:P20063,property,rdac:C10006,rdae:P20062,,,Published,7.13.5,4,
has form of musical notation,rdae:formOfMusicalNotation.en,Relates an expression to a set of characters or symbols used to express musical content of an expression.,,,,,form of musical notation,A set of characters or symbols used to express musical content of an expression.,rdae:P20064,property,rdac:C10006,rdae:P20062,,,Published,7.13.3,4,
has script,rdae:script.en,Relates an expression to a set of characters or symbols used to express written language content of an expression.,,,,,script,A set of characters or symbols used to express written language content of an expression.,rdae:P20065,property,rdac:C10006,rdae:P20062,,,Published,7.13.2,5,
is adapted as television program expression,rdae:adaptedAsTelevisionProgramExpression.en,Relates an expression to an expression of a television program that is based on an expression of another work.,,,,,adapted as television program expression,An expression of a television program that is based on an expression of another work.,rdae:P20066,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
is adapted as video expression,rdae:adaptedAsVideoExpression.en,Relates an expression to an expression of a video that is based on an expression of another work.,,,,,adapted as video expression,An expression of a video that is based on an expression of another work.,rdae:P20067,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
has writer of added lyrics (Deprecated),rdae:writerOfAddedLyrics.en,Relates an expression to a writer of words added to an expression of a musical work. (Deprecated),Writing of lyrics in collaboration with a composer to form an original work is excluded.,,,,writer of added lyrics (Deprecated),A writer of words added to an expression of a musical work. (Deprecated),rdae:P20068,property,rdac:C10006,rdae:P20030,,,Deprecated,18.5,2,rdaw:P10204
has summarization of content,rdae:summarizationOfContent.en,"Relates an expression to an abstract, summary, synopsis, or other description of the content of an expression.",,,,,summarization of content,"An abstract, summary, synopsis, or other description of the content of an expression.",rdae:P20069,property,rdac:C10006,,,,Published,7.1,6,
has voice actor agent,rdae:voiceActorAgent.en,"Relates an expression to an agent who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed expressions, etc.",,voice actor,,,voice actor agent,"An agent who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed resources, etc.",rdae:P20070,property,rdac:C10006,rdae:P20012,,,Published,18.5,2,
has note on expression,rdae:noteOnExpression.en,Relates an expression to a broad unstructured description of one or more attributes of an expression.,,,,,note on expression,A broad unstructured description of one or more attributes of an expression.,rdae:P20071,property,rdac:C10006,rdax:P00015,,,Published,7.29,6,
is description of (expression) (Deprecated),rdae:descriptionOfExpression.en,Relates an expression to an expression described by an expression of a describing work. (Deprecated),,,,,description of (expression) (Deprecated),An expression described by an expression of a describing work. (Deprecated),rdae:P20072,property,rdac:C10006,rdae:P20234,,,Deprecated,,,
is dramatized as expression,rdae:dramatizedAsExpression.en,Relates an expression to an expression of a dramatic work that is adapted from a source expression.,,,,,dramatized as expression,An expression of a dramatic work that is adapted from an expression of another work.,rdae:P20073,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
is part of expression,rdae:partOfExpression.en,Relates an expression to an expression that has another expression as a discrete component.,,contained in (expression),,,part of expression,An expression that has another expression as a discrete component.,rdae:P20074,property,rdac:C10006,rdae:P20205,,,Published,24.5,3,
is replaced in part by expression,rdae:replacedInPartByExpression.en,Relates an expression to an expression of a work whose content partially supersedes and renders obsolete the content of an expression of another work.,This element applies in general to an expression of a static work.,,,,replaced in part by expression,An expression of a work whose content partially supersedes and renders obsolete the content of an expression of another work.,rdae:P20075,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
is replaced by expression,rdae:replacedByExpression.en,Relates an expression to an expression of a work whose content supersedes and renders obsolete the content of an expression of another work.,This element applies in general to an expression of a static work or an integrating work.,,,,replaced by expression,An expression of a work whose content supersedes and renders obsolete the content of an expression of another work.,rdae:P20076,property,rdac:C10006,rdae:P20169,,,Published,24.5,2,
is adapted in verse as expression,rdae:adaptedInVerseAsExpression.en,Relates an expression to an An expression of a literary composition in verse form that is adapted from an expression of another work.,,,,,adapted in verse as expression,An expression of a literary composition in verse form that is adapted from an expression of another work.,rdae:P20077,property,rdac:C10006,rdae:P20153,,,Published,24.5,3,
is dubbed version of,rdae:dubbedVersionOf.en,Relates an expression to an expression of a moving image work whose spoken dialogue is translated into a language different from another expression of the same work.,,,,,dubbed version of,An expression of a moving image work whose spoken dialogue is translated into a language different from another expression of the same work.,rdae:P20078,property,rdac:C10006,rdae:P20141,,,Published,24.5,2,
has dubbed version,rdae:dubbedVersion.en,Relates an expression to an expression of a moving image work that translates spoken dialogue of another expression of the same work into a different language.,,,,,dubbed version,An expression of a moving image work that translates spoken dialogue of another expression of the same work into a different language.,rdae:P20079,property,rdac:C10006,rdae:P20171,,,Published,24.5,2,
has cadenza expression,rdae:cadenzaExpression.en,"Relates an expression to an expression of a musical work that consists of an ornamental passage, for a soloist, added to an expression of a musical work such as a concerto either by the same or a different composer.",,,,,cadenza expression,"An expression of a musical work that consists of an ornamental passage, for a soloist, added to an expression of a musical work such as a concerto either by the same or a different composer.",rdae:P20080,property,rdac:C10006,rdae:P20105,,,Published,24.5,2,
is variations based on expression,rdae:variationsBasedOnExpression.en,"Relates an expression to an expression of a musical work from which melodic, thematic, or harmonic material is taken to form a discrete theme, which is repeated one or more times with subsequent modifications.",,,,,variations based on expression,"An expression of a musical work from which melodic, thematic, or harmonic material is taken to form a discrete theme, which is repeated one or more times with subsequent modifications.",rdae:P20081,property,rdac:C10006,rdae:P20204,,,Published,24.5,3,
is modified by variation as expression,rdae:modifiedByVariationAsExpression.en,"Relates an expression to an expression of a musical work in which melodic, thematic, or harmonic material taken from an expression of another work forms a discrete theme, which is repeated one or more times with subsequent modifications.",,,,,modified by variation as expression,"An expression of a musical work in which melodic, thematic, or harmonic material taken from an expression of another work forms a discrete theme, which is repeated one or more times with subsequent modifications.",rdae:P20082,property,rdac:C10006,rdae:P20203,,,Published,24.5,3,
