*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,altLabel[4]_en,altLabel[5]_en,altLabel[6]_en,altLabel[7]_en,altLabel[8]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],sameAs[0],*status,instructionNumber,has element type
has broadcaster agent,rdam:broadcasterAgent.en,"Relates a manifestation to an agent who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",,broadcaster,,,,,,,,,broadcaster agent,"An agent who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",rdam:P30067,property,rdac:C10007,rdam:P30083,,,Published,18.5,2
has broadcaster collective agent,rdam:broadcasterCollectiveAgent.en,"Relates a manifestation to a collective agent who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",,,,,,,,,,,broadcaster collective agent,"A collective agent who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",rdam:P30376,property,rdac:C10007,rdam:P30391,rdam:P30067,,Published,,2
has broadcaster corporate body,rdam:broadcasterCorporateBody.en,"Relates a manifestation to a corporate body who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",,,,,,,,,,,broadcaster corporate body,"A corporate body who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",rdam:P30405,property,rdac:C10007,rdam:P30420,rdam:P30376,,Published,,2
has broadcaster family,rdam:broadcasterFamily.en,"Relates a manifestation to a family who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",,,,,,,,,,,broadcaster family,"A family who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",rdam:P30434,property,rdac:C10007,rdam:P30449,rdam:P30376,,Published,,2
has broadcaster person,rdam:broadcasterPerson.en,"Relates a manifestation to a person who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",,,,,,,,,,,broadcaster person,"A person who is responsible for broadcasting a manifestation to an audience via radio, television, webcast, or other transmission media.",rdam:P30347,property,rdac:C10007,rdam:P30362,rdam:P30067,,Published,,2
has carrier type,rdam:carrierType.en,"Relates a manifestation to a categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",,type of carrier,category of carrier,,,,,,,,carrier type,"A categorization reflecting the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to view, play, run, or otherwise access the content of a manifestation.",rdam:P30001,property,rdac:C10007,,,,Published,3.3,4
has cartographic data type,rdam:cartographicDataType.en,Relates a manifestation to a machine-readable representation of geospatial features.,,,,,,,,,,,cartographic data type,A machine-readable representation of geospatial features.,rdam:P30261,property,rdac:C10007,,,,Published,3.19.8.5,4
has caster agent,rdam:casterAgent.en,Relates a manifestation to an agent who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,,caster,,,,,,,,,caster agent,An agent who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,rdam:P30073,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
has caster collective agent,rdam:casterCollectiveAgent.en,Relates a manifestation to a collective agent who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,,,,,,,,,,,caster collective agent,A collective agent who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,rdam:P30382,property,rdac:C10007,rdam:P30390,rdam:P30073,,Published,,2
has caster corporate body,rdam:casterCorporateBody.en,Relates a manifestation to a corporate body who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,,,,,,,,,,,caster corporate body,A corporate body who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,rdam:P30411,property,rdac:C10007,rdam:P30419,rdam:P30382,,Published,,2
has caster family,rdam:casterFamily.en,Relates a manifestation to a family who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,,,,,,,,,,,caster family,A family who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,rdam:P30440,property,rdac:C10007,rdam:P30448,rdam:P30382,,Published,,2
has caster person,rdam:casterPerson.en,Relates a manifestation to a person who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,,,,,,,,,,,caster person,A person who is responsible for manufacturing a manifestation by pouring a liquid or molten substance into a mold and leaving it to solidify to take the shape of the mold.,rdam:P30353,property,rdac:C10007,rdam:P30361,rdam:P30073,,Published,,2
has category of manifestation,rdam:categoryOfManifestation.en,Relates a manifestation to a type to which a manifestation belongs.,,type of manifestation,,,,,,,,,category of manifestation,A type to which a manifestation belongs.,rdam:P30335,property,rdac:C10007,rdax:P00029,,,Published,,5
has collotyper agent,rdam:collotyperAgent.en,Relates a manifestation to an agent who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,,collotyper,,,,,,,,,collotyper agent,An agent who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,rdam:P30077,property,rdac:C10007,rdam:P30082,,,Published,18.5,2
has collotyper collective agent,rdam:collotyperCollectiveAgent.en,Relates a manifestation to a collective agent who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,,,,,,,,,,,collotyper collective agent,A collective agent who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,rdam:P30386,property,rdac:C10007,rdam:P30390,rdam:P30077,,Published,,2
has collotyper corporate body,rdam:collotyperCorporateBody.en,Relates a manifestation to a corporate body who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,,,,,,,,,,,collotyper corporate body,A corporate body who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,rdam:P30415,property,rdac:C10007,rdam:P30419,rdam:P30386,,Published,,2
has collotyper family,rdam:collotyperFamily.en,Relates a manifestation to a family who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,,,,,,,,,,,collotyper family,A family who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,rdam:P30444,property,rdac:C10007,rdam:P30448,rdam:P30386,,Published,,2
has collotyper person,rdam:collotyperPerson.en,Relates a manifestation to a person who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,,,,,,,,,,,collotyper person,A person who is responsible for manufacturing a manifestation by using a photomechanical process for making prints directly from a hardened film of gelatin or other colloid that has ink-receptive and ink-repellent surfaces.,rdam:P30357,property,rdac:C10007,rdam:P30361,rdam:P30077,,Published,,2
has colour content,rdam:colourContent.en,Relates a manifestation to an indication of the presence of colour or tone embodied by a manifestation.,"Black, white, single colour shades of black, single colour tints of white, and single colour tones of gray are considered to be single colours. Colour content applies to an expression with a value of &quot;cartographic image&quot;, &quot;cartographic moving image&quot;, &quot;cartographic three-dimensional form&quot;, &quot;notated movement&quot;, &quot;notated music&quot;, &quot;performed movement&quot;, &quot;still image&quot;, &quot;text&quot;, &quot;three-dimensional moving image&quot;, &quot;three-dimensional form&quot;, or &quot;two-dimensional moving image&quot; for content type.",color content,,,,,,,,,colour content,An indication of the presence of colour or tone embodied by a manifestation.,rdam:P30456,property,rdac:C10007,,,,Published,7.17,4
is commentary on (manifestation) (Deprecated),rdam:commentaryOnManifestation.en,Relates a work to a manifestation used as the basis for a set of explanatory or critical notes. (Deprecated),,,,,,,,,,,commentary on (manifestation) (Deprecated),A manifestation used as the basis for a set of explanatory or critical notes. (Deprecated),rdam:P30044,property,rdac:C10001,rdam:P30023,,,Deprecated,,
has configuration of playback channels,rdam:configurationOfPlaybackChannels.en,Relates a manifestation to a number of sound channels used to make a recording.,,,,,,,,,,,configuration of playback channels,A number of sound channels used to make a recording.,rdam:P30184,property,rdac:C10007,rdam:P30125,,,Published,3.16.8,4
has contact information,rdam:contactInformation.en,"Relates a manifestation to a name, address, or other means of communicating with an agent from which a manifestation may be obtained.","An agent includes the distributor, manufacturer, or publisher of a published manifestation, or the archival repository that holds the manifestation.",,,,,,,,,,contact information,"A name, address, or other means of communicating with an agent from which a manifestation may be obtained.",rdam:P30141,property,rdac:C10007,,,,Published,4.3,6
has contributor agent of cartography,rdam:contributorAgentOfCartography.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,,cartographer (expression),,,,,,,,,contributor agent of cartography,An agent who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,rdam:P30315,property,rdac:C10007,rdam:P30327,,,Published,18.5,2
has contributor agent of choreography,rdam:contributorAgentOfChoreography.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a choreographic work that is embodied by an aggregate.,,,,,,,,,,,contributor agent of choreography,An agent who is a contributor to aggregate who creates an expression of a choreographic work that is embodied by an aggregate.,rdam:P30316,property,rdac:C10007,rdam:P30327,,,Published,18.5,2
has contributor agent of computer content,rdam:contributorAgentOfComputerContent.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,,,,,,,,,,,contributor agent of computer content,An agent who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,rdam:P30333,property,rdac:C10007,rdam:P30327,,,Published,,2
has contributor agent of moving image,rdam:contributorAgentOfMovingImage.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,,,,,,,,,,,contributor agent of moving image,An agent who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,rdam:P30326,property,rdac:C10007,rdam:P30327,,,Published,18.5,2
has contributor agent of music,rdam:contributorAgentOfMusic.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,,composer (expression),,,,,,,,,contributor agent of music,An agent who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,rdam:P30311,property,rdac:C10007,rdam:P30327,,,Published,18.5,2
has contributor agent of object,rdam:contributorAgentOfObject.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of an object work that is embodied by an aggregate.,,,,,,,,,,,contributor agent of object,An agent who is a contributor to aggregate who creates an expression of an object work that is embodied by an aggregate.,rdam:P30332,property,rdac:C10007,rdam:P30327,,,Published,,2
has contributor agent of speech,rdam:contributorAgentOfSpeech.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,,,,,,,,,,,contributor agent of speech,An agent who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,rdam:P30331,property,rdac:C10007,rdam:P30327,,,Published,,2
has contributor agent of still image,rdam:contributorAgentOfStillImage.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,,illustrator,photographer (expression),,,,,,,,contributor agent of still image,An agent who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,rdam:P30321,property,rdac:C10007,rdam:P30327,,,Published,18.5,2
has contributor agent of text,rdam:contributorAgentOfText.en,Relates a manifestation to an agent who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,,writer of supplementary textual content,writer of added text,writer of preface,writer of added commentary,writer of introduction,writer of added lyrics,writer of afterword,writer of postface,writer of foreword,contributor agent of text,An agent who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,rdam:P30328,property,rdac:C10007,rdam:P30327,,,Published,,2
has contributor agent to aggregate,rdam:contributorAgentToAggregate.en,Relates a manifestation to an agent who is responsible for creating an expression of a work that is embodied by an aggregate.,,,,,,,,,,,contributor agent to aggregate,An agent who is responsible for creating an expression of a work that is embodied by an aggregate.,rdam:P30327,property,rdac:C10007,rdam:P30267,,,Published,,2
has contributor collective agent of cartography,rdam:contributorCollectiveAgentOfCartography.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of cartography,A collective agent who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,rdam:P30367,property,rdac:C10007,rdam:P30365,rdam:P30315,,Published,,2
has contributor collective agent of choreography,rdam:contributorCollectiveAgentOfChoreography.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a choreographic work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of choreography,A collective agent who is a contributor to aggregate who creates an expression of a choreographic work that is embodied by an aggregate.,rdam:P30368,property,rdac:C10007,rdam:P30365,rdam:P30316,,Published,,2
has contributor collective agent of computer content,rdam:contributorCollectiveAgentOfComputerContent.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of computer content,A collective agent who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,rdam:P30375,property,rdac:C10007,rdam:P30365,rdam:P30333,,Published,,2
has contributor collective agent of moving image,rdam:contributorCollectiveAgentOfMovingImage.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of moving image,A collective agent who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,rdam:P30369,property,rdac:C10007,rdam:P30365,rdam:P30326,,Published,,2
has contributor collective agent of music,rdam:contributorCollectiveAgentOfMusic.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of music,A collective agent who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,rdam:P30370,property,rdac:C10007,rdam:P30365,rdam:P30311,,Published,,2
has contributor collective agent of object,rdam:contributorCollectiveAgentOfObject.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of an object work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of object,A collective agent who is a contributor to aggregate who creates an expression of an object work that is embodied by an aggregate.,rdam:P30374,property,rdac:C10007,rdam:P30365,rdam:P30332,,Published,,2
has contributor collective agent of speech,rdam:contributorCollectiveAgentOfSpeech.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of speech,A collective agent who is a contributor to aggregate who creates an expression of a vocal work that is embodied by an aggregate.,rdam:P30371,property,rdac:C10007,rdam:P30365,rdam:P30331,,Published,,2
has contributor collective agent of still image,rdam:contributorCollectiveAgentOfStillImage.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of still image,A collective agent who is a contributor to aggregate who creates an expression of a still image work that is embodied by an aggregate.,rdam:P30372,property,rdac:C10007,rdam:P30365,rdam:P30321,,Published,,2
has contributor collective agent of text,rdam:contributorCollectiveAgentOfText.en,Relates a manifestation to a collective agent who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent of text,A collective agent who is a contributor to aggregate who creates an expression of a textual work that is embodied by an aggregate.,rdam:P30373,property,rdac:C10007,rdam:P30365,rdam:P30328,,Published,,2
has contributor collective agent to aggregate,rdam:contributorCollectiveAgentToAggregate.en,Relates a manifestation to a collective agent who is responsible for creating an expression of a work that is embodied by an aggregate.,,,,,,,,,,,contributor collective agent to aggregate,A collective agent who is responsible for creating an expression of a work that is embodied by an aggregate.,rdam:P30365,property,rdac:C10007,rdam:P30271,rdam:P30327,,Published,,2
has contributor corporate body of cartography,rdam:contributorCorporateBodyOfCartography.en,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,,,,,,,,,,,contributor corporate body of cartography,A corporate body who is a contributor to aggregate who creates an expression of a cartographic work that is embodied by an aggregate.,rdam:P30396,property,rdac:C10007,rdam:P30394,rdam:P30367,,Published,,2
has contributor corporate body of choreography,rdam:contributorCorporateBodyOfChoreography.en,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a choreographic work that is embodied by an aggregate.,,,,,,,,,,,contributor corporate body of choreography,A corporate body who is a contributor to aggregate who creates an expression of a choreographic work that is embodied by an aggregate.,rdam:P30397,property,rdac:C10007,rdam:P30394,rdam:P30368,,Published,,2
has contributor corporate body of computer content,rdam:contributorCorporateBodyOfComputerContent.en,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,,,,,,,,,,,contributor corporate body of computer content,A corporate body who is a contributor to aggregate who creates an expression of computer content that is embodied by an aggregate.,rdam:P30404,property,rdac:C10007,rdam:P30394,rdam:P30375,,Published,,2
has contributor corporate body of moving image,rdam:contributorCorporateBodyOfMovingImage.en,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,,,,,,,,,,,contributor corporate body of moving image,A corporate body who is a contributor to aggregate who creates an expression of a moving image work that is embodied by an aggregate.,rdam:P30398,property,rdac:C10007,rdam:P30394,rdam:P30369,,Published,,2
has contributor corporate body of music,rdam:contributorCorporateBodyOfMusic.en,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,,,,,,,,,,,contributor corporate body of music,A corporate body who is a contributor to aggregate who creates an expression of a musical work that is embodied by an aggregate.,rdam:P30399,property,rdac:C10007,rdam:P30394,rdam:P30370,,Published,,2
has contributor corporate body of object,rdam:contributorCorporateBodyOfObject.en,Relates a manifestation to a corporate body who is a contributor to aggregate who creates an expression of an object work that is embodied by an aggregate.,,,,,,,,,,,contributor corporate body of object,A corporate body who is a contributor to aggregate who creates an expression of an object work that is embodied by an aggregate.,rdam:P30403,property,rdac:C10007,rdam:P30394,rdam:P30374,,Published,,2
