reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subClassOf[0],subPropertyOf[0],subPropertyOf[1],*status,"has element type"
25587,"has related person of nomen",rdan:relatedPersonOfNomen.en,"Relates a nomen to a person who is associated with a nomen.",,,"related person of nomen","A person who is associated with a nomen.",rdan:P80011,property,relatedPersonOfNomen,rdac:C10012,,rdau:P61027,,rdan:P80005,rdax:P00007,Published,1
25588,"has related family of nomen",rdan:relatedFamilyOfNomen.en,"Relates a nomen to a family who is associated with a nomen.",,,"related family of nomen","A family who is associated with a nomen.",rdan:P80012,property,relatedFamilyOfNomen,rdac:C10012,,rdau:P61027,,rdan:P80006,rdax:P00008,Published,1
25589,"has related corporate body of nomen",rdan:relatedCorporateBodyOfNomen.en,"Relates a nomen to a corporate body who is associated with a nomen.",,,"related corporate body of nomen","A corporate body who is associated with a nomen.",rdan:P80013,property,relatedCorporateBodyOfNomen,rdac:C10012,,rdau:P61027,,rdan:P80006,rdax:P00009,Published,1
25668,"is subject nomen of",rdan:subjectNomenOf.en,"Relates a nomen to a work that is about a nomen.",,"subject of (nomen)","subject nomen of","A work that is about a nomen.",rdan:P80014,property,subjectNomenOf,rdac:C10012,,rdau:P60806,,rdan:P80001,rdax:P00014,Published,2
33852,"is abbreviated title of",rdan:abbreviatedTitleOf.en,"Relates a nomen to a manifestation that has a title of manifestation that has been abbreviated for purposes of indexing or identification.",,,"abbreviated title of","A manifestation that has a title of manifestation that has been abbreviated for purposes of indexing or identification.",rdan:P80057,property,abbreviatedTitleOf,rdac:C10012,,rdau:P61111,,rdan:P80111,,Published,2
33853,"is access point for agent of",rdan:accessPointForAgentOf.en,"Relates a nomen to an agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for agent of","An agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80018,property,accessPointForAgentOf,rdac:C10012,,rdau:P60910,,rdan:P80028,rdan:P80159,Published,2
33854,"is access point for collective agent of",rdan:accessPointForCollectiveAgentOf.en,"Relates a nomen to a collective agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for collective agent of","A collective agent who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80019,property,accessPointForCollectiveAgentOf,rdac:C10012,,rdau:P60910,,rdan:P80029,rdan:P80018,Published,2
33855,"is access point for corporate body of",rdan:accessPointForCorporateBodyOf.en,"Relates a nomen to a corporate body who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for corporate body of","A corporate body who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80020,property,accessPointForCorporateBodyOf,rdac:C10012,,rdau:P60910,,rdan:P80030,rdan:P80019,Published,2
33856,"is access point for expression of",rdan:accessPointForExpressionOf.en,"Relates a nomen to an expression that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for expression of","An expression that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80023,property,accessPointForExpressionOf,rdac:C10012,,rdau:P60910,,rdan:P80038,rdan:P80159,Published,2
33857,"is access point for family of",rdan:accessPointForFamilyOf.en,"Relates a nomen to a family who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for family of","A family who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80021,property,accessPointForFamilyOf,rdac:C10012,,rdau:P60910,,rdan:P80031,rdan:P80019,Published,2
33858,"is access point for manifestation of",rdan:accessPointForManifestationOf.en,"Relates a nomen to a manifestation that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for manifestation of","A manifestation that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80024,property,accessPointForManifestationOf,rdac:C10012,,rdau:P60910,,rdan:P80040,rdan:P80159,Published,2
33859,"is access point for person of",rdan:accessPointForPersonOf.en,"Relates a nomen to a person who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for person of","A person who has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80022,property,accessPointForPersonOf,rdac:C10012,,rdau:P60910,,rdan:P80032,rdan:P80018,Published,2
33860,"is access point for place of",rdan:accessPointForPlaceOf.en,"Relates a nomen to a place that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for place of","A place that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80025,property,accessPointForPlaceOf,rdac:C10012,,rdau:P60910,,rdan:P80041,rdan:P80159,Published,2
33861,"is access point for item of",rdan:accessPointForItemOf.en,"Relates a nomen to an item that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for item of","An item that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80015,property,accessPointForItemOf,rdac:C10012,,rdau:P60910,,rdan:P80016,rdan:P80159,Published,2
33862,"is access point for timespan of",rdan:accessPointForTimespanOf.en,"Relates a nomen to a timespan that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for timespan of","A timespan that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80026,property,accessPointForTimespanOf,rdac:C10012,,rdau:P60910,,rdan:P80043,rdan:P80159,Published,2
33863,"is access point for work of",rdan:accessPointForWorkOf.en,"Relates a nomen to a work that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",,,"access point for work of","A work that has an appellation in natural language that is taken from a vocabulary encoding scheme or is constructed using a string encoding scheme.",rdan:P80027,property,accessPointForWorkOf,rdac:C10012,,rdau:P60910,,rdan:P80045,rdan:P80159,Published,2
33864,"is appellation of agent of",rdan:appellationOfAgentOf.en,"Relates a nomen to an agent who is referred to by a nomen used within a given scheme or context.",,,"appellation of agent of","An agent who is referred to by a nomen used within a given scheme or context.",rdan:P80028,property,appellationOfAgentOf,rdac:C10012,,rdau:P60911,,rdan:P80005,rdan:P80112,Published,2
33865,"is appellation of collective agent of",rdan:appellationOfCollectiveAgentOf.en,"Relates a nomen to a collective agent who is referred to by a nomen used within a given scheme or context.",,,"appellation of collective agent of","A collective agent who is referred to by a nomen used within a given scheme or context.",rdan:P80029,property,appellationOfCollectiveAgentOf,rdac:C10012,,rdau:P60911,,rdan:P80006,rdan:P80028,Published,2
33866,"is appellation of corporate body of",rdan:appellationOfCorporateBodyOf.en,"Relates a nomen to a corporate body who is referred to by a nomen used within a given scheme or context.",,,"appellation of corporate body of","A corporate body who is referred to by a nomen used within a given scheme or context.",rdan:P80030,property,appellationOfCorporateBodyOf,rdac:C10012,,rdau:P60911,,rdan:P80013,rdan:P80029,Published,2
33867,"is appellation of RDA entity of",rdan:appellationOfRDAEntityOf.en,"Relates a nomen to an RDA entity that is referred to by a nomen used within a given scheme or context.",,,"appellation of RDA entity of","An RDA entity that is referred to by a nomen used within a given scheme or context.",rdan:P80112,property,appellationOfRDAEntityOf,rdac:C10012,,rdau:P60911,,rdan:P80010,rdan:P80112,Published,2
33868,"is appellation of expression of",rdan:appellationOfExpressionOf.en,"Relates a nomen to an expression that is referred to by a nomen used within a given scheme or context.",,,"appellation of expression of","An expression that is referred to by a nomen used within a given scheme or context.",rdan:P80038,property,appellationOfExpressionOf,rdac:C10012,,rdau:P60911,,rdan:P80002,rdan:P80112,Published,2
33869,"is appellation of family of",rdan:appellationOfFamilyOf.en,"Relates a nomen to a family who is referred to by a nomen used within a given scheme or context.",,,"appellation of family of","A family who is referred to by a nomen used within a given scheme or context.",rdan:P80031,property,appellationOfFamilyOf,rdac:C10012,,rdau:P60911,,rdan:P80012,rdan:P80029,Published,2
33870,"is appellation of item of",rdan:appellationOfItemOf.en,"Relates a nomen to an item that is referred to by a nomen used within a given scheme or context.",,,"appellation of item of","An item that is referred to by a nomen used within a given scheme or context.",rdan:P80016,property,appellationOfItemOf,rdac:C10012,,rdau:P60911,,rdan:P80004,rdan:P80112,Published,2
33871,"is appellation of manifestation of",rdan:appellationOfManifestationOf.en,"Relates a nomen to a manifestation that is referred to by a nomen used within a given scheme or context.",,,"appellation of manifestation of","A manifestation that is referred to by a nomen used within a given scheme or context.",rdan:P80040,property,appellationOfManifestationOf,rdac:C10012,,rdau:P60911,,rdan:P80003,rdan:P80112,Published,2
33872,"is appellation of person of",rdan:appellationOfPersonOf.en,"Relates a nomen to a person who is referred to by a nomen used within a given scheme or context.",,,"appellation of person of","A person who is referred to by a nomen used within a given scheme or context.",rdan:P80032,property,appellationOfPersonOf,rdac:C10012,,rdau:P60911,,rdan:P80011,rdan:P80028,Published,2
33873,"is appellation of place of",rdan:appellationOfPlaceOf.en,"Relates a nomen to a place that is referred to by a nomen used within a given scheme or context.",,,"appellation of place of","A place that is referred to by a nomen used within a given scheme or context.",rdan:P80041,property,appellationOfPlaceOf,rdac:C10012,,rdau:P60911,,rdan:P80007,rdan:P80112,Published,2
33874,"is appellation of timespan of",rdan:appellationOfTimespanOf.en,"Relates a nomen to a timespan that is referred to by a nomen used within a given scheme or context.",,,"appellation of timespan of","A timespan that is referred to by a nomen used within a given scheme or context.",rdan:P80043,property,appellationOfTimespanOf,rdac:C10012,,rdau:P60911,,rdan:P80008,rdan:P80112,Published,2
33875,"is appellation of work of",rdan:appellationOfWorkOf.en,"Relates a nomen to a work that is referred to by a nomen used within a given scheme or context.",,,"appellation of work of","A work that is referred to by a nomen used within a given scheme or context.",rdan:P80045,property,appellationOfWorkOf,rdac:C10012,,rdau:P60911,,rdan:P80001,rdan:P80112,Published,2
33876,"is assigned by agent",rdan:assignedByAgent.en,"Relates a nomen to an agent who assigns a nomen to an entity.",,,"assigned by agent","An agent who assigns a nomen to an entity.",rdan:P80073,property,assignedByAgent,rdac:C10012,,rdau:P60943,,rdan:P80005,,Published,2
33877,"is assigned by collective agent",rdan:assignedByCollectiveAgent.en,"Relates a nomen to a collective agent who assigns a nomen to an entity.",,,"assigned by collective agent","A collective agent who assigns a nomen to an entity.",rdan:P80074,property,assignedByCollectiveAgent,rdac:C10012,,rdau:P60943,,rdan:P80006,rdan:P80073,Published,2
33878,"is assigned by corporate body",rdan:assignedByCorporateBody.en,"Relates a nomen to a corporate body who assigns a nomen to an entity.",,,"assigned by corporate body","A corporate body who assigns a nomen to an entity.",rdan:P80075,property,assignedByCorporateBody,rdac:C10012,,rdau:P60943,,rdan:P80013,rdan:P80074,Published,2
33879,"is assigned by family",rdan:assignedByFamily.en,"Relates a nomen to a family who assigns a nomen to an entity.",,,"assigned by family","A family who assigns a nomen to an entity.",rdan:P80076,property,assignedByFamily,rdac:C10012,,rdau:P60943,,rdan:P80012,rdan:P80074,Published,2
33880,"is assigned by person",rdan:assignedByPerson.en,"Relates a nomen to a person who assigns a nomen to an entity.",,,"assigned by person","A person who assigns a nomen to an entity.",rdan:P80077,property,assignedByPerson,rdac:C10012,,rdau:P60943,,rdan:P80011,rdan:P80073,Published,2
33881,"is authorized access point for agent of",rdan:authorizedAccessPointForAgentOf.en,"Relates a nomen to an agent who has an access point for agent that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for agent of","An agent who has an access point for agent that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80099,property,authorizedAccessPointForAgentOf,rdac:C10012,,rdau:P60918,,rdan:P80018,rdan:P80162,Published,2
33882,"is authorized access point for collective agent of",rdan:authorizedAccessPointForCollectiveAgentOf.en,"Relates a nomen to a collective agent who has an access point for collective agent that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for collective agent of","A collective agent who has an access point for collective agent that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80101,property,authorizedAccessPointForCollectiveAgentOf,rdac:C10012,,rdau:P60918,,rdan:P80019,rdan:P80099,Published,2
33883,"is authorized access point for corporate body of",rdan:authorizedAccessPointForCorporateBodyOf.en,"Relates a nomen to a corporate body who has an access point for corporate body that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for corporate body of","A corporate body who has an access point for corporate body that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80103,property,authorizedAccessPointForCorporateBodyOf,rdac:C10012,,rdau:P60918,,rdan:P80020,rdan:P80101,Published,2
33884,"is authorized access point for expression of",rdan:authorizedAccessPointForExpressionOf.en,"Relates a nomen to an expression that has an access point for expression that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for expression of","An expression that has an access point for expression that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80095,property,authorizedAccessPointForExpressionOf,rdac:C10012,,rdau:P60918,,rdan:P80023,rdan:P80162,Published,2
33885,"is authorized access point for family of",rdan:authorizedAccessPointForFamilyOf.en,"Relates a nomen to a family who has an access point for family that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for family of","A family who has an access point for family that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80105,property,authorizedAccessPointForFamilyOf,rdac:C10012,,rdau:P60918,,rdan:P80021,rdan:P80101,Published,2
33886,"is authorized access point for item of",rdan:authorizedAccessPointForItemOf.en,"Relates a nomen to an item that has an access point for item that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for item of","An item that has an access point for item that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80091,property,authorizedAccessPointForItemOf,rdac:C10012,,rdau:P60918,,rdan:P80015,rdan:P80162,Published,2
33887,"is authorized access point for manifestation of",rdan:authorizedAccessPointForManifestationOf.en,"Relates a nomen to a manifestation that has an access point for manifestation that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for manifestation of","A manifestation that has an access point for manifestation that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80089,property,authorizedAccessPointForManifestationOf,rdac:C10012,,rdau:P60918,,rdan:P80024,rdan:P80162,Published,2
33888,"is authorized access point for person of",rdan:authorizedAccessPointForPersonOf.en,"Relates a nomen to a person who has an access point for person that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for person of","A person who has an access point for person that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80107,property,authorizedAccessPointForPersonOf,rdac:C10012,,rdau:P60918,,rdan:P80022,rdan:P80099,Published,2
33889,"is authorized access point for place of",rdan:authorizedAccessPointForPlaceOf.en,"Relates a nomen to a place that has an access point for place that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for place of","A place that has an access point for place that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80085,property,authorizedAccessPointForPlaceOf,rdac:C10012,,rdau:P60918,,rdan:P80025,rdan:P80162,Published,2
33890,"is authorized access point for timespan of",rdan:authorizedAccessPointForTimespanOf.en,"Relates a nomen to a timespan that has an access point for timespan that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for timespan of","A timespan that has an access point for timespan that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80081,property,authorizedAccessPointForTimespanOf,rdac:C10012,,rdau:P60918,,rdan:P80026,rdan:P80162,Published,2
33891,"is authorized access point for work of",rdan:authorizedAccessPointForWorkOf.en,"Relates a nomen to a work that has an access point for work that is selected for preference in a specific vocabulary encoding scheme.",,,"authorized access point for work of","A work that has an access point for work that is selected for preference in a specific vocabulary encoding scheme.",rdan:P80079,property,authorizedAccessPointForWorkOf,rdac:C10012,,rdau:P60918,,rdan:P80027,rdan:P80162,Published,2
33892,"has category of nomen",rdan:categoryOfNomen.en,"Relates a nomen to a type to which a nomen belongs.",,"type of nomen","category of nomen","A type to which a nomen belongs.",rdan:P80078,property,categoryOfNomen,rdac:C10012,,rdau:P60944,,rdax:P00029,,Published,5
33893,"has context of use",rdan:contextOfUse.en,"Relates a nomen to the circumstances or situation in which an appellation of an RDA entity is used.",,"scope of usage","context of use","The circumstances or situation in which an appellation of an RDA entity is used.",rdan:P80067,property,contextOfUse,rdac:C10012,,rdau:P61119,,,,Published,6
33894,"has derivation",rdan:derivation.en,"Relates a nomen to a nomen that is based on another nomen.",,,derivation,"A nomen that is based on another nomen.",rdan:P80060,property,derivation,rdac:C10012,,rdau:P61121,,rdan:P80009,,Published,2
33895,"is derivation of",rdan:derivationOf.en,"Relates a nomen to a nomen that is used as the basis of another nomen.",,,"derivation of","A nomen that is used as the basis of another nomen.",rdan:P80061,property,derivationOf,rdac:C10012,,rdau:P61122,,rdan:P80009,,Published,2
33896,"is equivalent to",rdan:equivalentTo.en,"Relates a nomen to a nomen that is an appellation of the same entity as another nomen.",,,"equivalent to","A nomen that is an appellation of the same entity as another nomen.",rdan:P80113,property,equivalentTo,rdac:C10012,,rdau:P61123,,rdan:P80009,,Published,2
33897,"is identifier for agent of",rdan:identifierForAgentOf.en,"Relates a nomen to an agent who has an appellation of agent that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for agent of","An agent who has an appellation of agent that is a reference code taken from a vocabulary encoding scheme.",rdan:P80033,property,identifierForAgentOf,rdac:C10012,,rdau:P60937,,rdan:P80028,rdan:P80160,Published,2
33898,"is identifier for collective agent of",rdan:identifierForCollectiveAgentOf.en,"Relates a nomen to a collective agent who has an appellation of collective agent that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for collective agent of","A collective agent who has an appellation of collective agent that is a reference code taken from a vocabulary encoding scheme.",rdan:P80034,property,identifierForCollectiveAgentOf,rdac:C10012,,rdau:P60937,,rdan:P80029,rdan:P80033,Published,2
33899,"is identifier for corporate body of",rdan:identifierForCorporateBodyOf.en,"Relates a nomen to a corporate body who has an appellation of corporate body that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for corporate body of","A corporate body who has an appellation of corporate body that is a reference code taken from a vocabulary encoding scheme.",rdan:P80035,property,identifierForCorporateBodyOf,rdac:C10012,,rdau:P60937,,rdan:P80030,rdan:P80034,Published,2
33900,"is identifier for expression of",rdan:identifierForExpressionOf.en,"Relates a nomen to an expression that has an appellation of expression that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for expression of","An expression that has an appellation of expression that is a reference code taken from a vocabulary encoding scheme.",rdan:P80046,property,identifierForExpressionOf,rdac:C10012,,rdau:P60938,,rdan:P80038,rdan:P80160,Published,2
33901,"is identifier for family of",rdan:identifierForFamilyOf.en,"Relates a nomen to a family who has an appellation of family that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for family of","A family who has an appellation of family that is a reference code taken from a vocabulary encoding scheme.",rdan:P80036,property,identifierForFamilyOf,rdac:C10012,,rdau:P60937,,rdan:P80031,rdan:P80034,Published,2
33902,"is identifier for item of",rdan:identifierForItemOf.en,"Relates a nomen to an item that has an appellation of item that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for item of","An item that has an appellation of item that is a reference code taken from a vocabulary encoding scheme.",rdan:P80047,property,identifierForItemOf,rdac:C10012,,rdau:P60938,,rdan:P80016,rdan:P80160,Published,2
33903,"is identifier for manifestation of",rdan:identifierForManifestationOf.en,"Relates a nomen to a manifestation that has an appellation of manifestation that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for manifestation of","A manifestation that has an appellation of manifestation that is a reference code taken from a vocabulary encoding scheme.",rdan:P80048,property,identifierForManifestationOf,rdac:C10012,,rdau:P60938,,rdan:P80040,rdan:P80160,Published,2
33904,"is identifier for person of",rdan:identifierForPersonOf.en,"Relates a nomen to a person who has an appellation of person that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for person of","A person who has an appellation of person that is a reference code taken from a vocabulary encoding scheme.",rdan:P80037,property,identifierForPersonOf,rdac:C10012,,rdau:P60937,,rdan:P80032,rdan:P80033,Published,2
33905,"is identifier for place of",rdan:identifierForPlaceOf.en,"Relates a nomen to a place that has an appellation of place that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for place of","A place that has an appellation of place that is a reference code taken from a vocabulary encoding scheme.",rdan:P80042,property,identifierForPlaceOf,rdac:C10012,,rdau:P60928,,rdan:P80041,rdan:P80160,Published,2
33906,"is identifier for timespan of",rdan:identifierForTimespanOf.en,"Relates a nomen to a timespan that has an appellation of timespan that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for timespan of","A timespan that has an appellation of timespan that is a reference code taken from a vocabulary encoding scheme.",rdan:P80050,property,identifierForTimespanOf,rdac:C10012,,rdau:P60928,,rdan:P80043,rdan:P80160,Published,2
33907,"is identifier for work of",rdan:identifierForWorkOf.en,"Relates a nomen to a work that has an appellation of work that is a reference code taken from a vocabulary encoding scheme.",,,"identifier for work of","A work that has an appellation of work that is a reference code taken from a vocabulary encoding scheme.",rdan:P80049,property,identifierForWorkOf,rdac:C10012,,rdau:P60938,,rdan:P80045,rdan:P80160,Published,2
33908,"has intended audience of nomen",rdan:intendedAudienceOfNomen.en,"Relates a nomen to a class of users for which a nomen is intended.",,,"intended audience of nomen","A class of users for which a nomen is intended.",rdan:P80065,property,intendedAudienceOfNomen,rdac:C10012,,,,,,Published,5
33909,"is key title of",rdan:keyTitleOf.en,"Relates a nomen to a work that has a title of work that is assigned by an ISSN registration agency.",,,"key title of","A work that has a title of work that is assigned by an ISSN registration agency.",rdan:P80072,property,keyTitleOf,rdac:C10012,,rdau:P61118,,rdan:P80064,,Published,2
33910,"has language of nomen",rdan:languageOfNomen.en,"Relates a nomen to a language of an appellation.",,,"language of nomen","A language of an appellation.",rdan:P80066,property,languageOfNomen,rdac:C10012,,,,,,Published,5
33911,"is name of agent of",rdan:nameOfAgentOf.en,"Relates a nomen to an agent who has an appellation of agent in natural language and phrasing used in common discourse.",,,"name of agent of","An agent who has an appellation of agent in natural language and phrasing used in common discourse.",rdan:P80052,property,nameOfAgentOf,rdac:C10012,,rdau:P60920,,rdan:P80028,rdan:P80161,Published,2
33912,"is name of agent of manifestation of",rdan:nameOfAgentOfManifestationOf.en,"Relates a nomen to a manifestation that has a name of agent who is responsible for distribution, printing, duplication, casting, publication, release, issue, etc., or inscription, fabrication, construction, etc.",,,"name of agent of manifestation of","A manifestation that has a name of agent who is responsible for distribution, printing, duplication, casting, publication, release, issue, etc., or inscription, fabrication, construction, etc.",rdan:P80114,property,nameOfAgentOfManifestationOf,rdac:C10012,,,,rdan:P80003,rdan:P80052,Published,2
33913,"is name of collective agent of",rdan:nameOfCollectiveAgentOf.en,"Relates a nomen to a collective agent who has an appellation of collective agent in natural language and phrasing used in common discourse.",,,"name of collective agent of","A collective agent who has an appellation of collective agent in natural language and phrasing used in common discourse.",rdan:P80053,property,nameOfCollectiveAgentOf,rdac:C10012,,rdau:P60920,,rdan:P80029,rdan:P80052,Published,2
33914,"is name of corporate body of",rdan:nameOfCorporateBodyOf.en,"Relates a nomen to a corporate body who has an appellation of corporate body in natural language and phrasing used in common discourse.",,,"name of corporate body of","A corporate body who has an appellation of corporate body in natural language and phrasing used in common discourse.",rdan:P80054,property,nameOfCorporateBodyOf,rdac:C10012,,rdau:P60920,,rdan:P80030,rdan:P80053,Published,2
33915,"is name of distributor of",rdan:nameOfDistributorOf.en,"Relates a nomen to a manifestation that is published that has a name of agent who is responsible for distribution.",,,"name of distributor of","A manifestation that is published that has a name of agent who is responsible for distribution.",rdan:P80115,property,nameOfDistributorOf,rdac:C10012,,rdau:P60946,,rdan:P80114,,Published,2
33916,"is name of family of",rdan:nameOfFamilyOf.en,"Relates a nomen to a family who has an appellation of family in natural language and phrasing used in common discourse.",,,"name of family of","A family who has an appellation of family in natural language and phrasing used in common discourse.",rdan:P80055,property,nameOfFamilyOf,rdac:C10012,,rdau:P60920,,rdan:P80031,rdan:P80053,Published,2
33917,"is name of manufacturer of",rdan:nameOfManufacturerOf.en,"Relates a nomen to a manifestation that is published that has a name of agent who is responsible for printing, duplication, casting, etc.",,,"name of manufacturer of","A manifestation that is published that has a name of agent who is responsible for printing, duplication, casting, etc.",rdan:P80116,property,nameOfManufacturerOf,rdac:C10012,,rdau:P60948,,rdan:P80114,,Published,2
33918,"is name of person of",rdan:nameOfPersonOf.en,"Relates a nomen to a person who has an appellation of person in natural language and phrasing used in common discourse.",,,"name of person of","A person who has an appellation of person in natural language and phrasing used in common discourse.",rdan:P80056,property,nameOfPersonOf,rdac:C10012,,rdau:P60920,,rdan:P80032,rdan:P80052,Published,2
