reg_id,*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,*name,domain,range,hasUnconstrained,subPropertyOf[0],subPropertyOf[1],inverseOf,sameAs[0],*status,instructionNumber,"has element type","See Also[0]"
14122,"has stage director agent",rdae:stageDirectorAgent.en,"Relates an expression to an agent who contributes to an expression of a stage work through the general management and supervision of a performance.",,"stage director",,"stage director agent","An agent who contributes to an expression of a stage work through the general management and supervision of a performance.",rdae:P20031,property,stageDirectorAgent,rdac:C10006,,rdau:P60399,rdae:P20329,,,,Published,18.5,2,
14123,"has interviewer agent of expression",rdaa:interviewerAgentOfExpression.en,"Relates an expression to an agent who contributes to an expression by acting as an interviewer, reporter, pollster, or some other agent who gathers information.",,"interviewer of expression",,"interviewer agent of expression","An agent who contributes to an expression by acting as an interviewer, reporter, pollster, or some other agent who gathers information.",rdae:P20032,property,interviewerAgentOfExpression,rdac:C10006,,rdau:P60430,rdae:P20329,,,,Published,18.5,2,
14124,"has draftsman agent",rdae:draftsmanAgent.en,"Relates an expression to an agent who contributes to an expression by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc.",,draftsman,,"draftsman agent","An agent who contributes to an expression by an architect, inventor, etc., by making detailed plans or drawings for buildings, ships, aircraft, machines, objects, etc.",rdae:P20033,property,draftsmanAgent,rdac:C10006,,rdau:P60381,rdae:P20328,,,,Published,18.5,2,
14125,"has transcriber agent",rdae:transcriberAgent.en,"Relates an expression to an agent who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.","Transcription of a musical work for a different instrument or performing group is excluded.",transcriber,,"transcriber agent","An agent who contributes to an expression by writing down or notating unwritten or unnotated content, or by changing it from one system of notation to another.",rdae:P20034,property,transcriberAgent,rdac:C10006,,rdau:P60382,rdae:P20327,,,,Published,18.5,2,rdae:P20029
14126,"has musical director agent",rdae:musicalDirectorAgent.en,"Relates an expression to an agent who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",,"musical director",,"musical director agent","An agent who contributes to an expression by coordinating the activities of composers, sound editors, and sound mixers for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20035,property,musicalDirectorAgent,rdac:C10006,,rdau:P60383,rdae:P20329,,,,Published,18.5,2,
14127,"has costume designer agent",rdae:costumeDesignerAgent.en,"Relates an expression to an agent who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.",,"costume designer",,"costume designer agent","An agent who contributes to an expression by designing costumes for a moving image production or for a musical or dramatic presentation or entertainment.",rdae:P20036,property,costumeDesignerAgent,rdac:C10006,,rdau:P60384,rdae:P20329,,,,Published,18.5,2,
14128,"has translator agent",rdae:translatorAgent.en,"Relates an expression to an agent who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.","A translator may also translate linguistic content between forms of the same language from different time periods.",translator,,"translator agent","An agent who contributes to an expression by expressing the linguistic content of the work in a language different from that of previous expressions of the original work.",rdae:P20037,property,translatorAgent,rdac:C10006,,rdau:P60385,rdae:P20053,,,,Published,18.5,2,
14129,"has art director agent",rdae:artDirectorAgent.en,"Relates an expression to an agent who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.",,"art director",,"art director agent","An agent who contributes to an expression by overseeing artists and craftspeople who build sets for moving image productions.",rdae:P20038,property,artDirectorAgent,rdac:C10006,,rdau:P60386,rdae:P20329,,,,Published,18.5,2,
14130,"has performer agent",rdae:performerAgent.en,"Relates an expression to an agent who contributes to an expression by performing music, acting, dancing, speaking, etc., often in a musical or dramatic presentation, etc.",,performer,,"performer agent","An agent who contributes to an expression by performing music, acting, dancing, speaking, etc., often in a musical or dramatic presentation, etc.",rdae:P20039,property,performerAgent,rdac:C10006,,rdau:P60387,rdae:P20329,,,,Published,18.5,2,
14131,"has court reporter agent",rdae:courtReporterAgent.en,"Relates an expression to an agent who contributes to an expression by preparing the opinions of a court for publication.",,"court reporter",,"court reporter agent","An agent who contributes to an expression by preparing the opinions of a court for publication.",rdae:P20040,property,courtReporterAgent,rdac:C10006,,rdau:P60388,rdae:P20328,,,,Published,18.5,2,
14132,"has writer of preface (Deprecated)",rdae:writerOfPreface.en,"Relates an expression to an agent who contributes to an expression by providing a preface to an original work. (Deprecated)",,,,"writer of preface (Deprecated)","An agent who contributes to an expression by providing a preface to an original work. (Deprecated)",rdae:P20041,property,writerOfPreface,rdac:C10006,,rdau:P60389,rdae:P20046,,,,Deprecated,18.5,2,
14133,"has cartographer of expression (Deprecated)",rdae:cartographerOfExpression.en,"Relates an expression to an agent who contributes to an expression by providing additional cartography, or by modifying previous cartography. (Deprecated)",,,,"cartographer of expression (Deprecated)","An agent who contributes to an expression by providing additional cartography, or by modifying previous cartography. (Deprecated)",rdae:P20042,property,cartographerOfExpression,rdac:C10006,,rdau:P60425,rdae:P20331,,,,Deprecated,18.5,2,
14134,"has choreographer of expression (Deprecated)",rdae:choreographerOfExpression.en,"Relates an expression to an agent who contributes to an expression by providing additional choreography, or by modifying previous choreography. (Deprecated)",,,,"choreographer of expression (Deprecated)","An agent who contributes to an expression by providing additional choreography, or by modifying previous choreography. (Deprecated)",rdae:P20043,property,choreographerOfExpression,rdac:C10006,,rdau:P60433,rdae:P20331,,,,Deprecated,18.5,2,
14135,"has writer of added commentary (Deprecated)",rdae:writerOfAddedCommentary.en,"Relates an expression to an agent who contributes to an expression by providing an interpretation or critical explanation of an original work. (Deprecated)",,,,"writer of added commentary (Deprecated)","An agent who contributes to an expression by providing an interpretation or critical explanation of an original work. (Deprecated)",rdae:P20044,property,writerOfAddedCommentary,rdac:C10006,,rdau:P60390,rdae:P20046,,,,Deprecated,18.5,2,
14136,"has writer of introduction (Deprecated)",rdae:writerOfIntroduction.en,"Relates an expression to an agent who contributes to an expression by providing an introduction to an original work. (Deprecated)",,,,"writer of introduction (Deprecated)","An agent who contributes to an expression by providing an introduction to an original work. (Deprecated)",rdae:P20045,property,writerOfIntroduction,rdac:C10006,,rdau:P60391,rdae:P20046,,,,Deprecated,18.5,2,
14137,"has writer of supplementary textual content (Deprecated)",rdae:writerOfSupplementaryTextualContent.en,"Relates an expression to an agent who contributes to an expression by providing supplementary textual content, such as an introduction or a preface, to an original work. (Deprecated)",,,,"writer of supplementary textual content (Deprecated)","An agent who contributes to an expression by providing supplementary textual content, such as an introduction or a preface, to an original work. (Deprecated)",rdae:P20046,property,writerOfSupplementaryTextualContent,rdac:C10006,,rdau:P60392,rdae:P20332,,,,Deprecated,18.5,2,
14138,"has interviewee agent of expression",rdaa:intervieweeAgentOfExpression.en,"Relates an expression to an agent who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",,"interviewee of expression",,"interviewee agent of expression","An agent who contributes to an expression by responding to an interviewer, usually a reporter, pollster, or some other agent who gathers information.",rdae:P20047,property,intervieweeAgentOfExpression,rdac:C10006,,rdau:P60432,rdae:P20329,,,,Published,18.5,2,
14139,"has editor (Deprecated)",rdae:editor.en,"Relates an expression to an agent who contributes to an expression by revising or clarifying the content, or by selecting and putting together works, or parts of works, by one or more creators. (Deprecated)","Addition of an introduction, notes, or other critical matter, or preparing an expression of a work for production, publication, or distribution is included. Major revision, adaptation, etc., that substantially changes the nature and content of the original work, resulting in a new work, is excluded.",,,"editor (Deprecated)","An agent who contributes to an expression by revising or clarifying the content, or by selecting and putting together works, or parts of works, by one or more creators. (Deprecated)",rdae:P20048,property,editor,rdac:C10006,,rdau:P60393,rdae:P20331,,,,Deprecated,18.5,2,rdaw:P10061
14140,"has abridger agent",rdae:abridgerAgent.en,"Relates an expression to an agent who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.","Substantial modification that results in the creation of a new work is excluded.",abridger,,"abridger agent","An agent who contributes to an expression by shortening an expression of a related work without changing the general meaning or manner of presentation.",rdae:P20049,property,abridgerAgent,rdac:C10006,,rdau:P60394,rdae:P20327,,,,Published,18.5,2,rdaw:P10061
14141,"has recording engineer agent",rdae:recordingEngineerAgent.en,"Relates an expression to an agent who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.",,"recording engineer",,"recording engineer agent","An agent who is an audio engineer who contributes to the audio content of an expression by supervising the technical aspects of a recording session.",rdae:P20050,property,recordingEngineerAgent,rdac:C10006,,rdau:P60395,rdae:P20292,,,,Published,18.5,2,
14142,"has illustrator (Deprecated)",rdae:illustrator.en,"Relates an expression to an agent who contributes to an expression by supplementing the primary content with drawings, diagrams, photographs, etc. (Deprecated)","Creation of content that is primarily artistic is excluded.",,,"illustrator (Deprecated)","An agent who contributes to an expression by supplementing the primary content with drawings, diagrams, photographs, etc. (Deprecated)",rdae:P20051,property,illustrator,rdac:C10006,,rdau:P60396,rdae:P20331,,,,Deprecated,18.5,2,rdaw:P10058
14143,"has recordist agent",rdae:recordistAgent.en,"Relates an expression to an agent who contributes to an expression by using a recording device to capture sound or video during a recording session, including field recordings of natural sounds, folkloric events, music, etc.",,recordist,,"recordist agent","An agent who contributes to an expression by using a recording device to capture sound or video during a recording session, including field recordings of natural sounds, folkloric events, music, etc.",rdae:P20052,property,recordistAgent,rdac:C10006,,rdau:P60397,rdae:P20329,,,,Published,18.5,2,
14144,"has creator agent of expression",rdae:creatorAgentOfExpression.en,"Relates an expression to an agent who is responsible for a realization of a work.","A creator of expression includes a translator, arranger of music, performer, etc.",contributor,,"creator agent of expression","An agent who is responsible for a realization of a work.",rdae:P20053,property,creatorAgentOfExpression,rdac:C10006,,rdau:P60447,rdae:P20301,,,,Published,20.2,2,
14145,"has presenter agent",rdae:presenterAgent.en,"Relates an expression to an agent who is mentioned in an &quot;X presents:&quot; credit for moving image materials and who is probably associated with production, finance, or distribution in some way.",,presenter,,"presenter agent","An agent who is mentioned in an ""X presents:"" credit for moving image materials and who is probably associated with production, finance, or distribution in some way.",rdae:P20054,property,presenterAgent,rdac:C10006,,rdau:P60419,rdae:P20039,,,,Published,18.5,2,
14146,"has editor agent of moving image work",rdae:editorAgentOfMovingImageWork.en,"Relates an expression to an agent who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",,"editor of moving image work",,"editor agent of moving image work","An agent who is responsible for assembling, arranging, and trimming film, video, or other moving image formats, including both visual and audio aspects.",rdae:P20055,property,editorAgentOfMovingImageWork,rdac:C10006,,rdau:P60422,rdae:P20329,,,,Published,18.5,2,
14147,"has production designer agent",rdae:productionDesignerAgent.en,"Relates an expression to an agent who is responsible for designing the overall visual appearance of a moving image production.",,"production designer",,"production designer agent","An agent who is responsible for designing the overall visual appearance of a moving image production.",rdae:P20056,property,productionDesignerAgent,rdac:C10006,,rdau:P60437,rdae:P20329,,,,Published,18.5,2,
14148,"has performer, narrator, and/or presenter (Deprecated)",rdae:performerNarratorAndOrPresenter.en,"Relates an expression to a person, family, or corporate body responsible for performing, narrating, and/or presenting a work. (Deprecated)",,,,"performer, narrator, and/or presenter","A person, family, or corporate body responsible for performing, narrating, and/or presenting a work.",rdae:P20057,property,performerNarratorAndOrPresenter,rdac:C10006,,rdau:P60442,,,,,Deprecated,7.23,,
14149,"has minute taker agent",rdae:minuteTakerAgent.en,"Relates an expression to an agent who is responsible for recording the minutes of a meeting.",,"minute taker",,"minute taker agent","An agent who is responsible for recording the minutes of a meeting.",rdae:P20058,property,minuteTakerAgent,rdac:C10006,,rdau:P60446,rdae:P20328,,,,Published,18.5,2,
14150,"has manifestation of expression",rdae:manifestationOfExpression.en,"Relates an expression to a physical embodiment of an expression.",,,,"manifestation of expression","A physical embodiment of an expression.",rdae:P20059,property,manifestationOfExpression,rdac:C10006,,,rdae:P20299,,,,Published,17.9,3,
14151,"is adapted as radio program expression",rdae:adaptedAsRadioProgramExpression.en,"Relates an expression to a radio program based on a source expression.",,,,"adapted as radio program expression","A radio program based on a source expression.",rdae:P20060,property,adaptedAsRadioProgramExpression,rdac:C10006,,rdau:P60174,rdae:P20153,,,,Published,24.5,2,
14152,"has form of tactile notation",rdae:formOfTactileNotation.en,"Relates an expression to a set of characters or symbols used to express the content of an expression in a form that can be perceived through touch.",,,,"form of tactile notation","A set of characters or symbols used to express the content of an expression in a form that can be perceived through touch.",rdae:P20061,property,formOfTactileNotation,rdac:C10006,,rdau:P60318,rdae:P20062,,,,Published,7.13.4,4,
14153,"has form of notation",rdae:formOfNotation.en,"Relates an expression to a set of characters or symbols used to express the content of an expression.",,,,"form of notation","A set of characters or symbols used to express the content of an expression.",rdae:P20062,property,formOfNotation,rdac:C10006,,rdau:P60319,,,,,Published,7.13,5,
14154,"has form of notated movement",rdae:formOfNotatedMovement.en,"Relates an expression to a set of characters or symbols used to express movement content of an expression.",,,,"form of notated movement","A set of characters or symbols used to express movement content of an expression.",rdae:P20063,property,formOfNotatedMovement,rdac:C10006,,rdau:P60320,rdae:P20062,,,,Published,7.13.5,4,
14155,"has form of musical notation",rdae:formOfMusicalNotation.en,"Relates an expression to a set of characters or symbols used to express musical content of an expression.",,,,"form of musical notation","A set of characters or symbols used to express musical content of an expression.",rdae:P20064,property,formOfMusicalNotation,rdac:C10006,,rdau:P60321,rdae:P20062,,,,Published,7.13.3,4,
14156,"has script",rdae:script.en,"Relates an expression to a set of characters or symbols used to express written language content of an expression.",,,,script,"A set of characters or symbols used to express written language content of an expression.",rdae:P20065,property,script,rdac:C10006,,rdau:P60322,rdae:P20062,,,,Published,7.13.2,5,
14157,"is adapted as television program expression",rdae:adaptedAsTelevisionProgramExpression.en,"Relates an expression to a television program based on a source expression.",,,,"adapted as television program expression","A television program based on a source expression.",rdae:P20066,property,adaptedAsTelevisionProgramExpression,rdac:C10006,,rdau:P60354,rdae:P20153,,,,Published,24.5,2,
14158,"is adapted as video expression",rdae:adaptedAsVideoExpression.en,"Relates an expression to a video based on a source expression.",,,,"adapted as video expression","A video based on a source expression.",rdae:P20067,property,adaptedAsVideoExpression,rdac:C10006,,rdau:P60361,rdae:P20153,,,,Published,24.5,2,
14159,"has writer of added lyrics (Deprecated)",rdae:writerOfAddedLyrics.en,"Relates an expression to a writer of words added to an expression of a musical work. (Deprecated)","Writing of lyrics in collaboration with a composer to form an original work is excluded.",,,"writer of added lyrics (Deprecated)","A writer of words added to an expression of a musical work. (Deprecated)",rdae:P20068,property,writerOfAddedLyrics,rdac:C10006,,rdau:P60371,rdae:P20030,,,,Deprecated,18.5,2,rdaw:P10204
14160,"has summarization of content",rdae:summarizationOfContent.en,"Relates an expression to an abstract, summary, synopsis, etc., of the content of an expression.",,,,"summarization of content","An abstract, summary, synopsis, etc., of the content of an expression.",rdae:P20069,property,summarizationOfContent,rdac:C10006,,rdau:P60372,,,,,Published,7.10,6,
14161,"has voice actor agent",rdae:voiceActorAgent.en,"Relates an expression to an agent who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed expressions, etc.",,"voice actor",,"voice actor agent","An agent who is an actor who contributes to an expression by providing the voice for characters in radio and audio productions and for animated characters in moving image works, as well as by providing voice-overs in radio and television commercials, dubbed resources, etc.",rdae:P20070,property,voiceActorAgent,rdac:C10006,,rdau:P60152,rdae:P20012,,,,Published,18.5,2,
14162,"has note on expression",rdae:noteOnExpression.en,"Relates an expression to a broad unstructured description of one or more attributes of an expression.",,,,"note on expression","A broad unstructured description of one or more attributes of an expression.",rdae:P20071,property,noteOnExpression,rdac:C10006,,rdau:P60470,rdax:P00015,,,,Published,7.29,6,
14163,"is description of (expression) (Deprecated)",rdae:descriptionOfExpression.en,"Relates an expression to an expression described by an expression of a describing work. (Deprecated)",,,,"description of (expression)","An expression described by an expression of a describing work.",rdae:P20072,property,descriptionOfExpression,rdac:C10006,,rdau:P60190,rdae:P20234,,,,Deprecated,,,
