*label_en,lexicalAlias_en,description[0]_en,note[0]_en,altLabel[0]_en,altLabel[1]_en,altLabel[2]_en,altLabel[3]_en,ToolkitLabel_en,ToolkitDefinition_en,*uri,*type,domain,subPropertyOf[0],subPropertyOf[1],*status,instructionNumber,has element type,See Also[0]
has coordinates of cartographic content,rdaw:coordinatesOfCartographicContent.en,Relates a work to a place that is the area of coverage of a cartographic work that is described using a mathematical system to identify its boundaries or location.,Coordinates may be expressed by means of longitude and latitude on the surface of planets or by the angles of right ascension and declination for celestial charts.,,,,,coordinates of cartographic content,A place that is the area of coverage of a cartographic work that is described using a mathematical system to identify its boundaries or location.,rdaw:P10024,property,rdac:C10001,rdaw:P10316,,Published,7.4,3,
is adapted as motion picture work,rdaw:adaptedAsMotionPictureWork.en,Relates a work to a work that is a motion picture that is based on another work.,,,,,,adapted as motion picture work,A work that is a motion picture that is based on another work.,rdaw:P10025,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has cadenza work,rdaw:cadenzaWork.en,"Relates a work to a work that is a musical work that is an ornamental passage for a soloist added to a musical work, such as a concerto, by the same or a different composer.",,,,,,cadenza work,"A work that is a musical work that is an ornamental passage for a soloist added to a musical work, such as a concerto, by the same or a different composer.",rdaw:P10026,property,rdac:C10001,rdaw:P10108,,Published,24.5,2,
is variations based on work,rdaw:variationsBasedOnWork.en,"Relates a work to a work that is a musical work from which melodic, thematic, or harmonic material is taken to form a discrete theme, which is repeated one or more times with subsequent modifications.",,,,,,variations based on work,"A work that is a musical work from which melodic, thematic, or harmonic material is taken to form a discrete theme, which is repeated one or more times with subsequent modifications.",rdaw:P10027,property,rdac:C10001,rdaw:P10190,,Published,24.5,2,
is modified by variation as work,rdaw:modifiedByVariationAsWork.en,"Relates a work to a work that is a musical work in which melodic, thematic, or harmonic material taken from another work forms a discrete theme, which is repeated one or more times with subsequent modifications.",,,,,,modified by variation as work,"A work that is a musical work in which melodic, thematic, or harmonic material taken from another work forms a discrete theme, which is repeated one or more times with subsequent modifications.",rdaw:P10028,property,rdac:C10001,rdaw:P10148,,Published,24.5,2,
is cadenza composed for work,rdaw:cadenzaComposedForWork.en,"Relates a work to a work that is a musical work, such as a concerto, to which is added a musical work that is an ornamental passage for a soloist by the same or a different composer.",,,,,,cadenza composed for work,"A work that is a musical work, such as a concerto, to which is added a musical work that is an ornamental passage for a soloist by the same or a different composer.",rdaw:P10029,property,rdac:C10001,rdaw:P10192,,Published,24.5,2,
is libretto for work,rdaw:librettoForWork.en,"Relates a work to a work that is a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio, that is complemented by a textual work.",,,,,,libretto for work,"A work that is a musical or choreographic work such as an opera, a ballet, or other work for the musical stage, or an oratorio, that is complemented by a work that is a textual work.",rdaw:P10030,property,rdac:C10001,rdaw:P10372,,Published,24.5,2,
has incidental music work,rdaw:incidentalMusicWork.en,Relates a work to a work that is a musical work that complements a work that is a play or other work for the stage that is realized as spoken word.,,,,,,incidental music work,A work that is a musical work that complements a work that is a play or other work for the stage that is realized as spoken word.,rdaw:P10031,property,rdac:C10001,rdaw:P10237,,Published,24.5,2,
is remade as work,rdaw:remadeAsWork.en,"Relates a work to a work that is a motion picture, radio program, television program, or video that is based on an earlier work.",,,,,,remade as work,"A work that is a new motion picture, radio program, television program, or video that is based on an earlier work.",rdaw:P10032,property,rdac:C10001,rdaw:P10340,,Published,24.5,2,
is set to music as work,rdaw:setToMusicAsWork.en,"Relates a work to a work that is a non-dramatic musical work, other than an oratorio, that uses the text of another work.",,,,,,set to music as work,"A work that is a non-dramatic musical work, other than an oratorio, that uses the text of another work.",rdaw:P10033,property,rdac:C10001,rdaw:P10148,,Published,24.5,2,
is adapted as novel work,rdaw:adaptedAsNovelWork.en,Relates a work to a work that is a novel adapted from another work.,,,,,,adapted as novel work,A work that is a novel adapted from another work.,rdaw:P10034,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has appellee person,rdaw:appelleePerson.en,Relates a work to a person against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court.,,,,,,appellee person,A person against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court.,rdaw:P10035,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has medium,rdaw:medium.en,Relates a work to a person who claims to be a channel of communication with a world of spirits.,,,,,,medium,A person who claims to be a channel of communication with a world of spirits.,rdaw:P10036,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has appellee (Deprecated),rdaw:appellee.en,Relates a work to a person or corporate body against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court. (Deprecated),,,,,,appellee (Deprecated),A person or corporate body against whom an appeal is taken on a decision of a lower court recorded in a legal work of a higher court. (Deprecated),rdaw:P10037,property,rdac:C10001,rdaw:P10047,,Deprecated,18.5,,
has appellant (Deprecated),rdaw:appellant.en,Relates a work to a person or corporate body who appeals a decision of a lower court recorded in a legal work of a higher court. (Deprecated),,,,,,appellant (Deprecated),A person or corporate body who appeals a decision of a lower court recorded in a legal work of a higher court. (Deprecated),rdaw:P10038,property,rdac:C10001,rdaw:P10047,,Deprecated,18.5,,
has plaintiff (Deprecated),rdaw:plaintiff.en,Relates a work to a person or corporate body who brings a suit in a civil proceeding. (Deprecated),,,,,,plaintiff (Deprecated),A person or corporate body who brings a suit in a civil proceeding. (Deprecated),rdaw:P10039,property,rdac:C10001,rdaw:P10047,,Deprecated,18.5,,
has defendant (Deprecated),rdaw:defendant.en,Relates a work to a person or corporate body who is accused in a criminal proceeding or sued in a civil proceeding. (Deprecated),,,,,,defendant (Deprecated),A person or corporate body who is accused in a criminal proceeding or sued in a civil proceeding. (Deprecated),rdaw:P10040,property,rdac:C10001,rdaw:P10047,,Deprecated,18.5,,
has degree supervisor,rdaw:degreeSupervisor.en,Relates a work to a person who is an academic supervisor who is responsible for advising or overseeing thesis or dissertation research for an academic degree that results in a work.,Includes an advisor or supervisor of thesis or dissertation research.,,,,,degree supervisor,A person who is an academic supervisor who is responsible for advising or overseeing thesis or dissertation research for an academic degree that results in a work.,rdaw:P10041,property,rdac:C10001,rdaw:P10407,,Published,18.5,2,
has appellant person,rdaw:appellantPerson.en,Relates a work to a person who appeals a decision of a lower court recorded in a legal work of a higher court.,,,,,,appellant person,A person who appeals a decision of a lower court recorded in a legal work of a higher court.,rdaw:P10042,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has plaintiff person,rdaw:plaintiffPerson.en,Relates a work to a person who brings a suit in a civil proceeding.,,,,,,plaintiff person,A person who brings a suit in a civil proceeding.,rdaw:P10043,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has judge,rdaw:judge.en,Relates a work to a person who hears and decides on legal matters in court.,,,,,,judge,A person who hears and decides on legal matters in court.,rdaw:P10044,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has praeses,rdaw:praeses.en,"Relates a work to a person who is a faculty moderator of an academic disputation, normally proposing a thesis and participating in the ensuing disputation.",,,,,,praeses,"A person who is a faculty moderator of an academic disputation, normally proposing a thesis and participating in the ensuing disputation.",rdaw:P10045,property,rdac:C10001,rdaw:P10437,,Published,18.5,2,
has issuing agent,rdaw:issuingAgent.en,Relates a work to an agent who issues a work.,,issuing body,,,,issuing agent,An agent who issues a work.,rdaw:P10046,property,rdac:C10001,rdaw:P10311,,Published,18.5,2,
has other agent associated with work (Deprecated),rdaw:otherAgentWork.en,Relates a work to an agent other than a creator associated with a work. (Deprecated),"Agents to whom correspondence is addressed, agents honoured by a festschrift, directors, cinematographers, sponsoring bodies, production companies, institutions, etc., hosting an exhibition or event, etc., are included.",,,,,other agent associated with work (Deprecated),An agent other than a creator associated with a work. (Deprecated),rdaw:P10047,property,rdac:C10001,rdaw:P10311,,Deprecated,19.3,3,
has dedicator agent,rdaw:dedicatorAgent.en,Relates a work to an agent who assigns a work as an acknowledgement of the inspiration or support of a related agent.,,dedicator,,,,dedicator agent,An agent who assigns a work as an acknowledgement of the inspiration or support of a related agent.,rdaw:P10048,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has honouree agent of work,rdaw:honoureeAgentOfWork.en,Relates a work to an agent who is honoured by a work.,,honoree agent of work,honouree,,,honouree agent of work,An agent who is honoured by a work.,rdaw:P10049,property,rdac:C10001,rdaw:P10311,,Published,18.5,2,
has programmer agent,rdaw:programmerAgent.en,Relates a work to an agent who is responsible for creating a computer program.,,programmer,,,,programmer agent,An agent who is responsible for creating a computer program.,rdaw:P10050,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has designer agent,rdaw:designerAgent.en,Relates a work to an agent who is responsible for creating a design for an object.,,designer,,,,designer agent,An agent who is responsible for creating a design for an object.,rdaw:P10051,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has cartographer agent of work,rdaw:cartographerAgentOfWork.en,Relates a work to an agent who is responsible for creating a cartographic work.,,cartographer,,,,cartographer agent of work,An agent who is responsible for creating a cartographic work.,rdaw:P10052,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has composer agent of work,rdaw:composerAgentOfWork.en,Relates a work to an agent who is responsible for creating a musical work.,"Adaptation of another musical work to form a distinct alteration, paraphrasing a work or creating a work in the general style of another composer, or creating a work that is based on the music of another composer, is included.",composer,,,,composer agent of work,An agent who is responsible for creating a musical work.,rdaw:P10053,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has inventor agent,rdaw:inventorAgent.en,Relates a work to an agent who is responsible for creating a new device or process.,,inventor,,,,inventor agent,An agent who is responsible for creating a new device or process.,rdaw:P10054,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has compiler agent,rdaw:compilerAgent.en,Relates a work to an agent who is responsible for creating a metadata description set.,"A metadata description set includes a bibliography of works, expressions, or manifestations, a directory of agents and places, and an analytic finding aid.",compiler,,,,compiler agent,An agent who is responsible for creating a metadata description set.,rdaw:P10055,property,rdac:C10001,rdaw:P10393,,Published,18.5,2,rdae:P20048
has photographer agent of work,rdaw:photographerAgentOfWork.en,Relates a work to an agent who is responsible for creating a photographic work.,,photographer,,,,photographer agent of work,An agent who is responsible for creating a photographic work.,rdaw:P10056,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has interviewer agent of work,rdaw:interviewerAgentOfWork.en,"Relates a work to an agent who is responsible for creating a work by acting as an interviewer, reporter, pollster, or some other kind of agent who gathers information.",,interviewer,,,,interviewer agent of work,"An agent who is responsible for creating a work by acting as an interviewer, reporter, pollster, or some other kind of agent who gathers information.",rdaw:P10057,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has artist agent,rdaw:artistAgent.en,"Relates a work to an agent who is responsible for creating an original graphic design, drawing, painting, etc.",,artist,,,,artist agent,"An agent who is responsible for creating an original graphic design, drawing, painting, etc.",rdaw:P10058,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has interviewee agent of work,rdaw:intervieweeAgentOfWork.en,"Relates a work to an agent who is responsible for creating a work by responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",,interviewee,,,,interviewee agent of work,"An agent who is responsible for creating a work by responding to an interviewer, usually a reporter, pollster, or some other kind of agent who gathers information.",rdaw:P10059,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has choreographer agent,rdaw:choreographerAgent.en,Relates a work to an agent who is responsible for creating a choreographic work.,,choreographer,,,,choreographer agent,An agent who is responsible for creating a choreographic work.,rdaw:P10060,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has author agent,rdaw:authorAgent.en,Relates a work to an agent who is responsible for creating a textual work.,"Creation of a new work by paraphrasing, rewriting, or adapting works by another creator, if the modification has substantially changed the nature and content of the original or changed the medium of expression, is included.",author,,,,author agent,An agent who is responsible for creating a textual work.,rdaw:P10061,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has architect agent,rdaw:architectAgent.en,"Relates a work to an agent who is responsible for creating an architectural design, including a pictorial representation intended to show how a building or other structure will look when completed.",,architect,,,,architect agent,"An agent who is responsible for creating an architectural design, including a pictorial representation intended to show how a building or other structure will look when completed.",rdaw:P10062,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has filmmaker agent,rdaw:filmmakerAgent.en,Relates a work to an agent who is responsible for creating an independent or personal film.,A filmmaker is individually responsible for the conception and execution of all aspects of the film.,filmmaker,,,,filmmaker agent,An agent who is responsible for creating an independent or personal film.,rdaw:P10063,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has producer agent,rdaw:producerAgent.en,"Relates a work to an agent responsible for most of the business aspects of a production for screen, sound recording, television, webcast, etc.","A producer is generally responsible for fundraising, managing the production, hiring key personnel, arranging for distributors, etc.",producer,,,,producer agent,"An agent who is responsible for most of the business aspects of a production for screen, sound recording, television, webcast, etc.",rdaw:P10064,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has creator agent of work,rdaw:creatorAgentOfWork.en,Relates a work to an agent who is responsible for creating a work.,"A creator of work includes an agent who is jointly responsible for the creation of a work either by performing the same role as another agent, such as in a collaboration between two writers, or by performing a different role, such as in a collaboration between a composer and a lyricist.",creator,,,,creator agent of work,An agent who is responsible for creating a work.,rdaw:P10065,property,rdac:C10001,rdaw:P10311,,Published,19.2,3,
has director agent,rdaw:directorAgent.en,"Relates a work to an agent who is responsible for the general management and supervision of a filmed performance, a radio or television program, etc.",,director,,,,director agent,"An agent who is responsible for the general management and supervision of a filmed performance, a radio or television program, etc.",rdaw:P10066,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has sponsoring agent of work,rdaw:sponsoringAgentOfWork.en,Relates a work to an agent who sponsors some aspect of a work.,Includes funding research and sponsoring an event that is the basis of a work.,sponsoring body,,,,sponsoring agent of work,An agent who sponsors some aspect of a work.,rdaw:P10067,property,rdac:C10001,rdaw:P10311,,Published,18.5,2,
has director agent of photography,rdaw:directorAgentOfPhotography.en,"Relates a work to an agent who captures images, either electronically or on film or video stock, and often selects and arranges the lighting.",A director of photography for a movie is also called a chief cinematographer.,director of photography,,,,director agent of photography,"An agent who captures images, either electronically or on film or video stock, and often selects and arranges the lighting.",rdaw:P10068,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has dedicatee agent of work,rdaw:dedicateeAgentOfWork.en,Relates a work to an agent to whom a work is dedicated.,,dedicatee,,,,dedicatee agent of work,An agent to whom a work is dedicated.,rdaw:P10069,property,rdac:C10001,rdaw:P10311,,Published,18.5,2,
has addressee agent,rdaw:addresseeAgent.en,Relates a work to an agent to whom a work or a portion of a work is addressed.,,addressee,,,,addressee agent,An agent to whom a work or a portion of a work is addressed.,rdaw:P10070,property,rdac:C10001,rdaw:P10311,,Published,18.5,2,
has consultant agent,rdaw:consultantAgent.en,"Relates a work to an agent who provides consultation services, and often makes recommendations, for a related agent who is represented as a creator of a work.",,consultant,,,,consultant agent,"An agent who provides consultation services, and often makes recommendations, for a related agent who is represented as a creator of a work.",rdaw:P10071,property,rdac:C10001,rdaw:P10065,,Published,18.5,2,
has manifestation of work,rdaw:manifestationOfWork.en,Relates a work to a manifestation that is a physical embodiment of a work.,,,,,,manifestation of work,A manifestation that is a physical embodiment of a work.,rdaw:P10072,property,rdac:C10001,rdaw:P10309,,Published,17.7,3,
has film producer agent,rdaw:filmProducerAgent.en,Relates a work to an agent who is a producer who is responsible for most of the business aspects of the production of a film.,,film producer,,,,film producer agent,An agent who is a producer who is responsible for most of the business aspects of the production of a film.,rdaw:P10073,property,rdac:C10001,rdaw:P10064,,Published,18.5,2,
has radio producer agent,rdaw:radioProducerAgent.en,Relates a work to an agent who is a producer who is responsible for most of the business aspects of a radio program.,,radio producer,,,,radio producer agent,An agent who is a producer who is responsible for most of the business aspects of a radio program.,rdaw:P10074,property,rdac:C10001,rdaw:P10064,,Published,18.5,2,
has television producer agent,rdaw:televisionProducerAgent.en,Relates a work to an agent who is a producer who is responsible for most of the business aspects of a television program.,,television producer,,,,television producer agent,An agent who is a producer who is responsible for most of the business aspects of a television program.,rdaw:P10075,property,rdac:C10001,rdaw:P10064,,Published,18.5,2,
is adapted as radio program work,rdaw:adaptedAsRadioProgramWork.en,Relates a work to a work that is a radio program based on another work.,,,,,,adapted as radio program work,A work that is a radio program based on another work.,rdaw:P10076,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has academic degree,rdaw:academicDegree.en,Relates a work to a rank conferred as a guarantee of academic proficiency.,,,,,,academic degree,A rank conferred as a guarantee of academic proficiency.,rdaw:P10077,property,rdac:C10001,,,Published,7.9.2,2,
has expression of work,rdaw:expressionOfWork.en,"Relates a work to an expression that is a realization of a work in the form of alpha-numeric, musical or choreographic notation, sound, image, object, movement, etc., or any combination of such forms.",,,,,,expression of work,"An expression that is a realization of a work in the form of alpha-numeric, musical or choreographic notation, sound, image, object, movement, etc., or any combination of such forms.",rdaw:P10078,property,rdac:C10001,rdaw:P10308,,Published,17.5,3,
has numeric designation of musical work,rdaw:numericDesignationOfMusicalWork.en,"Relates a work to a nomen that is a serial number, opus number, or thematic index number assigned to a musical work by a composer, publisher, or musicologist.","A designation includes a caption (e.g., no., op., BWV) and may include dates or other timespans, and alphanumeric or other characters.",,,,,numeric designation of musical work,"A nomen that is a serial number, opus number, or thematic index number assigned to a musical work by a composer, publisher, or musicologist.",rdaw:P10079,property,rdac:C10001,rdaw:P10002,,Published,6.16,3,
has subseries,rdaw:subseries.en,"Relates a work to a work that is a successive aggregating work that is inspired by the overall editorial policy, scope, and style of another successive aggregating work.",,,,,,subseries,"A work that is a successive aggregating work that is inspired by the overall editorial policy, scope, and style of another successive aggregating work.",rdaw:P10080,property,rdac:C10001,rdaw:P10291,,Published,24.5,2,
has longitude and latitude,rdaw:longitudeAndLatitude.en,Relates a work to a place that is the area of coverage of a cartographic work that is identified using the longitude of the westernmost and easternmost boundaries and the latitude of the northernmost and southernmost boundaries.,,,,,,longitude and latitude,A place that is the area of coverage of a cartographic work that is identified using the longitude of the westernmost and easternmost boundaries and the latitude of the northernmost and southernmost boundaries.,rdaw:P10081,property,rdac:C10001,rdaw:P10024,,Published,7.4.2,3,
has right ascension and declination,rdaw:rightAscensionAndDeclination.en,Relates a work to a place that is the location of a celestial body that is the coverage of a cartographic work and is identified using the angles of right ascension and declination.,,,,,,right ascension and declination,A place that is the location of a celestial body that is the coverage of a cartographic work and is identified using the angles of right ascension and declination.,rdaw:P10082,property,rdac:C10001,rdaw:P10024,,Published,7.4.4,3,
has strings of coordinate pairs,rdaw:stringsOfCoordinatePairs.en,Relates a work to a place that is the area of coverage of a cartographic work that is identified by a polygon using coordinates for each vertex.,,,,,,strings of coordinate pairs,A place that is the area of coverage of a cartographic work that is identified by a polygon using coordinates for each vertex.,rdaw:P10083,property,rdac:C10001,rdaw:P10024,,Published,7.4.3,3,
has system of organization,rdaw:systemOfOrganization.en,Relates a work to a system of arranging materials in an archival resource or a collection.,,,,,,system of organization,A system of arranging materials in an archival resource or a collection.,rdaw:P10084,property,rdac:C10001,,,Published,7.8,6,
is adapted as television program work,rdaw:adaptedAsTelevisionProgramWork.en,Relates a work to a work that is a television program that is based on another work.,,,,,,adapted as television program work,A work that is a television program that is based on another work.,rdaw:P10085,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has variant title of work,rdaw:variantTitleOfWork.en,Relates a work to a nomen that is a title of work that is not selected for preference in a specific application or context.,"A variant title of work includes a title or form of title appearing on a manifestation of the work or found in reference sources, a title resulting from a different transliteration of a title, etc.",variant title for work,,,,variant title of work,A nomen that is a title of work that is not selected for preference in a specific application or context.,rdaw:P10086,property,rdac:C10001,rdaw:P10088,rdax:P00023,Published,6.2.3,3,
is adapted as video work,rdaw:adaptedAsVideoWork.en,Relates a work to a work that is a video that is based on another work.,,,,,,adapted as video work,A work that is a video that is based on another work.,rdaw:P10087,property,rdac:C10001,rdaw:P10155,,Published,24.5,2,
has title of work,rdaw:titleOfWork.en,Relates a work to a nomen that is an appellation of work in natural language and phrasing used in common discourse.,,,,,,title of work,A nomen that is an appellation of work in natural language and phrasing used in common discourse.,rdaw:P10088,property,rdac:C10001,rdaw:P10329,rdax:P00019,Published,6.2,3,
is abstracted in work,rdaw:abstractedInWork.en,Relates a work to a work that abstracts the contents of another work.,,,,,,abstracted in work,A work that abstracts the contents of another work.,rdaw:P10089,property,rdac:C10001,rdaw:P10148,,Published,24.5,2,
is indexed in work (Deprecated),rdaw:indexedInWork.en,Relates a work to a work that indexes the contents of a related work. (Deprecated),,,,,,indexed in work (Deprecated),A work that indexes the contents of a related work. (Deprecated),rdaw:P10090,property,rdac:C10001,rdaw:P10148,,Deprecated,24.5,2,
